step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.185545,0.00996748,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,10,0,0.0293801,0,0.316143,0.0353402,0,2,0,0.130568,0,0.0219913,0,0,0,0,0.118418,0.0779379,0.329554,0,0,0,3.80865e-05,0,1,0.983342,0.230156,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037503,0,0.401836,0.071631,0,2,0,0.146094,0,0.0499109,0,0,0,0,0.15321,0.205802,0.276736,0,0,0,1.64893e-05,0,1,0.932525,0.203947,4.39434e-07
400,40,1.66667,13,5,8,0,13,0,0,0,8,9,0,0.0428088,0,0.464368,0.11531,0,4,0,0.157549,0,0.0919547,0,0,0,0,0.177678,0.342437,0.307288,0,0,0,1.62437e-05,0,1,0.838069,0.206722,9.81608e-07
500,50,2.08333,13,5,7,1,12,1,0,0,10,10,4.16667,0.046062,1.4354e-05,0.501711,0.163617,0,4,0,0.166658,0,0.135082,0,0,0,0,0.193719,0.447247,0.33326,0,0,0,1.60986e-05,0,0.999962,0.70622,0.203926,1.79097e-06
600,60,2.5,13,5,6,2,11,2,0,0,8,9,8.33333,0.0478192,0.000174568,0.469116,0.213075,0,4,0,0.186966,0,0.176026,0,0,0,0,0.203873,0.546092,0.355407,0,0,0,1.60703e-05,0,0.999529,0.654621,0.207625,2.83313e-06
700,70,2.91667,15,5,6,4,11,4,0,0,7,10,12.5,0.0484923,0.000537505,0.43793,0.259027,0,6,0,0.20069,0,0.213492,0,0,0,0,0.209881,0.598317,0.373918,0,0,0,1.60598e-05,0,0.998499,0.652402,0.214808,4.05611e-06
800,80,3.33333,18,5,9,4,14,4,0,0,9,10,12.5,0.0483859,0.00096708,0.393318,0.300627,0,6,0,0.227799,0,0.246603,0,0,0,0,0.213745,0.611809,0.389138,0,0,0,1.60521e-05,0,0.997039,0.649987,0.220654,5.40332e-06
900,90,3.75,20,5,10,5,15,5,0,0,9,8,12.5,0.0477263,0.00136894,0.338317,0.3374,0,6,0,0.254929,0,0.275264,0,0,0,0,0.21395,0.570679,0.401391,0,0,0,1.60483e-05,0,0.995389,0.647339,0.22529,6.82264e-06
1000,100,4.16667,24,5,13,6,18,6,0,0,8,8,12.5,0.0466827,0.00174488,0.31566,0.369703,0,10,0,0.273669,0,0.299707,0,0,0,0,0.212029,0.514745,0.485761,0,0,0,1.60451e-05,0,0.993578,0.64447,0.228889,8.27106e-06
1100,110,4.58333,26,5,13,8,20,6,0,0,8,9,12.5,0.0453818,0.00209656,0.30213,0.400566,0,10,0,0.281468,0,0.320332,0,0,0,0,0.207208,0.475137,0.607175,0,0,0,1.60419e-05,0,0.99163,0.641433,0.231652,9.71534e-06
1200,120,5,30,5,15,10,23,7,0,0,5,10,12.5,0.0439184,0.00242555,0.290737,0.430066,0,10,0,0.280986,0,0.337588,0,0,0,0,0.199097,0.450557,0.639549,0,0,0,1.60387e-05,0,0.989568,0.638277,0.233746,1.11311e-05
1300,130,5.41667,35,5,20,10,28,7,0,0,5,10,12.5,0.0423629,0.00273332,0.283001,0.458678,0,10,0,0.277379,0,0.351937,0,0,0,0,0.190924,0.411061,0.650834,0,0,0,1.60355e-05,0,0.98741,0.63504,0.235307,1.25013e-05
1400,140,5.83333,38,5,23,10,31,7,0,0,4,10,12.5,0.0407675,0.00302124,0.279048,0.486741,0,10,0,0.270727,0,0.363803,0,0,0,0,0.181886,0.37661,0.656915,0,0,0,1.60323e-05,0,0.985174,0.631754,0.236444,1.38148e-05
1500,150,6.25,46,5,28,13,35,11,0,0,2,10,12.5,0.0391703,0.00329057,0.271293,0.514279,0,10,0,0.258712,0,0.37357,0,0,0,0,0.170969,0.364433,0.662771,0,0,0,1.60291e-05,0,0.982873,0.628445,0.237248,1.50651e-05
1600,160,6.66667,49,5,25,19,34,15,0,0,1,8,16.6667,0.037599,0.00378127,0.262957,0.541056,0,10,3,0.248464,0,0.381579,0,0,0,0,0.160958,0.344412,0.666246,0,0,0,1.60259e-05,0,0.980019,0.625135,0.237724,1.62491e-05
1700,170,7.08333,56,5,29,22,39,17,0,0,1,10,25,0.0360731,0.00476888,0.248905,0.56663,0,10,4,0.239523,0,0.38812,0,0,0,0,0.151151,0.319964,0.666826,0,0,0,1.60227e-05,0,0.975838,0.621841,0.23787,1.73661e-05
1800,180,7.5,63,5,30,28,42,21,0,0,1,10,25,0.0346059,0.00581743,0.232875,0.590705,0,10,4,0.230799,0,0.393435,0,0,0,0,0.140969,0.297324,0.666903,0,0,0,1.60195e-05,0,0.970991,0.618578,0.237886,1.84175e-05
1900,190,7.91667,67,5,27,35,42,25,0,0,0,10,25,0.0332062,0.00679834,0.219623,0.613342,0,10,4,0.223975,0,0.397725,0,0,0,0,0.131832,0.276934,0.66722,0,0,0,1.60163e-05,0,0.966092,0.615354,0.237799,1.94057e-05
2000,200,8.33333,75,5,31,39,47,28,0,0,0,10,25,0.0318791,0.00771596,0.206543,0.634635,0,10,8,0.223031,0.00895,0.401159,0,0,0,0,0.123108,0.261997,0.652429,0,0,0,1.60131e-05,0,0.961156,0.612179,0.237635,2.03339e-05
2100,210,8.75,79,5,26,48,43,36,0,0,0,9,33.3333,0.0306272,0.00966739,0.190523,0.654503,0,10,10,0.222036,0.02095,0.403874,0,0,0,0,0.114333,0.244133,0.632226,0,0,0,7.40456e-05,0,0.955229,0.609056,0.237289,2.12055e-05
2200,220,9.16667,84,5,27,52,45,39,0,0,0,9,37.5,0.0294509,0.0127189,0.175994,0.672845,0,10,10,0.221111,0.03295,0.405986,0,0,0,0,0.106596,0.228987,0.613567,0,0,0,0.000182558,0,0.948342,0.605993,0.2368,2.20244e-05
2300,230,9.58333,88,5,26,57,46,42,0,0,0,8,41.6667,0.0283493,0.0171341,0.160858,0.689662,0,10,10,0.219607,0.04495,0.407591,0,0,0,0,0.099329,0.215491,0.596232,0,0,0,0.000333771,0,0.940268,0.602992,0.236154,2.27943e-05
2400,240,10,91,5,22,64,46,43,2,0,0,8,41.6667,0.0273206,0.0218946,0.146356,0.705001,0,10,10,0.216845,0.05685,0.408768,0,0,0,0,0.0921088,0.202632,0.580414,0,0,0,0.000484594,0,0.931884,0.600054,0.235494,2.35202e-05
2500,250,10.4167,93,5,22,66,46,44,3,0,0,8,41.6667,0.0263619,0.0276219,0.134826,0.719055,0,10,10,0.214773,0.0689,0.409584,0,0,0,0,0.0857933,0.191264,0.566054,0,0,0,0.0006365,0,0.922714,0.597181,0.234857,2.42065e-05
2600,260,10.8333,97,5,22,70,47,45,5,0,0,9,41.6667,0.0254701,0.0328092,0.125839,0.732041,0,10,10,0.212506,0.0809,0.410095,0,0,0,0,0.0798888,0.187775,0.553021,0,0,0,0.000788466,0,0.91355,0.594372,0.234243,2.48511e-05
2700,270,11.25,100,5,20,75,44,49,7,0,0,9,45.8333,0.0246418,0.0407478,0.115317,0.744102,0,10,10,0.208865,0.0901,0.410347,0,0,0,0,0.0740139,0.175794,0.541157,0,0,0,0.000905791,0,0.903665,0.591625,0.233639,2.54603e-05
2800,280,11.6667,103,5,21,77,46,49,8,0,0,9,45.8333,0.0238734,0.0517003,0.106376,0.755183,0,10,10,0.206072,0.0988,0.410378,0,0,0,0,0.068857,0.164873,0.530349,0,0,0,0.00103302,0,0.892868,0.588939,0.233043,2.60366e-05
2900,290,12.0833,106,5,22,79,47,48,11,0,0,8,45.8333,0.023161,0.0623311,0.0987901,0.765415,0,10,10,0.20335,0.10725,0.410218,0,0,0,0,0.0640565,0.154611,0.520539,0,0,0,0.00120067,0,0.881468,0.586312,0.232472,2.65893e-05
3000,300,12.5,107,5,19,83,46,47,14,0,0,8,45.8333,0.022501,0.071968,0.0916743,0.774926,0,10,10,0.199875,0.11655,0.409894,0,0,0,0,0.0593164,0.145003,0.511633,0,0,0,0.00158447,0,0.869903,0.583743,0.231923,2.71076e-05
3100,310,12.9167,110,5,20,85,48,47,15,0,0,7,45.8333,0.0218898,0.0804558,0.086135,0.783818,0,10,10,0.197176,0.1261,0.40943,0,0,0,0,0.0551366,0.136533,0.503543,0,0,0,0.00558,0,0.858376,0.581228,0.231396,2.75997e-05
3200,320,13.3333,112,5,19,88,46,51,15,0,0,7,45.8333,0.0213238,0.0879345,0.0812624,0.792171,0,10,10,0.194482,0.13555,0.408844,0,0,0,0,0.0512403,0.128644,0.496189,0,0,0,0.0188208,0,0.846891,0.578766,0.230887,2.80675e-05
3300,330,13.75,115,5,18,92,47,49,19,0,0,7,50,0.0207998,0.0959371,0.07595,0.800048,0,10,10,0.191076,0.145,0.408151,0,0,0,0,0.0474239,0.124413,0.489253,0,0,0,0.041268,0,0.834831,0.576354,0.230295,2.85124e-05
3400,340,14.1667,115,5,18,92,45,48,21,1,0,8,54.1667,0.0203145,0.104656,0.0711207,0.80743,0,10,10,0.188435,0.1545,0.407367,0,0,0,0,0.0440464,0.121211,0.482663,0,0,0,0.0727594,0,0.822122,0.573991,0.229615,2.89358e-05
3500,350,14.5833,118,5,19,94,47,49,19,3,0,9,54.1667,0.0198649,0.113189,0.066637,0.8143,0,10,10,0.185816,0.164,0.406501,0,0,0,0,0.0408828,0.116012,0.476545,0,0,0,0.113155,0,0.809159,0.571675,0.228921,2.93389e-05
3600,360,15,119,5,18,96,46,49,20,4,0,9,58.3333,0.0194481,0.125126,0.0618868,0.820729,0,9,9,0.182523,0.17345,0.405565,0,0,0,0,0.0377854,0.110347,0.470914,0,0,0,0.162343,0,0.795313,0.569404,0.228236,2.97231e-05
3700,370,15.4167,120,5,19,96,47,46,22,5,0,9,58.3333,0.0190616,0.138662,0.057967,0.826721,0,9,9,0.180152,0.18295,0.404567,0,0,0,0,0.0350908,0.105696,0.465739,0,0,0,0.22023,0,0.78085,0.567175,0.227568,3.00889e-05
3800,380,15.8333,123,5,18,100,46,49,22,6,0,8,58.3333,0.0187027,0.150722,0.0545388,0.832335,0,9,9,0.177996,0.19375,0.403516,0,0,0,0,0.0326272,0.101998,0.461011,0,0,0,0.28684,0,0.766453,0.564985,0.226928,3.04373e-05
3900,390,16.25,125,5,21,99,47,50,21,7,0,8,62.5,0.0183693,0.170437,0.0504455,0.837585,0,9,9,0.175287,0.20435,0.402421,0,0,0,0,0.0302587,0.0985708,0.456606,0,0,0,0.362384,0,0.750267,0.562834,0.226281,3.07691e-05
4000,400,16.6667,123,5,20,98,46,48,23,6,0,8,70.8333,0.0180593,0.201118,0.0464727,0.84245,0,9,9,0.173391,0.21445,0.40129,0,0,0,0,0.0281708,0.095349,0.452445,0,0,0,0.446722,0,0.731328,0.560718,0.225608,3.10853e-05
4100,410,17.0833,124,5,22,97,47,48,22,7,0,8,75,0.0177707,0.24799,0.0419053,0.846856,0,7,7,0.171582,0.2233,0.400129,0,0,0,0,0.0262255,0.0920844,0.448428,0,0,0,0.539665,0,0.707963,0.558636,0.224882,3.13865e-05
4200,420,17.5,124,5,20,99,45,51,21,7,0,8,75,0.0175018,0.28824,0.037767,0.850837,0,7,7,0.169188,0.23145,0.398943,0,0,0,0,0.0243405,0.088764,0.444718,0,0,0,0.640839,0,0.684428,0.556585,0.224178,3.16735e-05
4300,430,17.9167,125,5,21,99,46,51,20,8,0,8,75,0.017251,0.321774,0.0343345,0.854439,0,7,7,0.167797,0.23975,0.397738,0,0,0,0,0.0227811,0.0857642,0.441293,0,0,0,0.750088,0,0.661007,0.554565,0.223498,3.19469e-05
4400,440,18.3333,125,5,21,99,46,49,24,6,0,6,75,0.0170167,0.349756,0.0315397,0.857722,0,5,5,0.166674,0.2463,0.396519,0,0,0,0,0.0214214,0.0821094,0.438124,0,0,0,0.799197,0,0.637698,0.552573,0.222838,3.22074e-05
4500,450,18.75,128,5,20,103,47,50,23,8,0,7,75,0.0167976,0.373142,0.0291619,0.860752,0,5,5,0.164958,0.2501,0.395294,0,0,0,0,0.020097,0.0782408,0.435184,0,0,0,0.799246,0,0.614502,0.550608,0.222195,3.24557e-05
4600,460,19.1667,128,5,17,106,47,51,21,9,0,4,75,0.0165926,0.393199,0.0274937,0.863583,0,4,4,0.163925,0.2555,0.394067,0,0,0,0,0.0189129,0.0746173,0.432449,0,0,0,0.799278,0,0.590927,0.548668,0.221567,3.27053e-05
4700,470,19.5833,128,5,14,109,48,51,21,8,0,4,75,0.0164004,0.410254,0.0262107,0.866262,0,3,3,0.1628,0.2611,0.39284,0,0,0,0,0.0177467,0.0713678,0.429897,0,0,0,0.799304,0,0.567187,0.546753,0.220952,3.29316e-05
4800,480,20,128,5,17,106,47,53,22,6,0,4,75,0.0162202,0.424567,0.0249556,0.868818,0,3,3,0.16092,0.26705,0.391613,0,0,0,0,0.0165464,0.0683558,0.427509,0,0,0,0.799327,0,0.543558,0.544859,0.220349,3.31477e-05
4900,490,20.4167,128,5,16,107,44,52,23,9,0,4,75,0.0160508,0.436599,0.0240346,0.87127,0,3,3,0.159642,0.27345,0.390384,0,0,0,0,0.0154412,0.0658862,0.425268,0,0,0,0.799347,0,0.520039,0.542988,0.219754,3.3354e-05
5000,500,20.8333,128,5,18,105,47,50,22,9,0,4,75,0.0158915,0.446732,0.023212,0.873628,0,3,3,0.15834,0.28045,0.389152,0,0,0,0,0.0143866,0.0638236,0.423157,0,0,0,0.799362,0,0.496629,0.541136,0.219168,3.35509e-05
5100,510,21.25,126,5,17,104,45,52,22,7,0,4,79.1667,0.0157413,0.45823,0.0219689,0.875895,0,0,0,0.156374,0.28055,0.387917,0,0,0,0,0.0133238,0.059327,0.4211,0,0,0,0.799419,0,0.472728,0.539304,0.218562,3.3739e-05
5200,520,21.6667,128,5,19,104,47,52,21,8,0,3,79.1667,0.0155994,0.472177,0.0206107,0.878026,0,0,0,0.15509,0.28055,0.386676,0,0,0,0,0.0123411,0.0553122,0.419062,0,0,0,0.799474,0,0.44804,0.537491,0.217928,3.39178e-05
5300,530,22.0833,133,5,21,107,50,52,22,9,0,2,79.1667,0.0154651,0.48418,0.0194181,0.880022,0,0,0,0.153956,0.28055,0.38543,0,0,0,0,0.011437,0.0515009,0.417129,0,0,0,0.799522,0,0.423467,0.535694,0.217303,3.40877e-05
5400,540,22.5,131,5,22,104,50,51,22,8,0,2,79.1667,0.0153378,0.494667,0.0183121,0.881906,0,0,0,0.152329,0.28055,0.38418,0,0,0,0,0.010578,0.047753,0.415288,0,0,0,0.799566,0,0.398786,0.533914,0.216685,3.42642e-05
5500,550,22.9167,132,5,24,103,53,52,19,8,0,2,79.1667,0.0152169,0.504011,0.0175541,0.8837,0,0,0,0.151448,0.28055,0.382926,0,0,0,0,0.00982654,0.044298,0.413531,0,0,0,0.799606,0,0.373704,0.53215,0.216074,3.44175e-05
