step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.184403,0.00992731,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,9,0,0.0293801,0,0.31447,0.0351071,0,2,0,0.130642,0,0.0219913,0,0,0,0,0.118418,0.0174457,0.359602,0,0,0,0.000617896,0,1,0.991479,0.242989,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037503,0,0.400265,0.0712737,0,2,0,0.147008,0,0.0499109,0,0,0,0,0.15321,0.0488221,0.409458,0,0,0,1.73156e-05,0,1,0.978455,0.261629,4.39434e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0428088,0,0.459986,0.114653,0,4,0,0.161169,0,0.0919547,0,0,0,0,0.177678,0.0941789,0.449071,0,0,0,1.64108e-05,0,1,0.959226,0.275551,9.81608e-07
500,50,2.08333,12,5,7,0,12,0,0,0,8,10,0,0.0460626,0,0.468251,0.161741,0,4,0,0.190816,0,0.135315,0,0,0,0,0.194661,0.147061,0.475639,0,0,0,1.61945e-05,0,1,0.92389,0.282645,1.79174e-06
600,60,2.5,14,5,8,1,13,1,0,0,8,9,4.16667,0.047823,9.86919e-05,0.408634,0.206201,0,4,0,0.24283,0,0.176523,0,0,0,0,0.208186,0.161026,0.488026,0,0,0,1.61409e-05,0,0.999738,0.868977,0.282108,2.83816e-06
700,70,2.91667,14,5,7,2,12,2,0,0,7,10,4.16667,0.0484995,0.000247075,0.379858,0.245991,0,6,0,0.29099,0,0.214036,0,0,0,0,0.217642,0.137762,0.518734,0,0,0,1.6114e-05,0,0.999313,0.818394,0.280305,4.06657e-06
800,80,3.33333,16,5,7,4,13,3,0,0,9,10,8.33333,0.0483965,0.000502911,0.370928,0.283572,0,6,0,0.315638,0,0.247279,0,0,0,0,0.221122,0.118042,0.578823,0,0,0,1.6096e-05,0,0.998456,0.77524,0.278234,5.42013e-06
900,90,3.75,18,5,9,4,14,4,0,0,7,10,12.5,0.0477409,0.000850883,0.349945,0.319654,0,6,0,0.33156,0,0.276125,0,0,0,0,0.220293,0.100966,0.618857,0,0,0,1.60847e-05,0,0.997096,0.738484,0.275972,6.8475e-06
1000,100,4.16667,21,5,12,4,17,4,0,0,6,10,12.5,0.046702,0.00126024,0.328041,0.353567,0,10,0,0.345844,0,0.300771,0,0,0,0,0.218415,0.0933472,0.677801,0,0,0,1.60741e-05,0,0.995268,0.706258,0.27338,8.30601e-06
1100,110,4.58333,25,5,16,4,21,4,0,0,4,9,12.5,0.0454066,0.00164319,0.285388,0.384229,0,10,0,0.363641,0,0.321605,0,0,0,0,0.215507,0.0832608,0.722911,0,0,0,1.60627e-05,0,0.9933,0.677516,0.2706,9.76245e-06
1200,120,5,28,5,17,6,22,6,0,0,2,9,16.6667,0.0439492,0.00205989,0.267014,0.411901,0,10,0,0.369483,0,0.339094,0,0,0,0,0.209087,0.0742152,0.733102,0,0,0,1.60521e-05,0,0.990957,0.652906,0.267813,1.11925e-05
1300,130,5.41667,35,5,22,8,28,7,0,0,2,8,16.6667,0.0424005,0.002546,0.256611,0.437959,0,10,0,0.35766,0,0.353709,0,0,0,0,0.20067,0.066168,0.731523,0,0,0,1.60451e-05,0,0.988059,0.640967,0.26592,1.25795e-05
1400,140,5.83333,39,5,25,9,30,9,0,0,1,9,16.6667,0.0408128,0.00300075,0.252248,0.463219,0,10,0,0.342119,0,0.365861,0,0,0,0,0.190936,0.0680645,0.732568,0,0,0,1.60397e-05,0,0.985052,0.639007,0.265177,1.39127e-05
1500,150,6.25,44,5,27,12,33,11,0,0,0,8,25,0.0392241,0.00380492,0.239913,0.487676,0,10,1,0.325394,0,0.375909,0,0,0,0,0.179617,0.074794,0.73124,0,0,0,1.60343e-05,0,0.981155,0.637052,0.264004,1.51853e-05
1600,160,6.66667,50,5,31,14,37,13,0,0,0,9,25,0.0376616,0.00491566,0.234511,0.511422,0,10,1,0.307972,0,0.38418,0,0,0,0,0.168687,0.0822362,0.728272,0,0,0,1.60287e-05,0,0.976401,0.635101,0.2625,1.63939e-05
1700,170,7.08333,58,5,33,20,40,18,0,0,0,10,29.1667,0.0361447,0.00628758,0.224764,0.534336,0,10,4,0.294723,0.00355,0.390954,0,0,0,0,0.158127,0.0886456,0.720836,0,0,0,1.60247e-05,0,0.970831,0.633156,0.260686,1.75374e-05
1800,180,7.5,66,5,32,29,44,22,0,0,0,10,33.3333,0.0346865,0.00775344,0.211287,0.55615,0,10,6,0.282268,0.00855,0.396474,0,0,0,0,0.147282,0.0919016,0.714718,0,0,0,1.60209e-05,0,0.96478,0.631215,0.258687,1.86165e-05
1900,190,7.91667,70,5,31,34,41,29,0,0,0,10,33.3333,0.0332953,0.00934666,0.199017,0.576676,0,10,6,0.271869,0.01355,0.400941,0,0,0,0,0.137569,0.0954219,0.707455,0,0,0,2.28395e-05,0,0.958161,0.629261,0.256667,1.96332e-05
2000,200,8.33333,75,5,26,44,45,30,0,0,0,9,33.3333,0.0319764,0.0108371,0.18742,0.595967,0,10,10,0.269042,0.03065,0.404524,0,0,0,0,0.128304,0.0984513,0.686857,0,0,0,0.000218014,0,0.951486,0.627265,0.254664,2.059e-05
2100,210,8.75,80,5,23,52,45,35,0,0,0,8,41.6667,0.030732,0.0140843,0.167385,0.613786,0,10,10,0.269382,0.054,0.407361,0,0,0,0,0.119324,0.0950113,0.662806,0,0,0,0.000586855,0,0.94394,0.625207,0.252718,2.149e-05
2200,220,9.16667,81,5,22,54,44,37,0,0,0,9,41.6667,0.0295626,0.0189509,0.156295,0.630016,0,10,10,0.266687,0.0808,0.40957,0,0,0,0,0.111112,0.0917869,0.641567,0,0,0,0.00553964,0,0.935511,0.623096,0.251142,2.23367e-05
2300,230,9.58333,85,5,22,58,43,41,1,0,0,9,45.8333,0.0284672,0.0242732,0.143454,0.644989,0,10,10,0.263007,0.108,0.411249,0,0,0,0,0.103449,0.0833229,0.623443,0,0,0,0.0291881,0,0.926714,0.620955,0.25013,2.31333e-05
2400,240,10,88,5,23,60,45,41,2,0,0,8,45.8333,0.0274438,0.0304284,0.130487,0.65866,0,10,10,0.257625,0.13525,0.412481,0,0,0,0,0.0958892,0.0757685,0.60902,0,0,0,0.0734792,0,0.917349,0.618804,0.249984,2.38849e-05
2500,250,10.4167,92,5,27,60,48,39,5,0,0,8,45.8333,0.0264898,0.0374361,0.120464,0.671199,0,10,10,0.252755,0.16255,0.413337,0,0,0,0,0.089243,0.070083,0.5959,0,0,0,0.138596,0,0.907204,0.616657,0.249803,2.45952e-05
2600,260,10.8333,97,5,25,67,48,42,7,0,0,9,45.8333,0.0256021,0.043883,0.113447,0.682875,0,10,10,0.24783,0.19345,0.413873,0,0,0,0,0.0830092,0.0709766,0.584084,0,0,0,0.225542,0,0.897033,0.614522,0.249643,2.52635e-05
2700,270,11.25,98,5,24,69,48,43,7,0,0,9,50,0.0247771,0.0574274,0.103954,0.693729,0,10,10,0.241858,0.2259,0.414137,0,0,0,0,0.0768332,0.0662356,0.573626,0,0,0,0.336159,0,0.884577,0.612407,0.249573,2.58986e-05
2800,280,11.6667,100,5,24,71,46,46,8,0,0,9,50,0.0240113,0.0701479,0.0965558,0.703754,0,10,10,0.236862,0.26015,0.414167,0,0,0,0,0.0713842,0.062943,0.564689,0,0,0,0.47149,0,0.871963,0.610314,0.249702,2.64948e-05
