step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.184559,0.00994048,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,10,0,0.0293801,0,0.317006,0.0352867,0,4,0,0.130619,0,0.0219913,0,0,0,0,0.118418,0.0343195,0.358641,0,0,0,0.000600294,0,1,0.988948,0.242351,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037503,0,0.40295,0.0716264,0,4,0,0.146741,0,0.0499109,0,0,0,0,0.15321,0.0733661,0.404383,0,0,0,0.000437294,0,1,0.965296,0.258283,4.39434e-07
400,40,1.66667,12,5,7,0,12,0,0,0,8,10,0,0.0428088,0,0.470308,0.115732,0,8,0,0.160044,0,0.0919547,0,0,0,0,0.177678,0.146203,0.568926,0,0,0,1.67973e-05,0,1,0.918503,0.265134,9.81608e-07
500,50,2.08333,12,5,6,1,11,1,0,0,7,9,4.16667,0.0460626,7.98507e-06,0.38659,0.15742,0,8,0,0.221631,0,0.135344,0,0,0,0,0.197967,0.167177,0.627748,0,0,0,1.62573e-05,0,0.999979,0.855253,0.264848,1.79169e-06
600,60,2.5,13,5,7,1,12,1,0,0,8,10,4.16667,0.0478244,0.00016222,0.385137,0.196249,0,8,0,0.282703,0,0.176823,0,0,0,0,0.212941,0.15377,0.653035,0,0,0,1.6146e-05,0,0.999563,0.791412,0.261462,2.83994e-06
700,70,2.91667,15,5,7,3,12,3,0,0,6,9,8.33333,0.0485042,0.000343017,0.353021,0.233054,0,12,0,0.323807,0,0.2146,0,0,0,0,0.222154,0.136865,0.664672,0,0,0,1.61018e-05,0,0.999037,0.734967,0.257598,4.07313e-06
800,80,3.33333,17,5,8,4,13,4,0,0,8,9,12.5,0.0484058,0.00071369,0.336727,0.267388,0,12,0,0.327492,0,0.248078,0,0,0,0,0.22353,0.121653,0.670987,0,0,0,1.60802e-05,0,0.9978,0.685103,0.252991,5.43427e-06
900,90,3.75,19,5,10,4,15,4,0,0,8,8,12.5,0.0477555,0.0011319,0.313024,0.299589,0,12,0,0.32625,0,0.2771,0,0,0,0,0.220945,0.103952,0.67039,0,0,0,1.6067e-05,0,0.996151,0.648799,0.249191,6.87141e-06
