step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,9,5,4,0,9,0,0,0,3,0,0,0.0173675,0,0.184466,0.00993257,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,8,0,0.029496,0,0.316957,0.0353502,0,4,0,0.130607,0,0.0267037,0,0,0,0,0.296015,0.0426601,0.358298,0,0,0,1.72013e-05,0,1,0.988051,0.242124,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,9,0,0.0377695,0,0.398916,0.0715195,0,4,0,0.146774,0,0.0831024,0,0,0,0,0.382939,0.0773318,0.406283,0,0,0,1.6253e-05,0,1,0.970316,0.259545,5.70684e-07
400,40,1.66667,13,5,8,0,13,0,0,0,9,10,0,0.0434103,0,0.465412,0.115079,0,8,0,0.160565,0,0.172636,0,0,0,0,0.443933,0.139409,0.575402,0,0,0,1.6134e-05,0,1,0.943208,0.271419,1.45102e-06
500,50,2.08333,14,5,9,0,14,0,0,0,9,9,0,0.0471519,0,0.410067,0.158678,0,8,0,0.21744,0,0.259949,0,0,0,0,0.491437,0.153441,0.643329,0,0,0,1.60916e-05,0,1,0.90354,0.277304,2.90379e-06
600,60,2.5,14,5,7,2,12,2,0,0,11,7,8.33333,0.0495042,0.000141335,0.393525,0.199302,0,8,0,0.264941,0,0.338368,0,0,0,0,0.522946,0.142902,0.687529,0,0,0,1.60756e-05,0,0.999415,0.860156,0.279486,4.907e-06
700,70,2.91667,16,5,9,2,14,2,0,0,9,7,8.33333,0.0508179,0.000441717,0.349115,0.235614,0,12,0,0.294306,0,0.403044,0,0,0,0,0.541204,0.126834,0.715329,0,0,0,1.60636e-05,0,0.997858,0.821246,0.280341,7.36382e-06
800,80,3.33333,19,5,11,3,16,3,0,0,11,8,8.33333,0.0513427,0.000722721,0.35554,0.270447,0,12,0,0.297877,0,0.453995,0,0,0,0,0.542904,0.112743,0.737371,0,0,0,1.60573e-05,0,0.996064,0.787449,0.280697,1.01415e-05
900,90,3.75,21,5,10,6,15,6,0,0,9,8,16.6667,0.0512688,0.00119483,0.318737,0.304008,0,12,0,0.31772,0,0.492896,0,0,0,0,0.540148,0.104489,0.746834,0,0,0,1.60526e-05,0,0.992713,0.756824,0.279893,1.31087e-05
1000,100,4.16667,22,5,10,7,15,7,0,0,8,7,16.6667,0.0507456,0.00173674,0.298508,0.334884,0,17,0,0.33662,0,0.522029,0,0,0,0,0.534972,0.0941214,0.752296,0,0,0,1.60478e-05,0,0.988429,0.730454,0.278711,1.61518e-05
1100,110,4.58333,26,5,12,9,18,8,0,0,5,7,16.6667,0.0498924,0.0022437,0.287994,0.364185,0,17,0,0.338441,0,0.543623,0,0,0,0,0.521301,0.0849342,0.753888,0,0,0,1.60428e-05,0,0.983938,0.707955,0.27749,1.91818e-05
1200,120,5,29,5,15,9,21,8,0,0,5,8,16.6667,0.0488049,0.00271795,0.281371,0.392646,0,17,0,0.326677,0,0.559517,0,0,0,0,0.498896,0.0786959,0.75526,0,0,0,1.60387e-05,0,0.979294,0.688211,0.276124,2.21353e-05
1300,130,5.41667,34,5,19,10,25,9,0,0,4,9,16.6667,0.0475587,0.00316161,0.263302,0.419495,0,17,4,0.319058,0.0023625,0.571138,0,0,0,0,0.477963,0.0732128,0.754726,0,0,0,1.60355e-05,0,0.974538,0.670529,0.274573,2.49694e-05
1400,140,5.83333,40,5,22,13,28,12,0,0,3,10,20.8333,0.0462137,0.00391307,0.253798,0.445339,0,17,4,0.315816,0.0286125,0.57958,0,0,0,0,0.45554,0.0704662,0.741457,0,0,0,0.000158957,0,0.968607,0.654818,0.272875,2.76585e-05
1500,150,6.25,45,5,26,14,32,13,0,0,3,10,29.1667,0.0448151,0.00534254,0.235375,0.469794,0,17,6,0.310208,0.0588875,0.585272,0,0,0,0,0.430699,0.065191,0.719915,0,0,0,0.000552308,0,0.960204,0.640467,0.270929,3.01875e-05
1600,160,6.66667,52,5,29,18,36,16,0,0,2,9,29.1667,0.0433945,0.00672268,0.216707,0.492523,0,17,8,0.310891,0.111038,0.588916,0,0,0,0,0.408223,0.0627232,0.699162,0,0,0,0.00710077,0,0.951598,0.63419,0.269717,3.25415e-05
1700,170,7.08333,58,5,29,24,36,22,0,0,1,8,29.1667,0.041979,0.00801379,0.210491,0.513911,0,17,12,0.305077,0.163537,0.591187,0,0,0,0,0.382575,0.0630554,0.680089,0,0,0,0.0506587,0,0.942962,0.632177,0.268869,3.47223e-05
1800,180,7.5,63,5,32,26,40,23,0,0,1,9,33.3333,0.0405904,0.00934597,0.200079,0.534465,0,17,12,0.29692,0.216037,0.592694,0,0,0,0,0.356279,0.0622132,0.662858,0,0,0,0.136308,0,0.933903,0.630178,0.268094,3.6741e-05
1900,190,7.91667,72,5,29,38,45,27,0,0,0,8,33.3333,0.0392453,0.0108364,0.188324,0.553901,0,17,12,0.289533,0.268537,0.593589,0,0,0,0,0.33303,0.0588952,0.647323,0,0,0,0.264037,0,0.92401,0.628192,0.267398,3.86128e-05
2000,200,8.33333,78,5,25,48,46,32,0,0,0,9,37.5,0.0379542,0.01259,0.176747,0.572141,0,17,17,0.283826,0.327075,0.593747,0,0,0,0,0.310965,0.0577648,0.633466,0,0,0,0.434862,0,0.913885,0.62622,0.266831,4.03512e-05
2100,210,8.75,83,5,23,55,47,36,0,0,0,9,41.6667,0.0367239,0.0163146,0.161769,0.589079,0,17,17,0.277152,0.388325,0.593378,0,0,0,0,0.288782,0.0557333,0.620987,0,0,0,0.653141,0,0.902374,0.624261,0.266323,4.19683e-05
2200,220,9.16667,89,5,22,62,49,40,0,0,0,10,45.8333,0.0355577,0.0223207,0.147461,0.604581,0,17,17,0.271235,0.449575,0.592639,0,0,0,0,0.269305,0.0565734,0.609469,0,0,0,0.799332,0,0.889198,0.622314,0.265756,4.34743e-05
2300,230,9.58333,89,5,22,62,46,43,0,0,0,10,45.8333,0.0344565,0.0284968,0.133856,0.618604,0,17,17,0.266148,0.516075,0.591679,0,0,0,0,0.251131,0.0555063,0.599138,0,0,0,0.799324,0,0.875677,0.620381,0.265262,4.48774e-05
2400,240,10,93,5,21,67,48,44,1,0,0,9,45.8333,0.03342,0.0356136,0.121268,0.631337,0,17,17,0.260076,0.584675,0.59052,0,0,0,0,0.233147,0.0545363,0.589923,0,0,0,0.799317,0,0.861022,0.618459,0.264851,4.6192e-05
2500,250,10.4167,96,5,19,72,47,46,3,0,0,9,45.8333,0.0324469,0.0433611,0.111336,0.642965,0,17,17,0.254682,0.652225,0.589138,0,0,0,0,0.217376,0.0537573,0.581679,0,0,0,0.799317,0,0.845316,0.616548,0.264499,4.74206e-05
2600,260,10.8333,99,5,16,78,47,45,7,0,0,9,50,0.0315353,0.0546937,0.102054,0.653621,0,17,17,0.249085,0.718988,0.587567,0,0,0,0,0.202589,0.0529716,0.574237,0,0,0,0.799316,0,0.828104,0.614648,0.264171,4.85631e-05
2700,270,11.25,102,5,17,80,48,45,9,0,0,8,54.1667,0.0306827,0.0687403,0.0926715,0.66335,0,17,17,0.242506,0.785138,0.585841,0,0,0,0,0.187935,0.0519714,0.567501,0,0,0,0.799316,0,0.809588,0.612759,0.263856,4.96324e-05
2800,280,11.6667,103,5,18,80,49,43,11,0,0,8,54.1667,0.0298864,0.0875509,0.0844264,0.6722,0,17,17,0.236811,0.847788,0.583989,0,0,0,0,0.175052,0.0509499,0.561361,0,0,0,0.799324,0,0.788699,0.61088,0.263536,5.06433e-05
2900,290,12.0833,105,5,19,81,49,44,12,0,0,8,54.1667,0.0291432,0.104819,0.0773481,0.680267,0,17,17,0.231368,0.909388,0.58203,0,0,0,0,0.16308,0.0499442,0.555807,0,0,0,0.799331,0,0.767141,0.609011,0.263231,5.15837e-05
3000,300,12.5,105,5,17,83,46,46,13,0,0,9,54.1667,0.0284502,0.119976,0.0708496,0.687659,0,17,17,0.225496,0.971425,0.579986,0,0,0,0,0.15143,0.0490907,0.550772,0,0,0,0.799335,0,0.7457,0.60715,0.262933,5.24669e-05
3100,310,12.9167,108,5,18,85,45,46,17,0,0,8,62.5,0.0278042,0.139416,0.0647599,0.694485,0,17,17,0.220907,1.03416,0.577876,0,0,0,0,0.141271,0.0496138,0.545881,0,0,0,0.799335,0,0.722094,0.605299,0.262514,5.32974e-05
3200,320,13.3333,111,5,19,87,46,48,17,0,0,8,62.5,0.0272021,0.15932,0.0586624,0.700634,0,17,17,0.216626,1.0976,0.575727,0,0,0,0,0.1318,0.0488248,0.54138,0,0,0,0.799334,0,0.69738,0.603456,0.262087,5.4079e-05
3300,330,13.75,115,5,18,92,48,49,18,0,0,8,62.5,0.0266411,0.176883,0.0532613,0.706218,0,17,17,0.211772,1.1613,0.573542,0,0,0,0,0.122508,0.0479754,0.537292,0,0,0,0.799332,0,0.672806,0.601621,0.261677,5.48157e-05
3400,340,14.1667,116,5,18,93,49,47,18,2,0,9,66.6667,0.0261182,0.200061,0.0487012,0.711318,0,17,17,0.207993,1.22483,0.571323,0,0,0,0,0.114357,0.0478573,0.533495,0,0,0,0.799333,0,0.646082,0.599794,0.261252,5.55106e-05
