step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.189584,0.0100947,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.029496,0.000151787,0.335329,0.0364867,0,4,0,0.130622,0,0.0267037,0,0,0,0,0.296015,0.0491598,0.357562,0,0,0,0.000604897,0,0.999596,0.988227,0.241848,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000551721,0.43139,0.0753166,0,4,0,0.146518,0,0.0831024,0,0,0,0,0.382939,0.119702,0.396216,0,0,0,0.0003167,0,0.998496,0.951054,0.253592,2.30885e-05
400,40,1.66667,14,5,6,3,11,3,0,0,7,10,12.5,0.0434103,0.000980378,0.499372,0.122232,0,8,0,0.159048,0,0.172636,0,0,0,0,0.443933,0.193448,0.554295,0,0,0,1.65466e-05,0,0.997246,0.887041,0.25519,5.86742e-05
500,50,2.08333,18,5,7,6,13,5,0,0,8,10,12.5,0.0471468,0.00138138,0.417945,0.167185,0,8,0,0.207542,0,0.258391,0,0,0,0,0.494613,0.203401,0.627898,0,0,0,1.6196e-05,0,0.995852,0.806536,0.249549,0.000117078
600,60,2.5,20,5,9,6,14,6,0,0,9,10,16.6667,0.0494756,0.00188568,0.409103,0.207982,0,8,0,0.237917,0,0.334125,0,0,0,0,0.522859,0.176328,0.647321,0,0,0,1.61144e-05,0,0.993447,0.733314,0.242644,0.000196446
700,70,2.91667,23,5,10,8,15,8,0,0,7,10,16.6667,0.0507529,0.00238303,0.397244,0.248377,0,12,0,0.259395,0,0.397139,0,0,0,0,0.539616,0.15351,0.654092,0,0,0,1.60792e-05,0,0.990375,0.671764,0.236323,0.000292745
800,80,3.33333,26,5,10,11,15,11,0,0,10,10,25,0.0512397,0.00296187,0.386274,0.287966,0,12,0,0.271754,0,0.447334,0,0,0,0,0.545295,0.137021,0.649389,0,0,0,1.60651e-05,0,0.986561,0.650759,0.233863,0.000401082
900,90,3.75,33,5,15,13,20,13,0,0,9,7,33.3333,0.0511327,0.00460437,0.362311,0.32549,0,12,0,0.2821,0,0.486114,0,0,0,0,0.541282,0.127249,0.647826,0,0,0,1.6056e-05,0,0.97944,0.648757,0.233317,0.000516623
1000,100,4.16667,35,5,14,16,20,15,0,0,9,6,33.3333,0.0505838,0.00640074,0.343755,0.36082,0,17,0,0.285424,0,0.515478,0,0,0,0,0.532229,0.111469,0.649244,0,0,0,1.60479e-05,0,0.971075,0.646724,0.233472,0.000635162
