step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.189455,0.0100835,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.029496,6.3477e-05,0.338162,0.0366649,0,4,0,0.13062,0,0.0267037,0,0,0,0,0.296015,0.0450046,0.358076,0,0,0,0.0006023,0,0.999833,0.988359,0.242066,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,12.5,0.0377695,0.000472171,0.432482,0.0756433,0,4,0,0.146572,0,0.0831024,0,0,0,0,0.382939,0.114514,0.397852,0,0,0,0.000103622,0,0.998725,0.954266,0.254567,2.30885e-05
400,40,1.66667,12,5,4,3,9,3,0,0,8,10,12.5,0.0434103,0.000905961,0.496841,0.122557,0,8,0,0.159284,0,0.172636,0,0,0,0,0.443933,0.177826,0.558148,0,0,0,1.64216e-05,0,0.997475,0.895945,0.257621,5.86742e-05
500,50,2.08333,17,5,6,6,11,6,0,0,8,10,16.6667,0.0471468,0.00133564,0.402216,0.166598,0,8,0,0.208691,0,0.258392,0,0,0,0,0.494811,0.174934,0.638434,0,0,0,1.61601e-05,0,0.996002,0.832699,0.25638,0.000117078
600,60,2.5,19,5,7,7,12,7,0,0,10,9,20.8333,0.0494756,0.00194793,0.403602,0.20678,0,8,0,0.239036,0,0.334129,0,0,0,0,0.523057,0.163103,0.665752,0,0,0,1.60921e-05,0,0.993357,0.778759,0.254561,0.000196447
700,70,2.91667,22,5,7,10,12,10,0,0,9,8,20.8333,0.050753,0.00280987,0.402108,0.247188,0,12,0,0.257328,0,0.397153,0,0,0,0,0.538656,0.152955,0.679323,0,0,0,1.60646e-05,0,0.989519,0.733391,0.252657,0.000292751
800,80,3.33333,27,5,10,12,16,11,0,0,10,9,25,0.0512399,0.00371441,0.403616,0.287249,0,12,0,0.265895,0,0.447357,0,0,0,0,0.542258,0.138391,0.684265,0,0,0,1.6054e-05,0,0.984862,0.694665,0.250664,0.000401098
900,90,3.75,28,5,11,12,16,12,0,0,10,9,29.1667,0.0511329,0.00517817,0.398841,0.327509,0,12,0,0.264323,0,0.486109,0,0,0,0,0.533949,0.12447,0.683894,0,0,0,1.60483e-05,0,0.978092,0.658641,0.247712,0.000516647
1000,100,4.16667,34,5,14,15,19,15,0,0,7,10,29.1667,0.0505836,0.00656892,0.387028,0.366876,0,17,0,0.269612,0,0.515374,0,0,0,0,0.525098,0.108025,0.683976,0,0,0,1.60451e-05,0,0.970778,0.646813,0.246991,0.000635148
1100,110,4.58333,40,5,17,18,23,17,0,0,5,10,33.3333,0.049711,0.00790413,0.3598,0.404268,0,17,0,0.276971,0,0.537198,0,0,0,0,0.512281,0.0931449,0.679475,0,0,0,1.60419e-05,0,0.962995,0.644837,0.247687,0.000753216
1200,120,5,42,5,16,21,21,21,0,0,5,9,33.3333,0.0486098,0.00948763,0.322887,0.437665,0,17,0,0.286555,0,0.553367,0,0,0,0,0.494833,0.0801948,0.678814,0,0,0,1.60387e-05,0,0.953894,0.642864,0.248642,0.000868387
1300,130,5.41667,48,5,21,22,26,22,0,0,5,7,33.3333,0.0473548,0.010969,0.313171,0.469506,0,17,4,0.286728,0.0007875,0.565321,0,0,0,0,0.475101,0.0697111,0.679611,0,0,0,1.60355e-05,0,0.944559,0.640895,0.24983,0.00097903
1400,140,5.83333,52,5,19,28,26,26,0,0,5,7,33.3333,0.0460052,0.0123547,0.302168,0.500259,0,17,4,0.288059,0.0095375,0.574132,0,0,0,0,0.454219,0.0609034,0.672803,0,0,0,1.60323e-05,0,0.935049,0.638932,0.251155,0.00108417
1500,150,6.25,55,5,20,30,26,29,0,0,5,6,37.5,0.0446066,0.0145501,0.287836,0.52978,0,17,5,0.286547,0.0182875,0.580597,0,0,0,0,0.430701,0.0532419,0.66625,0,0,0,6.13634e-05,0,0.924825,0.636974,0.252508,0.00118334
1600,160,6.66667,59,5,20,34,28,31,0,0,3,7,41.6667,0.0431941,0.0175647,0.280768,0.558124,0,17,5,0.278514,0.0270375,0.585298,0,0,0,0,0.406411,0.0471956,0.658478,0,0,0,0.00016878,0,0.913852,0.635023,0.253842,0.00127641
1700,170,7.08333,62,5,14,43,27,35,0,0,2,8,45.8333,0.0417935,0.0234719,0.269578,0.5856,0,17,10,0.268899,0.0364,0.58857,0,0,0,0,0.381716,0.0420144,0.647839,0,0,0,0.000324414,0,0.900761,0.633079,0.25505,0.00136347
1800,180,7.5,66,5,15,46,30,36,0,0,1,10,45.8333,0.0404221,0.0295738,0.253345,0.611525,0,17,10,0.262763,0.0539,0.59044,0,0,0,0,0.356719,0.0383607,0.635095,0,0,0,0.000891695,0,0.887235,0.631143,0.256172,0.00144453
1900,190,7.91667,68,5,16,47,31,36,1,0,0,9,50,0.0390924,0.0356307,0.245503,0.636489,0,17,10,0.256582,0.0714,0.591577,0,0,0,0,0.334215,0.0463105,0.622963,0,0,0,0.0102871,0,0.873421,0.629215,0.25693,0.00151977
2000,200,8.33333,70,5,14,51,31,37,2,0,0,10,50,0.0378158,0.04407,0.234954,0.660491,0,17,16,0.252524,0.0949375,0.592208,0,0,0,0,0.312718,0.055556,0.610417,0,0,0,0.0360477,0,0.857402,0.627294,0.25697,0.00158975
2100,210,8.75,73,5,13,55,33,37,3,0,0,9,50,0.0365991,0.0541826,0.222889,0.683376,0,17,17,0.24832,0.124075,0.592229,0,0,0,0,0.290951,0.0633711,0.59784,0,0,0,0.0825737,0,0.839197,0.625381,0.2565,0.00165498
2200,220,9.16667,77,5,14,58,35,38,4,0,0,9,50,0.0354456,0.0634638,0.212132,0.705132,0,17,17,0.24517,0.159075,0.591813,0,0,0,0,0.271544,0.0712714,0.585454,0,0,0,0.154192,0,0.820759,0.623476,0.255654,0.00171583
2300,230,9.58333,79,5,12,62,34,39,6,0,0,10,50,0.0343565,0.0727098,0.20193,0.72579,0,17,17,0.241399,0.194075,0.591079,0,0,0,0,0.253134,0.0774608,0.573356,0,0,0,0.252328,0,0.801523,0.621577,0.254515,0.00177262
