step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188681,0.0100642,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.029496,0.000113655,0.33098,0.0362824,0,4,0,0.130634,0,0.0267037,0,0,0,0,0.296015,0.0390908,0.358311,0,0,0,0.000614376,0,0.9997,0.989661,0.24229,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,12.5,0.0377695,0.000477407,0.428041,0.0747702,0,4,0,0.14662,0,0.0831024,0,0,0,0,0.382939,0.126129,0.397592,0,0,0,0.00040261,0,0.998704,0.95356,0.254393,2.30885e-05
400,40,1.66667,16,5,6,5,12,4,0,0,8,10,16.6667,0.0434103,0.000970882,0.484392,0.12086,0,8,0,0.159192,0,0.172636,0,0,0,0,0.443933,0.182817,0.555007,0,0,0,1.67914e-05,0,0.997296,0.888681,0.255639,5.86742e-05
500,50,2.08333,20,5,9,6,14,6,0,0,8,10,16.6667,0.0471468,0.00152725,0.373715,0.161263,0,8,0,0.212909,0,0.258405,0,0,0,0,0.495931,0.172258,0.631411,0,0,0,1.62518e-05,0,0.995438,0.817632,0.252065,0.00011708
600,60,2.5,23,5,11,7,16,7,0,0,10,9,25,0.0494758,0.00229996,0.364364,0.198216,0,8,0,0.248718,0,0.334172,0,0,0,0,0.525851,0.153287,0.654466,0,0,0,1.61342e-05,0,0.992485,0.753921,0.247562,0.000196462
700,70,2.91667,26,5,10,11,15,11,0,0,9,9,25,0.0507537,0.00350779,0.374139,0.235026,0,12,0,0.264447,0,0.39725,0,0,0,0,0.540315,0.133053,0.661907,0,0,0,1.60893e-05,0,0.987875,0.700078,0.243154,0.000292802
800,80,3.33333,29,5,13,11,18,11,0,0,11,10,25,0.0512415,0.0046377,0.377436,0.272804,0,12,0,0.267628,0,0.447503,0,0,0,0,0.542204,0.11657,0.664603,0,0,0,1.60712e-05,0,0.982566,0.654819,0.239163,0.000401219
900,90,3.75,37,5,17,15,23,14,0,0,8,10,33.3333,0.0511355,0.00612807,0.35194,0.309925,0,12,0,0.274488,0,0.486278,0,0,0,0,0.536192,0.108174,0.662404,0,0,0,1.60584e-05,0,0.975557,0.648776,0.238694,0.000516858
1000,100,4.16667,41,5,18,18,23,18,0,0,5,10,33.3333,0.0505872,0.00782614,0.335217,0.344208,0,17,0,0.285489,0,0.515579,0,0,0,0,0.528535,0.0944602,0.661964,0,0,0,1.60485e-05,0,0.967187,0.646786,0.239164,0.000635466
1100,110,4.58333,44,5,19,20,24,20,0,0,3,9,33.3333,0.0497157,0.00941467,0.327665,0.377362,0,17,0,0.288693,0,0.537454,0,0,0,0,0.514143,0.080739,0.649332,0,0,0,1.6043e-05,0,0.958394,0.644795,0.240193,0.000753669
1200,120,5,49,5,20,24,26,23,0,0,2,10,33.3333,0.0486157,0.0109007,0.313434,0.40954,0,17,0,0.286215,0,0.553655,0,0,0,0,0.494018,0.0710833,0.655464,0,0,0,1.60387e-05,0,0.949285,0.642805,0.241562,0.000869004
1300,130,5.41667,57,5,26,26,30,27,0,0,1,9,41.6667,0.0473619,0.0143462,0.2833,0.438943,0,17,4,0.289632,0.000675,0.565604,0,0,0,0,0.477094,0.0623453,0.659855,0,0,0,1.60355e-05,0,0.938652,0.640815,0.243075,0.000979808
1400,140,5.83333,60,5,24,31,29,31,0,0,0,9,41.6667,0.0460131,0.0191959,0.273738,0.46674,0,17,4,0.289068,0.008175,0.574412,0,0,0,0,0.456002,0.0747484,0.653739,0,0,0,1.60323e-05,0,0.926759,0.638829,0.244235,0.0010851
1500,150,6.25,64,5,26,33,33,31,0,0,0,9,45.8333,0.0446152,0.0254487,0.257239,0.493341,0,17,4,0.285458,0.015675,0.580872,0,0,0,0,0.431973,0.0742148,0.645766,0,0,0,4.12981e-05,0,0.913574,0.636848,0.244544,0.00118441
1600,160,6.66667,70,5,22,43,35,35,0,0,0,10,45.8333,0.0432031,0.0314231,0.243323,0.518374,0,17,4,0.281744,0.02205,0.585563,0,0,0,0,0.409789,0.0733069,0.63737,0,0,0,0.000121447,0,0.900177,0.634872,0.244919,0.0012776
1700,170,7.08333,74,5,22,47,34,40,0,0,0,10,45.8333,0.0418016,0.037012,0.229006,0.541951,0,17,9,0.277066,0.026925,0.588479,0,0,0,0,0.387613,0.0646775,0.62922,0,0,0,0.000183903,0,0.886696,0.632902,0.245664,0.00136463
1800,180,7.5,78,5,22,51,35,41,2,0,0,10,45.8333,0.0404271,0.0440903,0.221989,0.564401,0,17,10,0.266621,0.0306,0.590222,0,0,0,0,0.361291,0.0572418,0.620899,0,0,0,0.000254682,0,0.871532,0.630938,0.246576,0.00144539
1900,190,7.91667,86,5,23,58,41,41,4,0,0,9,45.8333,0.0390942,0.051268,0.216741,0.586373,0,17,10,0.25644,0.033375,0.591267,0,0,0,0,0.33675,0.0514326,0.612149,0,0,0,0.0003436,0,0.855552,0.628982,0.247493,0.00152028
2000,200,8.33333,87,5,22,60,40,41,6,0,0,8,50,0.0378143,0.0592678,0.209559,0.607675,0,17,14,0.24798,0.03885,0.591814,0,0,0,0,0.313494,0.0489233,0.602277,0,0,0,0.000577583,0,0.838278,0.627034,0.248443,0.00158987
2100,210,8.75,92,5,22,65,40,44,8,0,0,9,54.1667,0.0365944,0.070048,0.200533,0.628237,0,17,15,0.24166,0.050625,0.591729,0,0,0,0,0.290227,0.0525164,0.591171,0,0,0,0.0045878,0,0.819079,0.625092,0.249057,0.00165468
2200,220,9.16667,94,5,20,69,39,47,8,0,0,10,58.3333,0.035438,0.0878751,0.188127,0.647692,0,17,15,0.237557,0.065175,0.591266,0,0,0,0,0.269942,0.0497641,0.580949,0,0,0,0.0195599,0,0.797039,0.623159,0.249526,0.0017151
2300,230,9.58333,98,5,23,70,40,46,12,0,0,9,58.3333,0.034346,0.10735,0.175452,0.665836,0,17,16,0.233639,0.080025,0.590461,0,0,0,0,0.25106,0.0458009,0.571986,0,0,0,0.0461117,0,0.773668,0.621233,0.250047,0.00177146
2400,240,10,101,5,23,73,41,46,14,0,0,9,58.3333,0.0333179,0.125801,0.163346,0.682761,0,17,16,0.229043,0.0963,0.589377,0,0,0,0,0.232383,0.0424283,0.564218,0,0,0,0.084753,0,0.749233,0.619315,0.250637,0.00182401
2500,250,10.4167,105,5,23,77,43,46,16,0,0,8,62.5,0.0323521,0.148205,0.15324,0.698561,0,17,16,0.225458,0.113175,0.588033,0,0,0,0,0.215993,0.0437648,0.557257,0,0,0,0.136282,0,0.722804,0.617406,0.251181,0.00187302
2600,260,10.8333,109,5,22,82,44,48,17,0,0,8,66.6667,0.0314468,0.170505,0.142372,0.713325,0,17,16,0.22198,0.130575,0.586465,0,0,0,0,0.200693,0.0407529,0.550788,0,0,0,0.201103,0,0.695605,0.615504,0.251588,0.00191876
2700,270,11.25,113,5,22,86,44,50,19,0,0,10,66.6667,0.0305993,0.195355,0.132087,0.727043,0,17,16,0.217824,0.148575,0.584714,0,0,0,0,0.185669,0.0407823,0.544898,0,0,0,0.279519,0,0.666718,0.613611,0.251924,0.00196147
2800,280,11.6667,117,5,24,88,44,53,20,0,0,9,66.6667,0.0298069,0.217133,0.122424,0.739768,0,17,16,0.214634,0.16665,0.582814,0,0,0,0,0.172518,0.0381287,0.539672,0,0,0,0.371952,0,0.637981,0.611726,0.252252,0.00200136
2900,290,12.0833,123,5,21,97,47,52,23,1,0,8,70.8333,0.0290668,0.237815,0.113699,0.751558,0,17,16,0.211522,0.184275,0.580792,0,0,0,0,0.16025,0.0358316,0.535122,0,0,0,0.47831,0,0.608934,0.609849,0.252604,0.00203865
3000,300,12.5,124,5,22,97,46,54,19,5,0,8,75,0.0283758,0.273932,0.103804,0.762426,0,17,16,0.207693,0.201825,0.578672,0,0,0,0,0.148173,0.0337618,0.530999,0,0,0,0.59849,0,0.57434,0.60798,0.252903,0.00207353
3100,310,12.9167,128,5,24,99,49,53,20,6,0,7,75,0.0277309,0.307288,0.0955381,0.772387,0,17,16,0.204862,0.219825,0.576469,0,0,0,0,0.137617,0.0321142,0.527332,0,0,0,0.732632,0,0.539,0.60612,0.253181,0.00210616
3200,320,13.3333,131,5,22,104,46,57,20,8,0,7,79.1667,0.0271291,0.336675,0.088347,0.781569,0,17,16,0.202195,0.23835,0.5742,0,0,0,0,0.127848,0.0308624,0.52404,0,0,0,0.79971,0,0.50353,0.604267,0.253427,0.00213671
3300,330,13.75,132,5,21,106,45,57,22,8,0,6,79.1667,0.0265674,0.371499,0.0809131,0.790017,0,17,16,0.198799,0.25665,0.571877,0,0,0,0,0.118268,0.0295722,0.520998,0,0,0,0.799711,0,0.465156,0.602422,0.253607,0.00216532
3400,340,14.1667,136,5,25,106,49,55,24,8,0,5,79.1667,0.0260431,0.400663,0.0744987,0.79779,0,17,16,0.196282,0.274875,0.569512,0,0,0,0,0.109864,0.0285525,0.518234,0,0,0,0.799712,0,0.427024,0.600586,0.253748,0.0021921
3500,350,14.5833,134,5,25,104,48,58,21,7,0,7,100,0.0255535,0.431801,0.0694932,0.804997,0,16,15,0.193874,0.29175,0.567112,0,0,0,0,0.102086,0.0318235,0.51529,0,0,0,0.799716,0,0.387173,0.598757,0.253682,0.00221719
3600,360,15,0,0,0,0,0,0,0,0,0,6,100,0.0251198,0.467745,0.0599182,0.811437,0,16,15,0.190785,0.31365,0.571388,0,0,0,0,0.0944782,0.0306764,0.507088,0,0,0,0.79971,0,0.3042,0.596936,0.251391,0.00224461
3700,370,15.4167,0,0,0,0,0,0,0,0,0,6,100,0.0247517,0.497167,0.0526677,0.817056,0,16,15,0.188519,0.3378,0.574606,0,0,0,0,0.0877372,0.0300543,0.499767,0,0,0,0.799702,0,0.246187,0.595122,0.249341,0.00227664
3800,380,15.8333,0,0,0,0,0,0,0,0,0,5,100,0.0244339,0.521251,0.0468022,0.822013,0,16,15,0.186409,0.3618,0.577001,0,0,0,0,0.0814951,0.0294474,0.493207,0,0,0,0.799696,0,0.189783,0.593315,0.247496,0.00231147
3900,390,16.25,0,0,0,0,0,0,0,0,0,5,100,0.024155,0.540966,0.0418576,0.826436,0,16,15,0.183701,0.3852,0.578738,0,0,0,0,0.0754398,0.0287001,0.487312,0,0,0,0.799691,0,0.133024,0.591515,0.245825,0.00234781
4000,400,16.6667,0,0,0,0,0,0,0,0,0,5,100,0.0239068,0.557104,0.037813,0.830414,0,16,15,0.181847,0.408225,0.579937,0,0,0,0,0.0701303,0.0280717,0.481996,0,0,0,0.799689,0,0.0760062,0.589721,0.244305,0.00238476
4100,410,17.0833,0,0,0,0,0,0,0,0,0,5,100,0.023683,0.570313,0.0352982,0.834025,0,12,12,0.180085,0.4302,0.58069,0,0,0,0,0.0652261,0.0304144,0.477149,0,0,0,0.79969,0,0.0228895,0.587934,0.242898,0.00242164
4200,420,17.5,0,0,0,0,0,0,0,0,0,5,100,0.0234786,0.581127,0.0349503,0.837553,0,11,11,0.177678,0.4443,0.581067,0,0,0,0,0.0604821,0.0410646,0.471869,0,0,0,0.799704,0,9.28591e-07,0.586154,0.241251,0.00245798
4300,430,17.9167,0,0,0,0,0,0,0,0,0,4,100,0.02329,0.589978,0.0334271,0.84098,0,11,11,0.176052,0.457575,0.581011,0,0,0,0,0.0563054,0.0499156,0.465987,0,0,0,0.799718,0,9.28591e-07,0.584379,0.239302,0.00249341
4400,440,18.3333,0,0,0,0,0,0,0,0,0,4,100,0.0231126,0.597223,0.0313568,0.844219,0,8,8,0.174426,0.4686,0.580543,0,0,0,0,0.0523708,0.0569919,0.462057,0,0,0,0.799733,0,9.28591e-07,0.582611,0.23808,0.00252738
