step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188554,0.0100533,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0.000210012,0.314322,0,0,0,0.000272399,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,7,8.33333,0.029496,0.000174244,0.327145,0.0361342,0,4,0,0.13064,0,0.0267037,0,0,0,0,0.296015,0.029858,0.373246,0,0,0,0.00026375,0,0.999538,0.990605,0.242401,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000586483,0.422486,0.0739687,0,4,0,0.146771,0,0.0831024,0,0,0,0,0.382939,0.105001,0.413788,0,0,0,1.74313e-05,0,0.9984,0.961937,0.256317,2.30885e-05
400,40,1.66667,13,5,4,4,9,4,0,0,8,10,12.5,0.0434103,0.0010129,0.491424,0.120126,0,8,0,0.159709,0,0.172636,0,0,0,0,0.443933,0.185481,0.565081,0,0,0,1.67565e-05,0,0.99715,0.900901,0.258786,5.86742e-05
500,50,2.08333,15,5,4,6,10,5,0,0,9,10,16.6667,0.0471468,0.00151049,0.390339,0.162662,0,8,0,0.222446,0,0.258403,0,0,0,0,0.49844,0.186937,0.636837,0,0,0,1.62476e-05,0,0.995447,0.826194,0.254519,0.000117079
600,60,2.5,21,5,9,7,15,6,0,0,9,9,16.6667,0.0494759,0.00203205,0.376734,0.201706,0,8,0,0.265716,0,0.334196,0,0,0,0,0.530373,0.175771,0.656518,0,0,0,1.61328e-05,0,0.992946,0.755301,0.248366,0.000196466
700,70,2.91667,24,5,10,9,15,9,0,0,9,7,16.6667,0.0507543,0.00251995,0.377585,0.238943,0,12,0,0.29517,0,0.397361,0,0,0,0,0.549063,0.153913,0.660904,0,0,0,1.60869e-05,0,0.989872,0.692577,0.24196,0.00029284
800,80,3.33333,29,5,14,10,19,10,0,0,10,5,25,0.0512435,0.00342405,0.392466,0.277585,0,12,0,0.291246,0,0.447766,0,0,0,0,0.548981,0.133342,0.66062,0,0,0,1.60702e-05,0,0.985246,0.650761,0.237152,0.000401362
900,90,3.75,31,5,12,14,18,13,0,0,10,5,29.1667,0.0511399,0.00485258,0.381636,0.316364,0,12,0,0.285082,0,0.486703,0,0,0,0,0.539311,0.114653,0.657131,0,0,0,1.60572e-05,0,0.978599,0.648771,0.236804,0.000517208
1000,100,4.16667,36,5,14,17,20,16,0,0,10,4,29.1667,0.0505946,0.00626433,0.368952,0.353946,0,17,0,0.280059,0,0.51611,0,0,0,0,0.527246,0.100412,0.662292,0,0,0,1.60479e-05,0,0.971258,0.646778,0.237305,0.000636112
1100,110,4.58333,40,5,17,18,23,17,0,0,9,3,29.1667,0.0497261,0.00758501,0.357747,0.390146,0,17,1,0.275344,0.004875,0.537994,0,0,0,0,0.510667,0.0866181,0.652752,0,0,0,1.6044e-05,0,0.963544,0.644786,0.238426,0.000754643
1200,120,5,44,5,18,21,23,21,0,0,5,7,33.3333,0.048628,0.00902258,0.325168,0.424961,0,17,1,0.271857,0.012375,0.554113,0,0,0,0,0.488114,0.0757115,0.644622,0,0,0,1.60401e-05,0,0.954937,0.642795,0.239902,0.000870264
1300,130,5.41667,50,5,20,25,25,25,0,0,3,9,33.3333,0.0473747,0.0105339,0.316802,0.456936,0,17,4,0.276973,0.02055,0.565899,0,0,0,0,0.468641,0.0693079,0.636996,0,0,0,0.00010136,0,0.945581,0.640807,0.241518,0.000981245
1400,140,5.83333,55,5,22,28,27,28,0,0,2,10,33.3333,0.0460247,0.0119478,0.309302,0.488181,0,17,4,0.269999,0.03555,0.574467,0,0,0,0,0.444651,0.0612824,0.625168,0,0,0,0.000322098,0,0.936058,0.638824,0.243196,0.00108654
1500,150,6.25,60,5,23,32,29,31,0,0,2,9,37.5,0.0446236,0.0135544,0.298251,0.518586,0,17,4,0.262299,0.05055,0.580618,0,0,0,0,0.418924,0.0549056,0.613383,0,0,0,0.00106054,0,0.926232,0.636847,0.244989,0.00118563
