step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,9,5,4,0,9,0,0,0,3,0,0,0.0173675,0,0.185463,0.00998179,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,9,0,0.029496,0,0.320919,0.0354801,0,4,0,0.130621,0,0.0267037,0,0,0,0,0.296015,0.0408172,0.358584,0,0,0,0.000603211,0,1,0.988794,0.242313,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.410585,0.0724833,0,4,0,0.146621,0,0.0831024,0,0,0,0,0.382939,0.108132,0.401048,0,0,0,0.000350715,0,1,0.956568,0.256076,5.70684e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0434103,0,0.467723,0.116798,0,8,0,0.159451,0,0.172636,0,0,0,0,0.443933,0.161054,0.564585,0,0,0,1.6411e-05,0,1,0.901453,0.260747,1.45102e-06
500,50,2.08333,14,5,8,1,13,1,0,0,10,10,4.16667,0.0471476,4.75134e-05,0.45671,0.161974,0,8,0,0.197048,0,0.258575,0,0,0,0,0.491169,0.185397,0.646096,0,0,0,1.6138e-05,0,0.999843,0.836441,0.25982,2.89819e-06
600,60,2.5,14,5,8,1,13,1,0,0,10,9,4.16667,0.0494781,0.000199198,0.407907,0.204957,0,8,0,0.257618,0,0.334401,0,0,0,0,0.528063,0.187124,0.668641,0,0,0,1.60907e-05,0,0.999215,0.764651,0.254305,4.86843e-06
700,70,2.91667,16,5,8,3,12,4,0,0,8,10,12.5,0.0507576,0.000448974,0.4017,0.24562,0,12,0,0.311982,0,0.397554,0,0,0,0,0.554136,0.18574,0.672649,0,0,0,1.60715e-05,0,0.997897,0.697112,0.247268,7.26271e-06
800,80,3.33333,19,5,8,6,13,6,0,0,10,10,16.6667,0.0512512,0.000914462,0.376344,0.284845,0,12,0,0.361293,0,0.448862,0,0,0,0,0.568957,0.184123,0.668122,0,0,0,1.60613e-05,0,0.995058,0.650541,0.240173,9.96783e-06
900,90,3.75,22,5,11,6,16,6,0,0,8,9,16.6667,0.051159,0.00147447,0.30579,0.319244,0,12,0,0.380914,0,0.488722,0,0,0,0,0.566048,0.181229,0.658206,0,0,0,1.60548e-05,0,0.991123,0.648338,0.236802,1.28735e-05
