step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188522,0.0100503,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,3,4,10,2,0,0,6,10,8.33333,0.029496,0.00011008,0.331908,0.0363215,0,4,0,0.130616,0,0.0267037,0,0,0,0,0.296015,0.0438714,0.357839,0,0,0,0.000599792,0,0.999708,0.988386,0.241974,7.55031e-06
300,30,1.25,12,5,3,4,9,3,0,0,6,10,12.5,0.0377695,0.000455284,0.425862,0.0746741,0,4,0,0.146558,0,0.0831024,0,0,0,0,0.382939,0.123572,0.397693,0,0,0,1.66255e-05,0,0.998763,0.953651,0.254442,2.30885e-05
400,40,1.66667,15,5,7,3,12,3,0,0,9,10,12.5,0.0434103,0.000890163,0.487951,0.120681,0,8,0,0.159318,0,0.172636,0,0,0,0,0.443933,0.165444,0.560023,0,0,0,1.62648e-05,0,0.997513,0.900689,0.258846,5.86742e-05
500,50,2.08333,16,5,6,5,11,5,0,0,9,10,16.6667,0.0471468,0.00132877,0.417504,0.165022,0,8,0,0.206207,0,0.258392,0,0,0,0,0.493998,0.171903,0.643749,0,0,0,1.61134e-05,0,0.996013,0.846141,0.259851,0.000117078
600,60,2.5,21,5,8,8,13,8,0,0,8,10,16.6667,0.0494755,0.00186204,0.384796,0.205655,0,8,0,0.247265,0,0.334106,0,0,0,0,0.524995,0.169639,0.673403,0,0,0,1.60772e-05,0,0.993513,0.797056,0.259451,0.000196442
700,70,2.91667,22,5,7,10,12,10,0,0,7,10,29.1667,0.0507526,0.00281003,0.37856,0.243772,0,12,0,0.288265,0,0.397113,0,0,0,0,0.546824,0.161213,0.686472,0,0,0,1.60606e-05,0,0.989496,0.754689,0.258441,0.000292728
800,80,3.33333,26,5,9,12,16,10,0,0,9,10,29.1667,0.0512395,0.00435356,0.37026,0.281157,0,12,0,0.324892,0,0.447377,0,0,0,0,0.558621,0.152439,0.693298,0,0,0,1.60524e-05,0,0.98331,0.718316,0.25699,0.000401065
900,90,3.75,30,5,11,14,18,12,0,0,9,10,29.1667,0.0511339,0.00579751,0.355369,0.31746,0,12,0,0.350737,0,0.486504,0,0,0,0,0.558383,0.140204,0.697781,0,0,0,1.60483e-05,0,0.976478,0.68736,0.25554,0.000516715
