step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188842,0.0100772,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.029496,7.45922e-05,0.33313,0.036315,0,4,0,0.130644,0,0.0267037,0,0,0,0,0.296015,0.0350846,0.358933,0,0,0,0.00062337,0,0.999804,0.990761,0.242649,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000417367,0.432116,0.0751443,0,4,0,0.146701,0,0.0831024,0,0,0,0,0.382939,0.110366,0.399489,0,0,0,0.000470837,0,0.998871,0.957691,0.255565,2.30885e-05
400,40,1.66667,13,5,4,4,9,4,0,0,9,10,16.6667,0.0434103,0.000957981,0.491437,0.121715,0,8,0,0.159518,0,0.172636,0,0,0,0,0.443933,0.173048,0.559066,0,0,0,1.68176e-05,0,0.997346,0.898742,0.258268,5.86742e-05
500,50,2.08333,17,5,7,5,12,5,0,0,9,10,16.6667,0.0471468,0.00151518,0.39042,0.165115,0,8,0,0.208698,0,0.258392,0,0,0,0,0.494698,0.18591,0.63377,0,0,0,1.62656e-05,0,0.995488,0.826367,0.254462,0.000117078
600,60,2.5,19,5,8,6,13,6,0,0,9,9,16.6667,0.0494756,0.00203643,0.373274,0.203439,0,8,0,0.262243,0,0.334124,0,0,0,0,0.529109,0.178261,0.648994,0,0,0,1.61389e-05,0,0.992987,0.754446,0.248061,0.000196446
700,70,2.91667,23,5,8,10,14,9,0,0,7,8,16.6667,0.050753,0.00252405,0.374534,0.24066,0,12,0,0.290392,0,0.397173,0,0,0,0,0.547099,0.153655,0.648492,0,0,0,1.60964e-05,0,0.989916,0.690853,0.241435,0.000292752
800,80,3.33333,29,5,14,10,19,10,0,0,9,8,16.6667,0.0512404,0.00298022,0.37676,0.278231,0,12,0,0.307512,0,0.447461,0,0,0,0,0.553696,0.13113,0.637547,0,0,0,1.60755e-05,0,0.986378,0.650766,0.236843,0.000401133
900,90,3.75,32,5,14,13,19,13,0,0,9,8,33.3333,0.0511348,0.00393687,0.369569,0.31552,0,12,0,0.305661,0,0.486375,0,0,0,0,0.545095,0.111577,0.630587,0,0,0,1.60663e-05,0,0.981062,0.648778,0.236562,0.000516793
