step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,6,1,12,0,0,0,3,0,0,0.0173349,0,0.189832,0.0100881,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.0293801,9.1127e-05,0.337665,0.036608,0,4,0,0.13064,0,0.0219913,0,0,0,0,0.118418,0.0395558,0.358587,0,0,0,0.000619767,0,0.999758,0.99008,0.242443,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,16.6667,0.037503,0.000604187,0.430763,0.0756255,0,4,0,0.146647,0,0.0499109,0,0,0,0,0.15321,0.115513,0.397587,0,0,0,0.000425393,0,0.998367,0.955172,0.254552,1.7775e-05
400,40,1.66667,14,5,6,3,11,3,0,0,9,10,16.6667,0.0428088,0.00118421,0.487921,0.121814,0,8,0,0.159437,0,0.0919547,0,0,0,0,0.177678,0.148371,0.545941,0,0,0,1.68223e-05,0,0.9967,0.901505,0.258515,3.96704e-05
500,50,2.08333,18,5,8,5,13,5,0,0,9,10,16.6667,0.0460613,0.00172681,0.430019,0.166377,0,8,0,0.200705,0,0.134922,0,0,0,0,0.197252,0.161748,0.621894,0,0,0,1.62991e-05,0,0.995033,0.838986,0.25731,7.22841e-05
600,60,2.5,21,5,10,6,15,6,0,0,10,10,16.6667,0.0478168,0.00223441,0.396583,0.208415,0,8,0,0.247245,0,0.175705,0,0,0,0,0.210616,0.16113,0.650495,0,0,0,1.61549e-05,0,0.993367,0.774551,0.253,0.000114164
700,70,2.91667,23,5,9,9,14,9,0,0,9,10,20.8333,0.0484868,0.00280748,0.365757,0.246301,0,12,0,0.301397,0,0.212974,0,0,0,0,0.221454,0.149623,0.660224,0,0,0,1.61072e-05,0,0.991557,0.71446,0.247463,0.000163155
800,80,3.33333,28,5,11,12,16,12,0,0,10,8,20.8333,0.0483774,0.00361396,0.339732,0.28084,0,12,0,0.326464,0,0.246109,0,0,0,0,0.225304,0.129094,0.662494,0,0,0,1.6079e-05,0,0.989137,0.662203,0.241889,0.000217027
900,90,3.75,32,5,12,15,17,15,0,0,10,8,29.1667,0.0477163,0.00467554,0.334568,0.3146,0,12,0,0.33434,0,0.274955,0,0,0,0,0.223745,0.111218,0.662663,0,0,0,1.60658e-05,0,0.98594,0.64872,0.240147,0.000273772
1000,100,4.16667,36,5,14,17,19,17,0,0,9,7,29.1667,0.0466735,0.00609871,0.319875,0.347555,0,17,0,0.333409,0,0.299661,0,0,0,0,0.219922,0.0969503,0.66547,0,0,0,1.60546e-05,0,0.981726,0.646708,0.240252,0.000331719
1100,110,4.58333,41,5,12,24,20,21,0,0,7,6,33.3333,0.0453754,0.00751705,0.307178,0.378934,0,17,0,0.333756,0,0.320571,0,0,0,0,0.214922,0.0822666,0.6475,0,0,0,1.60471e-05,0,0.977032,0.644697,0.240986,0.000389561
1200,120,5,46,5,17,24,25,21,0,0,7,6,33.3333,0.0439165,0.00912551,0.294018,0.408782,0,17,0,0.327836,0,0.338125,0,0,0,0,0.206973,0.0694309,0.631193,0,0,0,1.60418e-05,0,0.971524,0.642688,0.242112,0.000446333
1300,130,5.41667,49,5,16,28,24,25,0,0,6,7,37.5,0.042367,0.0110458,0.284786,0.437972,0,17,3,0.316241,0,0.352772,0,0,0,0,0.197566,0.0593763,0.62672,0,0,0,1.60379e-05,0,0.965593,0.640684,0.243535,0.000501363
1400,140,5.83333,53,5,18,30,25,28,0,0,4,7,37.5,0.0407786,0.0142675,0.277852,0.465609,0,17,3,0.308046,0,0.364929,0,0,0,0,0.187817,0.051648,0.639589,0,0,0,1.60343e-05,0,0.958858,0.638687,0.245099,0.000554211
1500,150,6.25,55,5,16,34,24,31,0,0,3,7,37.5,0.0391893,0.0172814,0.264613,0.493017,0,17,5,0.301105,0.0029,0.374974,0,0,0,0,0.177088,0.0457279,0.650937,0,0,0,1.60302e-05,0,0.951922,0.636697,0.246768,0.000604612
1600,160,6.66667,60,5,17,38,26,34,0,0,3,5,45.8333,0.0376264,0.0234253,0.236746,0.517707,0,17,7,0.307742,0.0111,0.38325,0,0,0,0,0.169444,0.0410524,0.647024,0,0,0,1.60259e-05,0,0.943403,0.634717,0.248359,0.000652438
1700,170,7.08333,62,5,18,39,27,35,0,0,3,4,50,0.0361093,0.0306129,0.219651,0.540521,0,17,11,0.313116,0.02395,0.390077,0,0,0,0,0.161563,0.037303,0.633799,0,0,0,0.000127691,0,0.934096,0.632745,0.249907,0.000697674
1800,180,7.5,67,5,21,41,31,36,0,0,3,4,50,0.0346515,0.038095,0.203708,0.561638,0,17,12,0.313441,0.0371,0.395711,0,0,0,0,0.152785,0.0340388,0.622099,0,0,0,0.000346794,0,0.924309,0.630784,0.251397,0.000740392
1900,190,7.91667,70,5,20,45,31,38,1,0,1,6,50,0.033262,0.0453421,0.200223,0.581744,0,17,12,0.302537,0.05055,0.400353,0,0,0,0,0.142958,0.0332602,0.611696,0,0,0,0.00366663,0,0.914266,0.628833,0.2528,0.00078071
2000,200,8.33333,74,5,18,51,32,39,3,0,0,9,50,0.0319459,0.0545163,0.198385,0.601532,0,17,17,0.290968,0.0651,0.404138,0,0,0,0,0.132674,0.0359153,0.601989,0,0,0,0.0167875,0,0.902625,0.626892,0.253935,0.000818763
2100,210,8.75,77,5,18,54,33,40,4,0,0,8,50,0.0307053,0.0641258,0.194932,0.621202,0,17,17,0.278884,0.08275,0.407175,0,0,0,0,0.122418,0.0342201,0.593024,0,0,0,0.0414103,0,0.890047,0.624961,0.254871,0.000854675
2200,220,9.16667,81,5,19,57,34,42,5,0,0,8,54.1667,0.0295404,0.0728837,0.191976,0.640573,0,17,17,0.268871,0.10105,0.409559,0,0,0,0,0.113362,0.0349387,0.584887,0,0,0,0.0786989,0,0.877355,0.623041,0.255691,0.000888559
