step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.189616,0.0100974,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0.000405204,0.328804,0,0,0,0.000175529,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,9,4.16667,0.0293801,7.86651e-05,0.336357,0.0365505,0,4,0,0.13063,0,0.0219913,0,0,0,0,0.296044,0.0386463,0.404409,0,0,0,2.09648e-05,0,0.999792,0.989536,0.242334,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037539,0.000463526,0.436761,0.0756931,0,4,0,0.146654,0,0.0764057,0,0,0,0,0.38302,0.119711,0.440257,0,0,0,1.79818e-05,0,0.998746,0.956197,0.255089,1.91835e-05
400,40,1.66667,12,5,4,3,9,3,0,0,9,10,12.5,0.0430491,0.000897873,0.50309,0.123054,0,8,0,0.159347,0,0.164607,0,0,0,0,0.444097,0.183237,0.573303,0,0,0,1.66112e-05,0,0.997496,0.892883,0.256888,5.07042e-05
500,50,2.08333,16,5,5,6,10,6,0,0,9,10,16.6667,0.04665,0.00135014,0.442378,0.169245,0,8,0,0.20211,0,0.249502,0,0,0,0,0.493225,0.20057,0.636224,0,0,0,1.6227e-05,0,0.995997,0.815816,0.252043,0.000103445
600,60,2.5,18,5,6,7,11,7,0,0,10,10,16.6667,0.0488451,0.00188204,0.398708,0.212063,0,8,0,0.245114,0,0.324641,0,0,0,0,0.525113,0.19318,0.650433,0,0,0,1.61262e-05,0,0.99358,0.737242,0.243801,0.000175592
700,70,2.91667,21,5,8,8,13,8,0,0,9,9,20.8333,0.0499948,0.00266199,0.385415,0.250963,0,12,0,0.269462,0,0.387279,0,0,0,0,0.541908,0.170544,0.651232,0,0,0,1.60864e-05,0,0.990017,0.668823,0.235628,0.000263253
800,80,3.33333,25,5,8,12,14,11,0,0,9,9,20.8333,0.0503643,0.00347786,0.387548,0.289672,0,12,0,0.292149,0,0.43743,0,0,0,0,0.549697,0.147582,0.649051,0,0,0,1.60685e-05,0,0.985705,0.65076,0.2325,0.000361875
900,90,3.75,29,5,12,12,18,11,0,0,7,10,25,0.0501512,0.00455237,0.376872,0.327964,0,12,0,0.304916,0,0.47604,0,0,0,0,0.545716,0.12769,0.648854,0,0,0,1.60552e-05,0,0.980133,0.648769,0.2321,0.000466908
1000,100,4.16667,31,5,12,14,17,14,0,0,7,10,25,0.0494858,0.00561488,0.373984,0.365541,0,17,0,0.301333,0,0.489792,0,0,0,0,0.533385,0.111496,0.651039,0,0,0,1.60469e-05,0,0.974049,0.646776,0.232654,0.00057272
