step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.18655,0.00998743,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,8,8.33333,0.0293801,0.000127522,0.328169,0.0359565,0,4,0,0.130641,0,0.0219913,0,0,0,0,0.296044,0.0328745,0.358588,0,0,0,0.000620566,0,0.999663,0.990585,0.242494,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037539,0.000477876,0.424636,0.07406,0,4,0,0.146744,0,0.0764057,0,0,0,0,0.38302,0.106005,0.400263,0,0,0,0.000507303,0,0.9987,0.960466,0.256152,1.91835e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,12.5,0.0430491,0.000911298,0.486812,0.119963,0,8,0,0.159699,0,0.164607,0,0,0,0,0.444097,0.170872,0.557387,0,0,0,1.65163e-05,0,0.99745,0.90494,0.259977,5.07042e-05
500,50,2.08333,18,5,6,7,12,6,0,0,8,10,16.6667,0.046653,0.00142921,0.357014,0.160156,0,8,0,0.244069,0,0.250533,0,0,0,0,0.500854,0.159257,0.628042,0,0,0,1.61879e-05,0,0.995757,0.842617,0.258862,0.000103601
600,60,2.5,20,5,7,8,13,7,0,0,9,8,16.6667,0.0488651,0.00195601,0.376437,0.196843,0,8,0,0.275069,0,0.327701,0,0,0,0,0.52894,0.138739,0.658144,0,0,0,1.61197e-05,0,0.993305,0.787485,0.256886,0.000176752
700,70,2.91667,22,5,8,9,13,9,0,0,9,7,25,0.0500413,0.00290717,0.392419,0.235558,0,12,0,0.279686,0,0.391527,0,0,0,0,0.540451,0.119397,0.666176,0,0,0,1.60947e-05,0,0.989273,0.74096,0.254726,0.000266302
800,80,3.33333,27,5,13,9,18,9,0,0,12,6,29.1667,0.0504368,0.00410623,0.403013,0.275277,0,12,0,0.276337,0,0.441892,0,0,0,0,0.540644,0.102634,0.665569,0,0,0,1.60751e-05,0,0.983893,0.701666,0.252536,0.000367219
900,90,3.75,31,5,12,14,19,12,0,0,7,9,29.1667,0.0502397,0.00556614,0.382273,0.315173,0,12,0,0.270555,0,0.478313,0,0,0,0,0.530429,0.0913165,0.6707,0,0,0,1.60662e-05,0,0.977091,0.668083,0.250264,0.000474235
1000,100,4.16667,33,5,13,15,19,14,0,0,6,8,33.3333,0.0495611,0.00723591,0.335786,0.350143,0,17,0,0.286389,0,0.489792,0,0,0,0,0.523812,0.080072,0.678031,0,0,0,1.60598e-05,0,0.969139,0.646651,0.248662,0.000579981
1100,110,4.58333,39,5,19,15,24,15,0,0,5,9,33.3333,0.0484788,0.00886252,0.299388,0.382306,0,17,0,0.304192,0,0.489793,0,0,0,0,0.514441,0.0717758,0.677428,0,0,0,1.60536e-05,0,0.960972,0.644623,0.24916,0.000677073
1200,120,5,44,5,19,20,24,20,0,0,4,6,33.3333,0.0471227,0.0103842,0.282335,0.411234,0,17,0,0.318279,0,0.489793,0,0,0,0,0.499256,0.0623224,0.670667,0,0,0,1.60477e-05,0,0.952806,0.642595,0.249952,0.000764707
1300,130,5.41667,49,5,23,21,28,21,0,0,4,6,33.3333,0.0455974,0.0118077,0.271361,0.438947,0,17,3,0.322205,0,0.489793,0,0,0,0,0.481336,0.0548013,0.667457,0,0,0,1.60431e-05,0,0.94464,0.64057,0.250943,0.000843338
1400,140,5.83333,55,5,23,27,29,26,0,0,2,5,33.3333,0.0439806,0.0131393,0.270008,0.466053,0,17,3,0.313507,0.00225,0.489793,0,0,0,0,0.458087,0.0488595,0.666335,0,0,0,1.60393e-05,0,0.936473,0.638549,0.252044,0.000913751
1500,150,6.25,61,5,26,30,33,28,0,0,0,7,33.3333,0.0423293,0.0143851,0.263668,0.492745,0,17,4,0.305893,0.010425,0.489793,0,0,0,0,0.432504,0.0463652,0.658374,0,0,0,1.60356e-05,0,0.928307,0.636535,0.25314,0.000976866
1600,160,6.66667,64,5,24,35,31,33,0,0,0,8,41.6667,0.0406847,0.016456,0.258763,0.518813,0,17,5,0.297481,0.021975,0.489793,0,0,0,0,0.407834,0.0463958,0.643529,0,0,0,0.000119427,0,0.919651,0.634528,0.254031,0.00103363
1700,170,7.08333,67,5,22,40,31,36,0,0,0,10,41.6667,0.0390763,0.0211696,0.254018,0.544466,0,17,9,0.285126,0.033975,0.489793,0,0,0,0,0.381625,0.0472685,0.629498,0,0,0,0.0004788,0,0.909443,0.63253,0.254579,0.00108494
1800,180,7.5,72,5,23,44,34,38,0,0,0,10,41.6667,0.0375241,0.0255791,0.244793,0.569398,0,17,9,0.272904,0.045075,0.489793,0,0,0,0,0.355049,0.043636,0.616897,0,0,0,0.00282143,0,0.899236,0.630542,0.255095,0.00113162
1900,190,7.91667,79,5,26,48,36,43,0,0,0,9,41.6667,0.0360418,0.0297042,0.236153,0.593462,0,17,10,0.262926,0.0555,0.489793,0,0,0,0,0.331482,0.040141,0.605736,0,0,0,0.0132366,0,0.889029,0.628563,0.25564,0.00117442
