step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188522,0.0100503,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,6,8.33333,0.0293801,2.55256e-05,0.331773,0.0362614,0,4,0,0.130643,0,0.0219913,0,0,0,0,0.118418,0.0290671,0.359235,0,0,0,0.000622418,0,0.999933,0.990893,0.242783,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037503,0.000380893,0.428391,0.074772,0,4,0,0.146768,0,0.0499109,0,0,0,0,0.15321,0.0989397,0.40121,0,0,0,0.000527656,0,0.998975,0.961689,0.256653,1.7775e-05
400,40,1.66667,14,5,4,5,9,5,0,0,9,10,16.6667,0.0428088,0.000834925,0.486739,0.120945,0,8,0,0.15983,0,0.0919547,0,0,0,0,0.177678,0.156281,0.564316,0,0,0,1.64427e-05,0,0.997688,0.910541,0.261548,3.96704e-05
500,50,2.08333,15,5,4,6,9,6,0,0,9,10,16.6667,0.0460613,0.00140006,0.431103,0.165951,0,8,0,0.195572,0,0.13492,0,0,0,0,0.196621,0.17131,0.634798,0,0,0,1.61331e-05,0,0.996021,0.852617,0.261523,7.22839e-05
600,60,2.5,19,5,7,7,12,7,0,0,10,10,20.8333,0.0478167,0.00192874,0.397606,0.20799,0,8,0,0.22689,0,0.175689,0,0,0,0,0.208184,0.201128,0.66171,0,0,0,1.60872e-05,0,0.994354,0.79287,0.258469,0.000114161
700,70,2.91667,21,5,8,8,12,9,0,0,9,10,20.8333,0.0484865,0.00279191,0.386588,0.246924,0,12,0,0.253245,0,0.212921,0,0,0,0,0.215478,0.21084,0.670866,0,0,0,1.60669e-05,0,0.992234,0.73486,0.253448,0.000163137
800,80,3.33333,24,5,9,10,14,10,0,0,11,10,20.8333,0.0483764,0.0035994,0.376001,0.285165,0,12,0,0.265619,0,0.24597,0,0,0,0,0.217674,0.218297,0.672898,0,0,0,1.60529e-05,0,0.989814,0.680825,0.247547,0.000216967
900,90,3.75,27,5,8,14,15,12,0,0,11,9,25,0.0477138,0.00449777,0.367868,0.322354,0,12,0,0.274935,0,0.274681,0,0,0,0,0.215872,0.209924,0.674321,0,0,0,1.60483e-05,0,0.986864,0.648649,0.24324,0.000273613
1000,100,4.16667,31,5,11,15,17,14,0,0,11,6,25,0.0466703,0.00556381,0.364033,0.359058,0,17,0,0.281365,0,0.29972,0,0,0,0,0.21153,0.193572,0.676488,0,0,0,1.60451e-05,0,0.98325,0.646536,0.242599,0.000331501
1100,110,4.58333,35,5,15,15,20,15,0,0,11,4,25,0.0453761,0.00656108,0.353433,0.394933,0,17,0,0.283907,0,0.321273,0,0,0,0,0.205627,0.164756,0.664987,0,0,0,1.60419e-05,0,0.979343,0.644403,0.242722,0.000389565
1200,120,5,37,5,13,19,18,19,0,0,9,4,29.1667,0.0439248,0.00776187,0.337823,0.429507,0,17,0,0.27666,0,0.33923,0,0,0,0,0.197602,0.139173,0.65662,0,0,0,1.60387e-05,0,0.974687,0.642261,0.243335,0.000446845
