step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.184627,0.0099396,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,6,0,0.0293801,0,0.314066,0.0352061,0,4,0,0.130646,0,0.0219913,0,0,0,0,0.296044,0.0192935,0.372802,0,0,0,7.64704e-05,0,1,0.991871,0.243087,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037539,0,0.401171,0.0712791,0,4,0,0.147007,0,0.0764057,0,0,0,0,0.38302,0.0715448,0.479224,0,0,0,1.66513e-05,0,1,0.976046,0.261026,4.74151e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0430491,0,0.465215,0.114966,0,8,0,0.160857,0,0.164607,0,0,0,0,0.444097,0.128414,0.625613,0,0,0,1.63226e-05,0,1,0.942591,0.271327,1.25379e-06
500,50,2.08333,12,5,7,0,12,0,0,0,8,7,0,0.0466515,0,0.406727,0.156653,0,8,0,0.211044,0,0.250089,0,0,0,0,0.492552,0.114352,0.685298,0,0,0,1.61555e-05,0,1,0.903426,0.277317,2.56139e-06
600,60,2.5,14,5,6,3,11,3,0,0,10,6,8.33333,0.0488555,4.92393e-05,0.377039,0.195812,0,8,0,0.243036,0,0.326176,0,0,0,0,0.521183,0.0991759,0.710855,0,0,0,1.61051e-05,0,0.999793,0.87008,0.282201,4.36243e-06
700,70,2.91667,16,5,7,4,12,4,0,0,8,6,12.5,0.0500194,0.000440409,0.349898,0.231832,0,12,0,0.27051,0,0.38977,0,0,0,0,0.537896,0.0870474,0.729778,0,0,0,1.60849e-05,0,0.997856,0.841615,0.285617,6.56262e-06
800,80,3.33333,17,5,8,4,13,4,0,0,10,5,12.5,0.0504058,0.000876247,0.341195,0.26607,0,12,0,0.285254,0,0.440288,0,0,0,0,0.54331,0.077398,0.745935,0,0,0,1.60694e-05,0,0.995231,0.817265,0.288256,9.04811e-06
900,90,3.75,21,5,11,5,16,5,0,0,9,5,16.6667,0.0502074,0.00140707,0.337356,0.300067,0,12,0,0.285037,0,0.478896,0,0,0,0,0.534502,0.0685951,0.755214,0,0,0,1.60611e-05,0,0.991564,0.796392,0.290114,1.16989e-05
1000,100,4.16667,24,5,13,6,18,6,0,0,8,5,16.6667,0.0495367,0.0019353,0.328521,0.33345,0,17,0,0.284607,0,0.489792,0,0,0,0,0.523181,0.0612733,0.763106,0,0,0,1.60565e-05,0,0.987494,0.77846,0.291486,1.43403e-05
1100,110,4.58333,25,5,12,8,18,7,0,0,8,5,16.6667,0.0484588,0.00242945,0.315376,0.36563,0,17,0,0.283059,0,0.489792,0,0,0,0,0.5081,0.0556242,0.771127,0,0,0,1.6052e-05,0,0.983411,0.763005,0.292502,1.67684e-05
1200,120,5,29,5,16,8,21,8,0,0,7,4,16.6667,0.0471062,0.00289171,0.298374,0.396298,0,17,1,0.281065,0.0049875,0.489793,0,0,0,0,0.487978,0.050535,0.773342,0,0,0,1.60474e-05,0,0.979328,0.749635,0.293221,1.89655e-05
1300,130,5.41667,36,5,22,9,27,9,0,0,6,4,16.6667,0.0455837,0.00332416,0.283638,0.425423,0,17,4,0.280497,0.0153125,0.489793,0,0,0,0,0.468339,0.0464726,0.770857,0,0,0,3.44958e-05,0,0.975245,0.738016,0.29369,2.09417e-05
1400,140,5.83333,43,5,28,10,33,10,0,0,5,4,16.6667,0.0439692,0.00372871,0.267133,0.452706,0,17,4,0.284396,0.0415625,0.489793,0,0,0,0,0.446328,0.0430469,0.75538,0,0,0,0.00051385,0,0.971162,0.727871,0.293948,2.27153e-05
1500,150,6.25,48,5,28,15,34,14,0,0,4,5,16.6667,0.0423197,0.00410715,0.252339,0.478985,0,17,4,0.280353,0.0678125,0.489793,0,0,0,0,0.419855,0.0399653,0.738545,0,0,0,0.00193394,0,0.967079,0.718966,0.294031,2.43083e-05
1600,160,6.66667,54,5,30,19,37,17,0,0,2,7,20.8333,0.0406766,0.00464488,0.23608,0.503414,0,17,5,0.279998,0.102463,0.489793,0,0,0,0,0.396114,0.0376824,0.722847,0,0,0,0.0217978,0,0.962495,0.711088,0.293938,2.57434e-05
1700,170,7.08333,63,5,27,31,43,20,0,0,1,10,25,0.0390693,0.00544973,0.219269,0.525977,0,17,10,0.280847,0.137463,0.489793,0,0,0,0,0.373643,0.0400597,0.707818,0,0,0,0.069822,0,0.957075,0.703092,0.293438,2.70427e-05
1800,180,7.5,64,5,24,35,40,24,0,0,1,8,29.1667,0.0375182,0.00661587,0.208508,0.5474,0,17,11,0.274144,0.172462,0.489793,0,0,0,0,0.348817,0.0377231,0.693492,0,0,0,0.14594,0,0.950512,0.695219,0.29263,2.82262e-05
1900,190,7.91667,69,5,26,38,41,28,0,0,0,7,29.1667,0.0360366,0.00791387,0.197903,0.567734,0,17,12,0.270419,0.215512,0.489793,0,0,0,0,0.326595,0.0372302,0.680131,0,0,0,0.251975,0,0.943367,0.688018,0.291732,2.93119e-05
2000,200,8.33333,72,5,26,41,42,30,0,0,0,8,29.1667,0.034633,0.00912813,0.188384,0.587033,0,17,17,0.267193,0.26355,0.489793,0,0,0,0,0.305211,0.039353,0.667496,0,0,0,0.393596,0,0.936222,0.680783,0.29063,3.03157e-05
2100,210,8.75,76,5,24,47,43,33,0,0,0,8,33.3333,0.0333118,0.0104915,0.17821,0.605322,0,17,17,0.2616,0.307738,0.489793,0,0,0,0,0.283355,0.0423025,0.655531,0,0,0,0.570818,0,0.928955,0.673552,0.28935,3.1251e-05
2200,220,9.16667,80,5,23,52,41,39,0,0,0,9,33.3333,0.0320747,0.0133804,0.167631,0.622612,0,17,17,0.256297,0.35035,0.489793,0,0,0,0,0.26371,0.0429407,0.643796,0,0,0,0.781931,0,0.92079,0.665486,0.287677,3.21294e-05
2300,230,9.58333,83,5,23,55,42,40,1,0,0,9,33.3333,0.0309212,0.0160829,0.157966,0.638866,0,17,17,0.250412,0.38955,0.489793,0,0,0,0,0.244972,0.0436487,0.632537,0,0,0,0.799507,0,0.912625,0.657165,0.285805,3.29605e-05
2400,240,10,88,5,18,65,45,41,2,0,0,8,33.3333,0.0298494,0.018611,0.146815,0.654091,0,17,17,0.24388,0.430763,0.489793,0,0,0,0,0.226227,0.0435135,0.621807,0,0,0,0.799513,0,0.90446,0.648854,0.283815,3.37524e-05
