step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188522,0.0100503,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.0293801,0.000127702,0.329341,0.0362773,0,4,0,0.130623,0,0.0219913,0,0,0,0,0.296044,0.0388158,0.357962,0,0,0,0.000605711,0,0.999663,0.988945,0.242079,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,12.5,0.037539,0.000571711,0.420393,0.0741006,0,4,0,0.146641,0,0.0764057,0,0,0,0,0.38302,0.105257,0.398626,0,0,0,0.000420258,0,0.998446,0.957492,0.255199,1.91835e-05
400,40,1.66667,14,5,5,4,10,4,0,0,9,10,12.5,0.0430491,0.000999079,0.488788,0.119924,0,8,0,0.159487,0,0.164607,0,0,0,0,0.444097,0.176232,0.559227,0,0,0,1.68157e-05,0,0.997196,0.899563,0.258415,5.07042e-05
500,50,2.08333,15,5,5,5,10,5,0,0,8,10,16.6667,0.04665,0.00154463,0.349786,0.160135,0,8,0,0.2362,0,0.249524,0,0,0,0,0.502545,0.179574,0.635743,0,0,0,1.62599e-05,0,0.995416,0.827943,0.254829,0.000103448
600,60,2.5,18,5,7,6,12,6,0,0,10,10,16.6667,0.0488459,0.00206398,0.350363,0.19505,0,8,0,0.297679,0,0.324835,0,0,0,0,0.539532,0.154583,0.658879,0,0,0,1.61357e-05,0,0.992998,0.763062,0.250241,0.000175639
700,70,2.91667,20,5,8,7,13,7,0,0,10,10,16.6667,0.0499984,0.00254983,0.345152,0.229697,0,12,0,0.327364,0,0.387768,0,0,0,0,0.558809,0.133829,0.667053,0,0,0,1.60891e-05,0,0.990008,0.708748,0.246079,0.00026348
800,80,3.33333,25,5,11,9,16,9,0,0,12,10,20.8333,0.0503716,0.00324306,0.354138,0.26456,0,12,0,0.336392,0,0.438056,0,0,0,0,0.563162,0.116361,0.670121,0,0,0,1.60714e-05,0,0.985986,0.66325,0.242212,0.00036239
900,90,3.75,30,5,13,12,18,12,0,0,10,10,25,0.0501632,0.00431466,0.345833,0.299863,0,12,0,0.336498,0,0.476928,0,0,0,0,0.556078,0.10115,0.671524,0,0,0,1.60582e-05,0,0.98044,0.648786,0.241179,0.000467839
1000,100,4.16667,33,5,12,16,19,14,0,0,8,9,29.1667,0.0494986,0.00544561,0.332858,0.334008,0,17,0,0.32912,0,0.489792,0,0,0,0,0.543521,0.0884297,0.671509,0,0,0,1.60469e-05,0,0.974201,0.646803,0.241953,0.000573848
1100,110,4.58333,38,5,16,17,22,16,0,0,5,10,33.3333,0.0484277,0.00707606,0.324612,0.367234,0,17,0,0.32158,0,0.489792,0,0,0,0,0.525605,0.0748567,0.653744,0,0,0,1.60422e-05,0,0.966351,0.644823,0.243042,0.000671285
1200,120,5,42,5,17,20,23,19,0,0,5,10,33.3333,0.0470806,0.00871298,0.302821,0.398374,0,17,0,0.323298,0,0.489792,0,0,0,0,0.506308,0.0630714,0.638,0,0,0,1.60387e-05,0,0.958185,0.642845,0.24444,0.00075929
1300,130,5.41667,46,5,18,23,23,23,0,0,4,8,33.3333,0.0455625,0.0102443,0.293585,0.428218,0,17,4,0.318625,0,0.489793,0,0,0,0,0.485601,0.0535158,0.624656,0,0,0,1.60355e-05,0,0.950018,0.640871,0.246047,0.000838296
1400,140,5.83333,52,5,21,26,26,26,0,0,4,8,33.3333,0.0439516,0.0116768,0.281764,0.457209,0,17,4,0.307005,0,0.489793,0,0,0,0,0.461947,0.0455109,0.613281,0,0,0,1.60323e-05,0,0.941852,0.638903,0.247762,0.00090907
1500,150,6.25,55,5,21,29,26,29,0,0,3,9,41.6667,0.0423049,0.015052,0.246406,0.484008,0,17,5,0.301298,0.0003,0.489793,0,0,0,0,0.439409,0.0389261,0.603326,0,0,0,1.60291e-05,0,0.932573,0.636941,0.249431,0.000972525
1600,160,6.66667,61,5,22,34,29,32,0,0,3,9,41.6667,0.0406642,0.0198562,0.237082,0.508208,0,17,5,0.292411,0.002775,0.489793,0,0,0,0,0.417268,0.0336569,0.594585,0,0,0,1.60259e-05,0,0.922366,0.634986,0.25103,0.0010296
1700,170,7.08333,65,5,23,37,30,35,0,0,2,9,41.6667,0.0390588,0.0243504,0.226989,0.531397,0,17,9,0.283963,0.004725,0.489793,0,0,0,0,0.39527,0.0295366,0.586955,0,0,0,1.60227e-05,0,0.912158,0.633038,0.25257,0.0010812
1800,180,7.5,68,5,23,40,32,36,0,0,2,9,50,0.0375093,0.0298339,0.214315,0.553498,0,17,9,0.275479,0.009075,0.489793,0,0,0,0,0.371871,0.0261628,0.580159,0,0,0,1.60195e-05,0,0.901256,0.631098,0.25399,0.00112815
1900,190,7.91667,74,5,21,48,35,38,1,0,0,9,50,0.0360291,0.0378215,0.207094,0.57452,0,17,9,0.265867,0.01365,0.489793,0,0,0,0,0.347928,0.0266434,0.573714,0,0,0,2.33524e-05,0,0.888671,0.629167,0.255138,0.00117118
2000,200,8.33333,78,5,23,50,36,40,2,0,0,10,50,0.0346265,0.0460731,0.199934,0.594859,0,17,14,0.256306,0.018225,0.489793,0,0,0,0,0.324177,0.0248467,0.567793,0,0,0,7.16117e-05,0,0.875401,0.627243,0.256123,0.00121094
2100,210,8.75,81,5,22,54,37,41,3,0,0,10,50,0.0333062,0.0544935,0.191221,0.614414,0,17,15,0.247181,0.02505,0.489793,0,0,0,0,0.300441,0.023074,0.562475,0,0,0,0.000163478,0,0.861551,0.625328,0.257014,0.00124798
