step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188713,0.0100669,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,6,8.33333,0.0293801,0.000104409,0.330805,0.0363582,0,4,0,0.13064,0,0.0219913,0,0,0,0,0.118418,0.0354349,0.358619,0,0,0,0.000620189,0,0.999725,0.990343,0.242482,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037503,0.000407174,0.430594,0.0748238,0,4,0,0.146677,0,0.0499109,0,0,0,0,0.15321,0.124466,0.399063,0,0,0,1.68303e-05,0,0.998892,0.956439,0.255269,1.7775e-05
400,40,1.66667,12,5,3,4,8,4,0,0,9,10,12.5,0.0428088,0.000701577,0.501588,0.121823,0,8,0,0.159384,0,0.0919547,0,0,0,0,0.177678,0.20875,0.558024,0,0,0,1.63274e-05,0,0.998029,0.892802,0.257258,3.96704e-05
500,50,2.08333,14,5,5,4,10,4,0,0,9,8,12.5,0.0460626,0.00112057,0.388739,0.164667,0,8,0,0.239239,0,0.135349,0,0,0,0,0.200144,0.196803,0.633941,0,0,0,1.61449e-05,0,0.996779,0.818439,0.253158,7.23455e-05
600,60,2.5,18,5,7,6,12,6,0,0,10,7,16.6667,0.0478245,0.00162955,0.351328,0.201508,0,8,0,0.288877,0,0.176844,0,0,0,0,0.214104,0.173705,0.651608,0,0,0,1.6096e-05,0,0.995217,0.751472,0.247936,0.000114572
700,70,2.91667,19,5,5,9,11,8,0,0,10,7,16.6667,0.0485045,0.00214342,0.36965,0.237531,0,12,0,0.302496,0,0.214637,0,0,0,0,0.219999,0.148872,0.656875,0,0,0,1.6073e-05,0,0.993507,0.69485,0.242987,0.000164182
800,80,3.33333,22,5,8,9,13,9,0,0,11,7,25,0.0484063,0.00304929,0.362753,0.273985,0,12,0,0.315175,0,0.248094,0,0,0,0,0.22291,0.128009,0.658449,0,0,0,1.60628e-05,0,0.990967,0.650731,0.238692,0.000218852
900,90,3.75,27,5,10,12,17,10,0,0,10,7,29.1667,0.0477559,0.00420878,0.352603,0.30978,0,12,0,0.324107,0,0.277088,0,0,0,0,0.221867,0.109711,0.658275,0,0,0,1.60532e-05,0,0.987623,0.648733,0.238854,0.00027647
1000,100,4.16667,29,5,12,12,17,12,0,0,9,7,33.3333,0.0467221,0.00576028,0.335665,0.344248,0,17,0,0.323321,0,0.301829,0,0,0,0,0.218056,0.0946343,0.659253,0,0,0,1.60453e-05,0,0.983179,0.646736,0.239578,0.000335288
1100,110,4.58333,34,5,15,14,20,14,0,0,7,5,33.3333,0.0454311,0.00748208,0.319045,0.376711,0,17,0,0.314027,0,0.32269,0,0,0,0,0.211262,0.0813109,0.656353,0,0,0,1.60419e-05,0,0.977922,0.644741,0.240744,0.000393945
1200,120,5,40,5,17,18,22,18,0,0,5,5,33.3333,0.0439771,0.0090928,0.287308,0.406859,0,17,0,0.309317,0,0.340119,0,0,0,0,0.203018,0.0700987,0.660023,0,0,0,1.60387e-05,0,0.972354,0.64275,0.242263,0.000451433
1300,130,5.41667,43,5,16,22,22,21,0,0,5,4,33.3333,0.0424302,0.0105996,0.284241,0.43547,0,17,3,0.307595,0.000975,0.354585,0,0,0,0,0.194459,0.0607353,0.659792,0,0,0,1.60355e-05,0,0.966529,0.640764,0.243998,0.000507045
