step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173675,0,0.183628,0.00993941,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,10,0,0.029496,0,0.317335,0.0352592,0,2,0,0.130609,0,0.0267037,0,0,0,0,0.296015,0.0386533,0.358247,0,0,0,0.000593307,0,1,0.987911,0.24209,1.86436e-07
300,30,1.25,12,5,6,1,12,0,0,0,6,10,0,0.0377695,0,0.403575,0.0716623,0,2,0,0.146658,0,0.0831024,0,0,0,0,0.382939,0.0835394,0.403003,0,0,0,0.000113594,0,1,0.961729,0.257374,5.70684e-07
400,40,1.66667,12,5,7,0,12,0,0,0,8,10,0,0.0434103,0,0.463935,0.115389,0,4,0,0.15988,0,0.172636,0,0,0,0,0.443933,0.140818,0.433192,0,0,0,1.63987e-05,0,1,0.918686,0.265145,1.45102e-06
500,50,2.08333,13,5,8,0,13,0,0,0,9,10,0,0.0471477,0,0.461106,0.161435,0,4,0,0.186725,0,0.258597,0,0,0,0,0.487841,0.172035,0.451548,0,0,0,1.61628e-05,0,1,0.863741,0.266993,2.89831e-06
600,60,2.5,15,5,8,2,13,2,0,0,9,10,8.33333,0.0494816,5.24934e-05,0.439845,0.20716,0,4,0,0.235143,0,0.335458,0,0,0,0,0.516791,0.166648,0.461444,0,0,0,1.61187e-05,0,0.99977,0.804383,0.265016,4.87346e-06
700,70,2.91667,18,5,9,4,14,4,0,0,8,8,12.5,0.0507789,0.000452693,0.38127,0.24859,0,6,0,0.277651,0,0.401042,0,0,0,0,0.536423,0.153052,0.465043,0,0,0,1.60978e-05,0,0.997716,0.748428,0.26086,7.29723e-06
800,80,3.33333,19,5,9,5,14,5,0,0,8,10,16.6667,0.0513021,0.00100476,0.343648,0.284531,0,6,0,0.326357,0,0.453352,0,0,0,0,0.552686,0.139161,0.464861,0,0,0,1.60834e-05,0,0.994309,0.697787,0.255723,1.00601e-05
900,90,3.75,23,5,12,6,17,6,0,0,7,10,16.6667,0.0512361,0.00155894,0.312309,0.316837,0,6,0,0.344884,0,0.493239,0,0,0,0,0.550676,0.132318,0.461488,0,0,0,1.60746e-05,0,0.990303,0.649681,0.249563,1.30303e-05
1000,100,4.16667,25,5,14,6,19,6,0,0,7,10,16.6667,0.0507258,0.00207737,0.300582,0.347431,0,10,0,0.353625,0,0.523093,0,0,0,0,0.543364,0.114403,0.532609,0,0,0,1.60661e-05,0,0.986005,0.646823,0.247864,1.60904e-05
1100,110,4.58333,30,5,17,8,22,8,0,0,5,9,16.6667,0.0498874,0.00256235,0.276384,0.375744,0,10,0,0.354114,0,0.545182,0,0,0,0,0.529117,0.100831,0.644345,0,0,0,1.60566e-05,0,0.981491,0.644844,0.247196,1.91477e-05
1200,120,5,35,5,21,9,26,9,0,0,3,8,16.6667,0.0488145,0.00301605,0.273977,0.40334,0,10,0,0.33636,0,0.561379,0,0,0,0,0.5046,0.0885117,0.671193,0,0,0,1.60488e-05,0,0.976819,0.642866,0.247215,2.21343e-05
1300,130,5.41667,41,5,25,11,30,11,0,0,3,8,16.6667,0.0475778,0.00344047,0.266871,0.430443,0,10,0,0.322017,0,0.572175,0,0,0,0,0.481859,0.0788211,0.684439,0,0,0,1.60417e-05,0,0.972039,0.64089,0.247726,2.49944e-05
1400,140,5.83333,47,5,27,15,33,14,0,0,2,9,20.8333,0.0462333,0.00414518,0.264168,0.457004,0,10,0,0.304057,0,0.579921,0,0,0,0,0.455248,0.0765158,0.68989,0,0,0,1.60343e-05,0,0.966183,0.638915,0.248364,2.76907e-05
1500,150,6.25,53,5,30,18,35,18,0,0,0,9,29.1667,0.0448311,0.00556328,0.247706,0.482641,0,10,0,0.287461,0,0.585454,0,0,0,0,0.427087,0.068927,0.692933,0,0,0,1.60291e-05,0,0.957747,0.636944,0.249008,3.02159e-05
1600,160,6.66667,64,5,35,24,41,23,0,0,0,9,29.1667,0.0434061,0.00692919,0.237503,0.507008,0,10,1,0.275444,0.0046375,0.588785,0,0,0,0,0.401712,0.0741719,0.691485,0,0,0,1.60259e-05,0,0.949134,0.634977,0.24939,3.25626e-05
1700,170,7.08333,67,5,32,30,40,27,0,0,0,9,29.1667,0.0419862,0.00820697,0.225761,0.530163,0,10,2,0.265218,0.011025,0.591092,0,0,0,0,0.377064,0.0705129,0.688416,0,0,0,1.60227e-05,0,0.940503,0.633015,0.249716,3.47345e-05
1800,180,7.5,76,5,32,39,44,32,0,0,0,10,29.1667,0.0405944,0.00940232,0.21296,0.552074,0,10,3,0.256287,0.02135,0.592569,0,0,0,0,0.351644,0.0657609,0.685631,0,0,0,0.000105129,0,0.93186,0.631059,0.250249,3.67459e-05
1900,190,7.91667,78,5,28,45,42,36,0,0,0,9,29.1667,0.0392462,0.0105206,0.202083,0.572839,0,10,5,0.250116,0.0357875,0.593323,0,0,0,0,0.328921,0.0611143,0.674379,0,0,0,0.000287739,0,0.923215,0.629108,0.250917,3.86102e-05
2000,200,8.33333,83,5,26,52,46,37,0,0,0,10,37.5,0.0379528,0.0137298,0.189162,0.592362,0,10,9,0.249954,0.068425,0.593461,0,0,0,0,0.307219,0.060164,0.65709,0,0,0,0.0015578,0,0.912208,0.627162,0.251545,4.03419e-05
2100,210,8.75,88,5,24,59,47,41,0,0,0,8,41.6667,0.0367203,0.0180435,0.173685,0.610513,0,10,9,0.249318,0.10885,0.592998,0,0,0,0,0.285251,0.0564335,0.641446,0,0,0,0.0245992,0,0.900275,0.625223,0.252137,4.19521e-05
2200,220,9.16667,92,5,24,63,46,45,1,0,0,8,41.6667,0.0355515,0.0226547,0.16008,0.627203,0,10,9,0.248029,0.149362,0.592211,0,0,0,0,0.265768,0.053495,0.627578,0,0,0,0.0792962,0,0.88798,0.623288,0.252769,4.34496e-05
2300,230,9.58333,95,5,19,71,47,46,2,0,0,7,41.6667,0.0344475,0.0276719,0.147346,0.642535,0,10,9,0.245725,0.190137,0.591172,0,0,0,0,0.247487,0.0511589,0.615255,0,0,0,0.165914,0,0.875123,0.621359,0.253414,4.48485e-05
2400,240,10,98,5,18,75,46,47,5,0,0,7,41.6667,0.0334081,0.0329401,0.135286,0.65665,0,10,9,0.241851,0.231262,0.589924,0,0,0,0,0.229378,0.0485717,0.604289,0,0,0,0.284686,0,0.861692,0.619436,0.254052,4.61463e-05
2500,250,10.4167,101,5,19,77,46,49,6,0,0,7,45.8333,0.032432,0.0391009,0.124805,0.669649,0,10,9,0.238525,0.273175,0.588444,0,0,0,0,0.213439,0.0474795,0.594449,0,0,0,0.436131,0,0.847406,0.617519,0.254646,4.73557e-05
2600,260,10.8333,106,5,21,80,49,47,10,0,0,7,50,0.0315171,0.0496717,0.115177,0.681668,0,10,9,0.23492,0.316663,0.586767,0,0,0,0,0.198443,0.0479168,0.585212,0,0,0,0.621059,0,0.830801,0.615608,0.255031,4.84918e-05
2700,270,11.25,107,5,21,81,48,47,12,0,0,7,50,0.0306611,0.0629351,0.104682,0.692646,0,10,9,0.23023,0.3619,0.584928,0,0,0,0,0.183581,0.045881,0.57696,0,0,0,0.799478,0,0.812752,0.613705,0.255405,4.9546e-05
2800,280,11.6667,110,5,20,85,47,51,12,0,0,9,50,0.0298611,0.0746945,0.0985285,0.702858,0,10,9,0.226994,0.42385,0.582952,0,0,0,0,0.170528,0.0545977,0.568869,0,0,0,0.799438,0,0.794802,0.61181,0.255477,5.05314e-05
2900,290,12.0833,111,5,21,85,46,49,16,0,0,9,50,0.029114,0.0851277,0.0904309,0.712278,0,10,9,0.22369,0.491488,0.580863,0,0,0,0,0.158363,0.0537043,0.56141,0,0,0,0.799393,0,0.776954,0.609923,0.255469,5.14532e-05
3000,300,12.5,116,5,23,88,47,52,17,0,0,8,50,0.0284168,0.0943914,0.0828886,0.720933,0,10,9,0.219321,0.559913,0.578681,0,0,0,0,0.146486,0.0527132,0.554905,0,0,0,0.799353,0,0.759212,0.608043,0.255543,5.23161e-05
