step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.190037,0.0101291,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,11,1,0,0,6,9,4.16667,0.029496,3.96604e-05,0.340428,0.0369139,0,2,0,0.130593,0,0.0267037,0,0,0,0,0.296015,0.0532998,0.357339,0,0,0,0.0005799,0,0.999896,0.986086,0.241544,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000351821,0.438423,0.076402,0,2,0,0.146376,0,0.0831024,0,0,0,0,0.382939,0.132894,0.395152,0,0,0,0.000197367,0,0.999054,0.94586,0.252647,2.30885e-05
400,40,1.66667,12,5,4,3,9,3,0,0,8,10,12.5,0.0434103,0.000793374,0.505302,0.123877,0,4,0,0.158627,0,0.172636,0,0,0,0,0.443933,0.212486,0.412074,0,0,0,1.68942e-05,0,0.997804,0.874506,0.25228,5.86742e-05
500,50,2.08333,15,5,5,5,10,5,0,0,9,10,12.5,0.0471468,0.00120644,0.456264,0.171744,0,4,0,0.193053,0,0.258381,0,0,0,0,0.490927,0.242461,0.412688,0,0,0,1.6523e-05,0,0.996411,0.780993,0.243174,0.000117077
600,60,2.5,18,5,6,7,12,6,0,0,9,9,16.6667,0.0494752,0.00172203,0.42863,0.21654,0,4,0,0.220302,0,0.33405,0,0,0,0,0.518483,0.234504,0.403961,0,0,0,1.6293e-05,0,0.994006,0.684393,0.230024,0.000196426
700,70,2.91667,20,5,8,7,14,6,0,0,9,9,16.6667,0.0507515,0.00222993,0.426382,0.259121,0,6,0,0.238821,0,0.396957,0,0,0,0,0.534362,0.211173,0.422361,0,0,0,1.61986e-05,0,0.990936,0.652728,0.222597,0.000292657
800,80,3.33333,23,5,10,8,15,8,0,0,12,9,16.6667,0.0512366,0.00270507,0.40654,0.301158,0,6,0,0.252189,0,0.447022,0,0,0,0,0.539728,0.18643,0.432326,0,0,0,1.61509e-05,0,0.987404,0.650714,0.221614,0.000400855
900,90,3.75,29,5,14,10,19,10,0,0,9,5,20.8333,0.051127,0.00341379,0.415407,0.342055,0,6,0,0.243339,0,0.485637,0,0,0,0,0.528119,0.1589,0.442163,0,0,0,1.61202e-05,0,0.982809,0.648674,0.226904,0.000516169
