step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,6,1,12,0,0,0,3,0,0,0.0173675,0,0.190753,0.01014,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.029496,0.000188121,0.331065,0.0364743,0,2,0,0.130647,0,0.0267037,0,0,0,0,0.296015,0.0320784,0.358526,0,0,0,0.000625481,0,0.9995,0.991259,0.242536,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000485485,0.432879,0.0751423,0,2,0,0.146746,0,0.0831024,0,0,0,0,0.382939,0.106645,0.399938,0,0,0,0.00050845,0,0.998667,0.959677,0.255943,2.30885e-05
400,40,1.66667,15,5,6,4,11,4,0,0,9,10,16.6667,0.0434103,0.000936964,0.501824,0.12223,0,4,0,0.159656,0,0.172636,0,0,0,0,0.443933,0.172174,0.422504,0,0,0,1.6975e-05,0,0.997371,0.902206,0.259222,5.86742e-05
500,50,2.08333,18,5,8,5,13,5,0,0,9,10,16.6667,0.0471482,0.00149552,0.43526,0.167794,0,4,0,0.222241,0,0.258997,0,0,0,0,0.495566,0.181833,0.430796,0,0,0,1.66746e-05,0,0.99551,0.828919,0.25521,0.000117151
600,60,2.5,20,5,8,7,14,6,0,0,10,8,16.6667,0.0494902,0.00201804,0.423882,0.210069,0,4,0,0.250051,0,0.336714,0,0,0,0,0.521978,0.154768,0.434185,0,0,0,1.64183e-05,0,0.992983,0.760575,0.249732,0.000197316
700,70,2.91667,23,5,9,9,14,9,0,0,10,7,20.8333,0.0507916,0.00255994,0.401344,0.252716,0,6,0,0.262094,0,0.401013,0,0,0,0,0.536621,0.130892,0.436026,0,0,0,1.62814e-05,0,0.989744,0.703248,0.244735,0.000295358
800,80,3.33333,27,5,13,9,18,9,0,0,13,6,29.1667,0.0513046,0.0037976,0.373016,0.290435,0,6,0,0.272859,0,0.451776,0,0,0,0,0.542149,0.110922,0.436042,0,0,0,1.62123e-05,0,0.984212,0.655114,0.239928,0.000406007
900,90,3.75,30,5,12,13,17,13,0,0,12,6,29.1667,0.0512205,0.00527741,0.37325,0.327829,0,6,0,0.26882,0,0.490629,0,0,0,0,0.533391,0.0937471,0.436177,0,0,0,1.61714e-05,0,0.977244,0.648591,0.23933,0.000524066
1000,100,4.16667,36,5,17,14,22,14,0,0,12,5,29.1667,0.0506888,0.00666176,0.367717,0.364929,0,10,0,0.265621,0,0.519717,0,0,0,0,0.522064,0.0807927,0.512799,0,0,0,1.61494e-05,0,0.969789,0.646539,0.239911,0.00064501
1100,110,4.58333,41,5,18,18,24,17,0,0,10,3,29.1667,0.0498281,0.0079568,0.359713,0.401288,0,10,0,0.262064,0,0.541185,0,0,0,0,0.506801,0.0715964,0.618422,0,0,0,1.61095e-05,0,0.961976,0.644488,0.241016,0.000765257
1200,120,5,45,5,19,21,24,21,0,0,8,4,29.1667,0.0487331,0.00916829,0.353628,0.436882,0,10,0,0.254156,0,0.556882,0,0,0,0,0.484492,0.0619234,0.634639,0,0,0,1.60851e-05,0,0.953899,0.642443,0.242472,0.000882209
1300,130,5.41667,51,5,19,27,26,25,0,0,5,7,29.1667,0.0474791,0.0103016,0.32537,0.471556,0,10,0,0.250323,0,0.568257,0,0,0,0,0.46316,0.0543349,0.623505,0,0,0,1.60728e-05,0,0.945634,0.640405,0.244143,0.000994139
1400,140,5.83333,56,5,22,29,29,27,0,0,3,6,29.1667,0.0461247,0.0113618,0.306956,0.502685,0,10,0,0.257415,0,0.576039,0,0,0,0,0.444589,0.0467881,0.61175,0,0,0,1.60633e-05,0,0.937237,0.638376,0.245833,0.00109993
1500,150,6.25,60,5,15,40,30,30,0,0,2,8,33.3333,0.0447122,0.012478,0.30133,0.533119,0,10,1,0.25486,0.002275,0.581246,0,0,0,0,0.41989,0.0500461,0.616549,0,0,0,1.60559e-05,0,0.928371,0.636358,0.24736,0.00119863
1600,160,6.66667,61,5,15,41,28,33,0,0,1,9,37.5,0.0432796,0.014313,0.277452,0.561543,0,10,3,0.259158,0.0109375,0.584952,0,0,0,0,0.398211,0.0453844,0.605105,0,0,0,1.60502e-05,0,0.918287,0.634352,0.248567,0.00129033
1700,170,7.08333,68,5,20,43,33,35,0,0,0,10,37.5,0.0418563,0.0173239,0.275618,0.589177,0,10,6,0.251353,0.0195125,0.587536,0,0,0,0,0.37376,0.046118,0.594792,0,0,0,0.000100556,0,0.907286,0.632357,0.249659,0.00137539
1800,180,7.5,70,5,20,45,34,35,1,0,0,10,37.5,0.0404636,0.0201406,0.267708,0.616349,0,10,6,0.24345,0.0282625,0.589246,0,0,0,0,0.348604,0.0409005,0.58544,0,0,0,0.00052648,0,0.896262,0.630375,0.250621,0.0014543
1900,190,7.91667,74,5,18,51,33,40,1,0,0,9,50,0.0391164,0.0258274,0.256776,0.642643,0,10,6,0.237141,0.036925,0.59024,0,0,0,0,0.326111,0.036947,0.577175,0,0,0,0.0050177,0,0.883228,0.628405,0.251552,0.00152755
2000,200,8.33333,77,5,18,54,34,41,2,0,0,9,50,0.0378245,0.0348273,0.245055,0.667699,0,10,10,0.232213,0.0504875,0.590525,0,0,0,0,0.304618,0.0453577,0.569165,0,0,0,0.0174264,0,0.867457,0.626447,0.252164,0.00159563
