step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188585,0.0100563,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,11,1,0,0,6,9,4.16667,0.029496,0.000141242,0.328087,0.0360621,0,2,0,0.13063,0,0.0267037,0,0,0,0,0.296015,0.0324167,0.358233,0,0,0,0.000611488,0,0.999621,0.989848,0.242278,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000396284,0.426361,0.0743119,0,2,0,0.146702,0,0.0831024,0,0,0,0,0.382939,0.103705,0.400244,0,0,0,0.000472368,0,0.998913,0.959434,0.256041,2.30885e-05
400,40,1.66667,15,5,6,4,11,4,0,0,8,10,16.6667,0.0434103,0.000750023,0.493818,0.120758,0,4,0,0.159623,0,0.172636,0,0,0,0,0.443933,0.165005,0.423608,0,0,0,1.69885e-05,0,0.997896,0.902873,0.259731,5.86742e-05
500,50,2.08333,18,5,8,5,13,5,0,0,9,10,20.8333,0.0471468,0.00138128,0.43528,0.164962,0,4,0,0.213666,0,0.258399,0,0,0,0,0.495919,0.162353,0.433854,0,0,0,1.66778e-05,0,0.995953,0.835078,0.257049,0.000117079
600,60,2.5,19,5,7,7,12,7,0,0,9,9,20.8333,0.0494757,0.00227977,0.416277,0.207284,0,4,0,0.242951,0,0.334149,0,0,0,0,0.523671,0.148556,0.438678,0,0,0,1.64181e-05,0,0.992827,0.771336,0.252605,0.000196455
700,70,2.91667,23,5,11,7,16,7,0,0,7,10,29.1667,0.0507532,0.00350133,0.398535,0.24833,0,6,0,0.261313,0,0.397176,0,0,0,0,0.539388,0.141549,0.439456,0,0,0,1.62834e-05,0,0.988176,0.712503,0.247033,0.000292771
800,80,3.33333,30,5,15,10,20,10,0,0,10,10,29.1667,0.0512403,0.00500026,0.35173,0.285204,0,6,0,0.285903,0,0.447385,0,0,0,0,0.548314,0.121671,0.437789,0,0,0,1.62165e-05,0,0.981984,0.660125,0.241128,0.00040113
900,90,3.75,33,5,15,13,20,13,0,0,7,9,33.3333,0.0511337,0.00654918,0.340688,0.319535,0,6,0,0.289317,0,0.486201,0,0,0,0,0.540927,0.105038,0.435989,0,0,0,1.61692e-05,0,0.974761,0.648658,0.239261,0.000516712
1000,100,4.16667,37,5,15,17,21,16,0,0,5,10,33.3333,0.0505854,0.00822008,0.333255,0.353265,0,10,0,0.287441,0,0.515568,0,0,0,0,0.529228,0.0903939,0.510941,0,0,0,1.61407e-05,0,0.966393,0.646623,0.239176,0.000635306
1100,110,4.58333,44,5,20,19,25,19,0,0,4,9,33.3333,0.0497145,0.00978319,0.323148,0.386076,0,10,0,0.285229,0,0.537479,0,0,0,0,0.514117,0.0788391,0.589886,0,0,0,1.61112e-05,0,0.957599,0.644587,0.239796,0.000753532
1200,120,5,49,5,22,22,27,22,0,0,3,10,33.3333,0.048615,0.0112455,0.310656,0.417754,0,10,0,0.281652,0,0.553696,0,0,0,0,0.494168,0.0668852,0.580091,0,0,0,1.60858e-05,0,0.948489,0.642555,0.240908,0.000868904
1300,130,5.41667,53,5,22,26,28,25,0,0,2,10,33.3333,0.0473617,0.0126134,0.2984,0.448221,0,10,0,0.278946,0,0.565652,0,0,0,0,0.474959,0.0582575,0.571017,0,0,0,1.60747e-05,0,0.939143,0.640529,0.242347,0.000979754
1400,140,5.83333,59,5,24,30,31,28,0,0,2,10,33.3333,0.0460133,0.0138931,0.273853,0.476954,0,10,0,0.275855,0,0.574445,0,0,0,0,0.454082,0.0532355,0.563469,0,0,0,1.60668e-05,0,0.929623,0.638511,0.243895,0.00108508
1500,150,6.25,63,5,19,39,31,32,0,0,2,7,37.5,0.0446155,0.0156927,0.257484,0.503745,0,10,0,0.273597,0,0.580887,0,0,0,0,0.431365,0.04553,0.556963,0,0,0,1.60608e-05,0,0.919594,0.636502,0.245407,0.00118441
1600,160,6.66667,67,5,18,44,33,34,0,0,0,10,41.6667,0.0432034,0.020061,0.229507,0.527438,0,10,3,0.277503,0,0.585589,0,0,0,0,0.413257,0.0466615,0.551143,0,0,0,1.6056e-05,0,0.907697,0.634503,0.246784,0.00127761
1700,170,7.08333,72,5,24,43,38,34,0,0,0,9,45.8333,0.0418037,0.0254226,0.220736,0.549978,0,10,5,0.273691,0,0.588982,0,0,0,0,0.391123,0.0407815,0.545625,0,0,0,1.60517e-05,0,0.894871,0.632515,0.247911,0.00136483
1800,180,7.5,77,5,23,49,37,40,0,0,0,9,45.8333,0.040434,0.0313986,0.215602,0.571742,0,10,5,0.263762,0,0.590995,0,0,0,0,0.364673,0.035289,0.541107,0,0,0,1.60478e-05,0,0.881342,0.630539,0.249103,0.00144617
1900,190,7.91667,81,5,26,50,39,41,1,0,0,8,45.8333,0.0391066,0.0373571,0.210513,0.593084,0,10,6,0.254723,0,0.59216,0,0,0,0,0.340419,0.0309602,0.544247,0,0,0,1.60441e-05,0,0.867476,0.628574,0.250329,0.00152176
2000,200,8.33333,88,5,27,56,42,44,2,0,0,7,50,0.037832,0.0456025,0.201931,0.613695,0,10,10,0.247584,0.0021,0.592854,0,0,0,0,0.317426,0.0275164,0.546645,0,0,0,1.60403e-05,0,0.851514,0.62662,0.251495,0.0015921
2100,210,8.75,93,5,28,60,45,41,7,0,0,8,50,0.0366175,0.0532428,0.191384,0.633364,0,10,10,0.240309,0.0042,0.592898,0,0,0,0,0.29435,0.0246169,0.542832,0,0,0,1.60364e-05,0,0.835494,0.624677,0.252614,0.0016577
2200,220,9.16667,98,5,30,63,46,45,7,0,0,8,54.1667,0.0354664,0.0644642,0.181102,0.652016,0,10,10,0.234509,0.005625,0.592493,0,0,0,0,0.274,0.0219279,0.539511,0,0,0,1.60326e-05,0,0.817297,0.622746,0.25366,0.00171897
2300,230,9.58333,103,5,30,68,48,47,8,0,0,10,54.1667,0.0343796,0.0791542,0.171012,0.669592,0,10,10,0.229625,0.008625,0.591779,0,0,0,0,0.254908,0.0209126,0.536506,0,0,0,1.60288e-05,0,0.797113,0.620825,0.25459,0.00177621
2400,240,10,108,5,33,70,48,49,11,0,0,10,58.3333,0.0333566,0.0935591,0.160726,0.686168,0,10,10,0.224418,0.01305,0.590805,0,0,0,0,0.235996,0.0192715,0.533794,0,0,0,1.91702e-05,0,0.775693,0.618915,0.255417,0.00182967
2500,250,10.4167,114,5,35,74,52,49,13,0,0,9,58.3333,0.0323957,0.113782,0.15075,0.701741,0,10,10,0.220478,0.017625,0.589568,0,0,0,0,0.21944,0.0180435,0.531294,0,0,0,7.5532e-05,0,0.751299,0.617015,0.25613,0.00187961
2600,260,10.8333,116,5,32,79,47,53,16,0,0,9,62.5,0.031495,0.138003,0.140534,0.716283,0,10,10,0.216996,0.02415,0.588093,0,0,0,0,0.204076,0.0172676,0.528954,0,0,0,0.000433217,0,0.724773,0.615125,0.256726,0.00192627
