step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188649,0.0100621,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,4,3,9,3,0,0,6,9,16.6667,0.029496,0.000203896,0.330714,0.0364121,0,2,0,0.130605,0,0.0267037,0,0,0,0,0.296015,0.0544704,0.35675,0,0,0,0.000589928,0,0.999463,0.986847,0.241385,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,16.6667,0.0377695,0.000809743,0.417484,0.0741381,0,2,0,0.146417,0,0.0831024,0,0,0,0,0.382939,0.134141,0.39333,0,0,0,0.000231252,0,0.997796,0.946965,0.252028,2.30885e-05
400,40,1.66667,13,5,5,3,10,3,0,0,9,9,16.6667,0.0434103,0.0013765,0.47815,0.119321,0,4,0,0.15868,0,0.172636,0,0,0,0,0.443933,0.211085,0.409372,0,0,0,1.68978e-05,0,0.996129,0.874672,0.251216,5.86742e-05
500,50,2.08333,17,5,7,5,12,5,0,0,9,10,16.6667,0.0471468,0.0019067,0.466056,0.166438,0,4,0,0.180528,0,0.258372,0,0,0,0,0.487499,0.251031,0.409019,0,0,0,1.64536e-05,0,0.994271,0.780181,0.241626,0.000117076
600,60,2.5,19,5,8,6,13,6,0,0,9,10,16.6667,0.0494753,0.0024027,0.438349,0.21234,0,4,0,0.204594,0,0.334177,0,0,0,0,0.513546,0.234044,0.401435,0,0,0,1.61808e-05,0,0.991771,0.685998,0.229174,0.000196432
700,70,2.91667,23,5,8,10,14,9,0,0,7,10,20.8333,0.0507538,0.00311636,0.422385,0.254823,0,6,0,0.222888,0,0.39731,0,0,0,0,0.52949,0.225528,0.391117,0,0,0,1.61254e-05,0,0.988168,0.65265,0.221712,0.000292802
800,80,3.33333,30,5,16,9,21,9,0,0,10,10,29.1667,0.0512416,0.00431076,0.42354,0.297274,0,6,0,0.242674,0,0.447441,0,0,0,0,0.536102,0.219715,0.390341,0,0,0,1.61019e-05,0,0.982753,0.650578,0.221194,0.00040122
900,90,3.75,30,5,12,13,17,13,0,0,6,10,29.1667,0.0511343,0.00575747,0.399471,0.338644,0,6,0,0.253005,0,0.48605,0,0,0,0,0.530593,0.202775,0.403497,0,0,0,1.6087e-05,0,0.97592,0.648489,0.226248,0.000516767
1000,100,4.16667,36,5,15,16,22,14,0,0,6,10,29.1667,0.0505836,0.00711084,0.355235,0.375839,0,10,0,0.268077,0,0.515181,0,0,0,0,0.523684,0.186751,0.489425,0,0,0,1.60743e-05,0,0.968599,0.646389,0.230547,0.000635174
1100,110,4.58333,39,5,14,20,21,18,0,0,6,10,33.3333,0.049709,0.00839213,0.341911,0.410452,0,10,0,0.269472,0,0.5369,0,0,0,0,0.50903,0.163883,0.612798,0,0,0,1.60632e-05,0,0.960867,0.644285,0.234186,0.000753069
1200,120,5,44,5,18,21,25,19,0,0,4,10,33.3333,0.0486053,0.00994414,0.317274,0.443707,0,10,0,0.266218,0,0.552939,0,0,0,0,0.487405,0.153614,0.640808,0,0,0,1.60522e-05,0,0.951777,0.64218,0.237177,0.000867995
