step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173675,0,0.183371,0.00989296,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,12,5,6,1,12,0,0,0,6,10,0,0.029496,0,0.313383,0.0349923,0,2,0,0.130637,0,0.0267037,0,0,0,0,0.296015,0.0208109,0.35938,0,0,0,0.000617696,0,1,0.990893,0.242841,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.402432,0.0712483,0,2,0,0.146894,0,0.0831024,0,0,0,0,0.382939,0.0693725,0.406669,0,0,0,1.76247e-05,0,1,0.971176,0.259785,5.70684e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0434103,0,0.463543,0.11496,0,4,0,0.160576,0,0.172636,0,0,0,0,0.443933,0.0988193,0.440799,0,0,0,1.66648e-05,0,1,0.937998,0.270119,1.45102e-06
500,50,2.08333,12,5,7,0,12,0,0,0,11,10,0,0.0471478,0,0.437814,0.159372,0,4,0,0.198119,0,0.258871,0,0,0,0,0.48844,0.108818,0.464862,0,0,0,1.63773e-05,0,1,0.897127,0.275657,2.89846e-06
600,60,2.5,14,5,8,1,13,1,0,0,10,7,4.16667,0.0494871,0.000141242,0.394291,0.201476,0,4,0,0.225646,0,0.336089,0,0,0,0,0.514535,0.106679,0.480879,0,0,0,1.62784e-05,0,0.999424,0.853282,0.27768,4.88143e-06
700,70,2.91667,16,5,9,2,14,2,0,0,8,6,8.33333,0.0507849,0.000339093,0.3722,0.240134,0,6,0,0.254754,0,0.4008,0,0,0,0,0.530215,0.091325,0.493075,0,0,0,1.622e-05,0,0.998377,0.814331,0.278663,7.30762e-06
800,80,3.33333,21,5,12,4,17,4,0,0,7,6,12.5,0.0513002,0.000669522,0.336127,0.274999,0,6,0,0.27767,0,0.452114,0,0,0,0,0.538027,0.0787122,0.537295,0,0,0,1.61821e-05,0,0.996311,0.781016,0.278978,1.00587e-05
900,90,3.75,23,5,11,7,16,7,0,0,6,9,16.6667,0.0512211,0.0011615,0.315896,0.307697,0,6,0,0.295193,0,0.491262,0,0,0,0,0.535515,0.0767951,0.592942,0,0,0,1.61492e-05,0,0.992857,0.751165,0.278288,1.30037e-05
1000,100,4.16667,26,5,13,8,19,7,0,0,5,10,16.6667,0.0506954,0.00170556,0.293213,0.337985,0,10,0,0.314694,0,0.520567,0,0,0,0,0.531115,0.0806046,0.667547,0,0,0,1.61279e-05,0,0.988595,0.720899,0.276075,1.60281e-05
1100,110,4.58333,28,5,15,8,20,8,0,0,3,9,16.6667,0.0498412,0.00221453,0.282679,0.366741,0,10,0,0.32158,0,0.542286,0,0,0,0,0.518973,0.0861644,0.730472,0,0,0,1.60949e-05,0,0.984124,0.690081,0.272655,1.90428e-05
1200,120,5,31,5,18,8,23,8,0,0,1,9,16.6667,0.0487536,0.00269067,0.259377,0.393978,0,10,0,0.316949,0,0.558299,0,0,0,0,0.499088,0.0908161,0.740187,0,0,0,1.60669e-05,0,0.979499,0.658909,0.268214,2.19835e-05
1300,130,5.41667,36,5,21,10,27,9,0,0,1,8,20.8333,0.0475084,0.003305,0.256674,0.419909,0,10,0,0.30653,0,0.57005,0,0,0,0,0.478075,0.0942007,0.735015,0,0,0,1.60512e-05,0,0.974219,0.640932,0.264305,2.48078e-05
1400,140,5.83333,43,5,25,13,30,13,0,0,1,7,20.8333,0.0461649,0.00407939,0.245287,0.445077,0,10,0,0.296689,0,0.578627,0,0,0,0,0.456113,0.0972693,0.730734,0,0,0,1.60403e-05,0,0.968183,0.638947,0.261946,2.74902e-05
1500,150,6.25,49,5,29,15,34,15,0,0,0,9,20.8333,0.0447682,0.00480382,0.240912,0.469452,0,10,0,0.281711,0,0.584388,0,0,0,0,0.428149,0.0998671,0.726829,0,0,0,1.60331e-05,0,0.962077,0.636916,0.259714,3.00144e-05
1600,160,6.66667,54,5,29,20,36,18,0,0,0,9,25,0.0433505,0.00569095,0.227023,0.493111,0,10,2,0.277385,0.00875,0.58827,0,0,0,0,0.404271,0.0995205,0.71666,0,0,0,1.60259e-05,0,0.955247,0.634821,0.257509,3.23675e-05
1700,170,7.08333,62,5,27,30,39,23,0,0,0,9,29.1667,0.0419387,0.00678945,0.21596,0.515195,0,10,4,0.281345,0.035,0.590675,0,0,0,0,0.381898,0.0907386,0.698313,0,0,0,0.000229517,0,0.947496,0.632668,0.255931,3.45514e-05
1800,180,7.5,68,5,30,33,43,25,0,0,0,10,29.1667,0.040554,0.00807625,0.203792,0.536162,0,10,4,0.274226,0.06125,0.592291,0,0,0,0,0.356245,0.0825079,0.67584,0,0,0,0.00063901,0,0.938853,0.630481,0.254932,3.65755e-05
1900,190,7.91667,75,5,29,41,44,31,0,0,0,9,29.1667,0.0392128,0.00928004,0.194328,0.556146,0,10,4,0.267852,0.0875,0.593297,0,0,0,0,0.333425,0.0807757,0.655791,0,0,0,0.00747025,0,0.930204,0.628282,0.254159,3.84543e-05
2000,200,8.33333,81,5,30,46,46,35,0,0,0,8,37.5,0.0379259,0.0108734,0.182297,0.574977,0,10,10,0.267637,0.13335,0.59357,0,0,0,0,0.311712,0.0743403,0.638408,0,0,0,0.0387354,0,0.920715,0.626086,0.253742,4.02016e-05
2100,210,8.75,86,5,25,56,46,40,0,0,0,9,41.6667,0.0366994,0.0150237,0.168652,0.59248,0,10,10,0.267037,0.18865,0.593287,0,0,0,0,0.289759,0.0735195,0.623145,0,0,0,0.111106,0,0.909002,0.623902,0.253531,4.18284e-05
2200,220,9.16667,88,5,29,54,48,40,0,0,0,9,41.6667,0.0355366,0.0198297,0.155151,0.608677,0,10,10,0.265465,0.244212,0.592613,0,0,0,0,0.270258,0.0688358,0.609449,0,0,0,0.226264,0,0.896688,0.621739,0.253367,4.33436e-05
2300,230,9.58333,94,5,24,65,46,47,1,0,0,8,41.6667,0.0344385,0.0243256,0.143071,0.62355,0,10,10,0.262759,0.300125,0.591692,0,0,0,0,0.252051,0.0648594,0.5976,0,0,0,0.384635,0,0.884409,0.619599,0.253418,4.47558e-05
2400,240,10,98,5,23,70,49,47,2,0,0,9,45.8333,0.0334048,0.029022,0.13252,0.637283,0,10,10,0.258207,0.356213,0.590577,0,0,0,0,0.234034,0.0665507,0.587133,0,0,0,0.586541,0,0.871853,0.617486,0.253548,4.60732e-05
2500,250,10.4167,100,5,23,72,48,47,5,0,0,7,45.8333,0.0324344,0.0347659,0.123571,0.650104,0,10,10,0.254375,0.414925,0.589236,0,0,0,0,0.21819,0.0757832,0.576569,0,0,0,0.799408,0,0.85844,0.6154,0.253211,4.73034e-05
2600,260,10.8333,104,5,18,81,47,50,7,0,0,8,45.8333,0.0315253,0.0413422,0.115129,0.662035,0,10,10,0.250273,0.476088,0.587699,0,0,0,0,0.203287,0.0859271,0.565722,0,0,0,0.799387,0,0.843951,0.613341,0.252374,4.84613e-05
2700,270,11.25,107,5,21,81,47,50,10,0,0,9,50,0.030675,0.0474706,0.10592,0.67307,0,10,10,0.24484,0.537338,0.585998,0,0,0,0,0.188516,0.0938552,0.554872,0,0,0,0.799366,0,0.829422,0.611308,0.251185,4.95387e-05
2800,280,11.6667,109,5,21,83,47,49,13,0,0,9,50,0.0298806,0.0550328,0.0976151,0.683216,0,10,10,0.240142,0.598588,0.584161,0,0,0,0,0.175487,0.101582,0.544089,0,0,0,0.79935,0,0.813643,0.6093,0.249707,5.05538e-05
2900,290,12.0833,111,5,16,90,46,50,15,0,0,8,54.1667,0.0291392,0.064505,0.0892523,0.692538,0,10,10,0.235361,0.6608,0.582208,0,0,0,0,0.163226,0.104457,0.533619,0,0,0,0.799331,0,0.796451,0.607315,0.248067,5.15051e-05
3000,300,12.5,115,5,18,92,47,51,17,0,0,8,54.1667,0.0284476,0.0786792,0.0807299,0.701051,0,10,10,0.230016,0.7308,0.580156,0,0,0,0,0.151074,0.0979191,0.526578,0,0,0,0.799297,0,0.777438,0.605352,0.247539,5.23946e-05
3100,310,12.9167,117,5,19,93,47,49,21,0,0,6,54.1667,0.0278026,0.0912872,0.0738377,0.708774,0,10,10,0.225588,0.8008,0.578017,0,0,0,0,0.140387,0.090543,0.520168,0,0,0,0.799273,0,0.758534,0.603408,0.247029,5.32299e-05
3200,320,13.3333,118,5,18,95,47,49,21,1,0,5,58.3333,0.027201,0.108459,0.0672728,0.715814,0,10,10,0.221202,0.8708,0.575804,0,0,0,0,0.130432,0.0842794,0.514243,0,0,0,0.799251,0,0.737779,0.601482,0.246501,5.40148e-05
3300,330,13.75,123,5,16,102,48,52,20,3,0,4,58.3333,0.0266398,0.124804,0.0612255,0.722227,0,10,10,0.215953,0.9408,0.573528,0,0,0,0,0.120541,0.0785297,0.509424,0,0,0,0.799233,0,0.716749,0.599573,0.246223,5.47519e-05
3400,340,14.1667,126,5,19,102,50,50,22,4,0,3,58.3333,0.026116,0.139394,0.0568563,0.728127,0,10,10,0.211633,1.0108,0.571195,0,0,0,0,0.111665,0.0740224,0.505645,0,0,0,0.799222,0,0.695731,0.59768,0.246188,5.54503e-05
3500,350,14.5833,128,5,17,106,47,53,24,4,0,5,58.3333,0.0256268,0.153277,0.0541989,0.733653,0,10,10,0.207338,1.0808,0.568809,0,0,0,0,0.103224,0.0721889,0.502598,0,0,0,0.799212,0,0.673808,0.595802,0.246289,5.61076e-05
3600,360,15,130,5,18,107,48,53,22,7,0,5,58.3333,0.0251695,0.165503,0.0513594,0.738927,0,10,10,0.202313,1.1508,0.566371,0,0,0,0,0.0948685,0.0686328,0.500004,0,0,0,0.799204,0,0.652024,0.593938,0.246429,5.67176e-05
3700,370,15.4167,130,5,16,109,47,53,23,7,0,5,62.5,0.0247415,0.181272,0.0489906,0.743959,0,10,10,0.19827,1.2208,0.563883,0,0,0,0,0.0874319,0.0657199,0.497917,0,0,0,0.7992,0,0.628947,0.592087,0.246643,5.72886e-05
3800,380,15.8333,130,5,17,108,47,53,22,8,0,5,70.8333,0.0243403,0.209637,0.045835,0.748702,0,10,10,0.194412,1.2908,0.561348,0,0,0,0,0.0805009,0.0633873,0.496107,0,0,0,0.799194,0,0.601593,0.590248,0.246852,5.78221e-05
3900,390,16.25,132,5,18,109,48,54,22,8,0,5,70.8333,0.0239637,0.247413,0.0418475,0.75308,0,10,10,0.189982,1.3608,0.558771,0,0,0,0,0.0737703,0.0612437,0.494476,0,0,0,0.799188,0,0.570147,0.588422,0.247027,5.83193e-05
4000,400,16.6667,136,5,22,109,51,53,24,8,0,5,70.8333,0.0236095,0.279149,0.0387161,0.757105,0,9,9,0.186675,1.42966,0.556161,0,0,0,0,0.0679317,0.0595806,0.493072,0,0,0,0.799189,0,0.53827,0.586606,0.247198,5.8798e-05
4100,410,17.0833,134,5,20,109,50,52,24,8,0,5,79.1667,0.0232761,0.318143,0.0351169,0.760795,0,7,7,0.183655,1.48076,0.553526,0,0,0,0,0.0626415,0.0563895,0.491706,0,0,0,0.799223,0,0.502479,0.584801,0.247298,5.92278e-05
4200,420,17.5,137,5,23,109,50,55,24,8,0,4,79.1667,0.0229616,0.356528,0.0312382,0.764103,0,7,7,0.180313,1.52451,0.550877,0,0,0,0,0.0576981,0.0526961,0.490387,0,0,0,0.799264,0,0.465051,0.583006,0.24734,5.9625e-05
4300,430,17.9167,137,5,22,110,49,58,22,8,0,4,79.1667,0.0226646,0.388705,0.0282074,0.767073,0,7,7,0.178156,1.56826,0.548229,0,0,0,0,0.0535447,0.0496809,0.489186,0,0,0,0.7993,0,0.427885,0.581221,0.247358,5.9992e-05
4400,440,18.3333,138,5,24,109,51,55,22,10,0,4,79.1667,0.0223838,0.415708,0.0259286,0.769763,0,6,6,0.176383,1.60869,0.545592,0,0,0,0,0.0498826,0.0470641,0.488086,0,0,0,0.799335,0,0.390979,0.579444,0.247353,6.03306e-05
4500,450,18.75,142,5,25,112,51,57,24,10,0,5,79.1667,0.0221181,0.438395,0.0251835,0.77236,0,6,6,0.174103,1.64369,0.54298,0,0,0,0,0.0463919,0.0483219,0.486587,0,0,0,0.799373,0,0.354329,0.577676,0.247131,6.0643e-05
4600,460,19.1667,139,5,24,110,49,59,22,9,0,5,100,0.0218665,0.460855,0.023072,0.774782,0,5,5,0.172681,1.67869,0.540399,0,0,0,0,0.0433654,0.0449437,0.485037,0,0,0,0.799406,0,0.316945,0.575917,0.246837,6.09317e-05
