step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188681,0.0100642,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.029496,0.000155782,0.329017,0.0362061,0,2,0,0.13064,0,0.0267037,0,0,0,0,0.296015,0.0346497,0.358394,0,0,0,0.000619991,0,0.999588,0.990462,0.242404,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000523042,0.428451,0.0745311,0,2,0,0.146694,0,0.0831024,0,0,0,0,0.382939,0.123436,0.398617,0,0,0,0.000465264,0,0.998575,0.956751,0.255122,2.30885e-05
400,40,1.66667,12,5,4,3,9,3,0,0,8,10,12.5,0.0434103,0.00095355,0.496259,0.121146,0,4,0,0.159323,0,0.172636,0,0,0,0,0.443933,0.205231,0.416815,0,0,0,1.70127e-05,0,0.997325,0.88779,0.255505,5.86742e-05
500,50,2.08333,17,5,8,4,13,4,0,0,9,9,16.6667,0.0471468,0.00137382,0.434218,0.16621,0,4,0,0.217072,0,0.258401,0,0,0,0,0.497127,0.219378,0.420273,0,0,0,1.65981e-05,0,0.995872,0.801019,0.248211,0.000117079
600,60,2.5,19,5,9,5,14,5,0,0,10,6,16.6667,0.0494758,0.00190419,0.442754,0.210213,0,4,0,0.239796,0,0.334154,0,0,0,0,0.523324,0.217229,0.414991,0,0,0,1.63608e-05,0,0.993372,0.712271,0.237223,0.000196457
700,70,2.91667,21,5,10,6,15,6,0,0,9,6,16.6667,0.0507533,0.00240034,0.440803,0.254919,0,6,0,0.25575,0,0.39717,0,0,0,0,0.538719,0.200962,0.405527,0,0,0,1.62447e-05,0,0.9903,0.65256,0.227467,0.000292773
800,80,3.33333,28,5,14,9,20,8,0,0,12,4,20.8333,0.0512408,0.00290246,0.420629,0.297176,0,6,0,0.275608,0,0.447715,0,0,0,0,0.543987,0.169341,0.399142,0,0,0,1.61809e-05,0,0.986669,0.650382,0.224695,0.000401169
900,90,3.75,31,5,14,12,19,12,0,0,9,5,20.8333,0.0511422,0.00370282,0.417197,0.339141,0,6,0,0.265312,0,0.48765,0,0,0,0,0.531601,0.144069,0.404751,0,0,0,1.61487e-05,0,0.98178,0.648153,0.226716,0.000517351
1000,100,4.16667,36,5,14,17,21,15,0,0,4,8,29.1667,0.0506062,0.00498297,0.373251,0.378585,0,10,0,0.268259,0,0.517455,0,0,0,0,0.520515,0.125461,0.49058,0,0,0,1.6127e-05,0,0.975003,0.645899,0.23096,0.000637036
1100,110,4.58333,43,5,15,23,24,19,0,0,3,9,33.3333,0.0497464,0.00672991,0.360021,0.415054,0,10,0,0.266726,0,0.539363,0,0,0,0,0.50477,0.11569,0.592294,0,0,0,1.60967e-05,0,0.966225,0.643635,0.234402,0.000756458
1200,120,5,47,5,19,23,26,21,0,0,1,9,33.3333,0.0486545,0.00838915,0.343701,0.449976,0,10,0,0.257719,0,0.55532,0,0,0,0,0.482393,0.111699,0.62391,0,0,0,1.60743e-05,0,0.95706,0.641376,0.237302,0.000872873
1300,130,5.41667,51,5,19,27,27,24,0,0,0,9,33.3333,0.0474044,0.00994136,0.324485,0.483485,0,10,0,0.251687,0,0.566852,0,0,0,0,0.461474,0.101121,0.642366,0,0,0,1.60613e-05,0,0.947672,0.63913,0.239736,0.000984443
1400,140,5.83333,55,5,19,31,28,27,0,0,0,10,33.3333,0.0460544,0.0113934,0.314997,0.51544,0,10,0,0.24406,0,0.574923,0,0,0,0,0.439185,0.0874476,0.653866,0,0,0,1.60506e-05,0,0.938127,0.636903,0.24177,0.00109005
1500,150,6.25,60,5,23,32,30,30,0,0,0,9,37.5,0.0446473,0.0133729,0.301157,0.546278,0,10,0,0.236752,0,0.58028,0,0,0,0,0.414816,0.0749832,0.656749,0,0,0,1.60426e-05,0,0.92809,0.634699,0.243432,0.00118878
1600,160,6.66667,65,5,21,39,31,34,0,0,0,9,41.6667,0.0432198,0.0174355,0.286525,0.575688,0,10,0,0.231248,0,0.584082,0,0,0,0,0.392524,0.0673162,0.654182,0,0,0,1.60357e-05,0,0.916546,0.63252,0.244719,0.00128059
1700,170,7.08333,69,5,23,41,34,35,0,0,0,9,45.8333,0.0418012,0.0234055,0.269862,0.60347,0,10,3,0.226257,0,0.586721,0,0,0,0,0.370315,0.0584379,0.652922,0,0,0,1.60304e-05,0,0.903508,0.630368,0.245697,0.00136581
1800,180,7.5,75,5,26,44,36,39,0,0,0,9,45.8333,0.0404126,0.0295117,0.255269,0.629654,0,10,4,0.220824,0,0.588474,0,0,0,0,0.34677,0.0551879,0.652544,0,0,0,1.60253e-05,0,0.890078,0.628244,0.246469,0.0014449
1900,190,7.91667,82,5,25,52,39,42,1,0,0,9,45.8333,0.0390689,0.0358702,0.2421,0.654523,0,10,5,0.216622,0,0.589534,0,0,0,0,0.325385,0.0488443,0.652968,0,0,0,1.60217e-05,0,0.876069,0.626147,0.247191,0.00151833
2000,200,8.33333,86,5,28,53,40,42,4,0,0,10,50,0.0377802,0.043769,0.230342,0.678121,0,10,9,0.216218,0.00945,0.589866,0,0,0,0,0.304592,0.0445374,0.644718,0,0,0,1.60184e-05,0,0.860298,0.624077,0.248024,0.00158659
2100,210,8.75,90,5,27,58,40,44,6,0,0,9,50,0.036552,0.05405,0.21726,0.700481,0,10,9,0.213918,0.018,0.589697,0,0,0,0,0.283231,0.0403386,0.630149,0,0,0,7.54293e-05,0,0.841982,0.622032,0.24887,0.00165005
2200,220,9.16667,97,5,29,63,43,47,7,0,0,9,54.1667,0.0353876,0.0648534,0.206127,0.721668,0,10,10,0.21135,0.02415,0.589136,0,0,0,0,0.264004,0.0369617,0.617203,0,0,0,0.000161925,0,0.82316,0.620011,0.249713,0.00170908
2300,230,9.58333,102,5,31,66,46,46,10,0,0,7,58.3333,0.034288,0.0819154,0.194244,0.741675,0,10,10,0.209191,0.0324,0.588247,0,0,0,0,0.245635,0.0345671,0.605556,0,0,0,0.000625476,0,0.801826,0.618012,0.250485,0.00176404
2400,240,10,109,5,30,74,50,47,12,0,0,8,62.5,0.0332528,0.103858,0.180581,0.760425,0,10,10,0.206007,0.04035,0.587073,0,0,0,0,0.227249,0.0349838,0.594845,0,0,0,0.00550604,0,0.778239,0.616033,0.251098,0.00181521
2500,250,10.4167,112,5,27,80,48,50,14,0,0,9,62.5,0.0322808,0.129664,0.167324,0.777806,0,10,10,0.203809,0.04815,0.585639,0,0,0,0,0.211161,0.0338785,0.584986,0,0,0,0.0169158,0,0.751843,0.61407,0.251568,0.0018629
2600,260,10.8333,119,5,25,89,53,49,17,0,0,9,62.5,0.0313696,0.152429,0.155977,0.793952,0,10,10,0.202049,0.05895,0.583988,0,0,0,0,0.196239,0.0338293,0.575947,0,0,0,0.03526,0,0.725438,0.612124,0.25193,0.00190736
2700,270,11.25,121,5,21,95,49,54,18,0,0,8,62.5,0.0305169,0.172389,0.143324,0.808901,0,10,10,0.199729,0.071925,0.582163,0,0,0,0,0.181594,0.0321424,0.567808,0,0,0,0.0628541,0,0.699167,0.610193,0.252255,0.00194883
2800,280,11.6667,123,5,23,95,49,54,20,0,0,10,66.6667,0.0297199,0.194048,0.133582,0.822762,0,10,10,0.19824,0.085275,0.580199,0,0,0,0,0.168797,0.035454,0.560173,0,0,0,0.100271,0,0.671686,0.608275,0.252425,0.00198755
2900,290,12.0833,126,5,18,103,49,52,23,2,0,8,70.8333,0.0289755,0.216463,0.123177,0.835571,0,10,10,0.196705,0.098625,0.578126,0,0,0,0,0.156874,0.0335649,0.55307,0,0,0,0.147709,0,0.643201,0.60637,0.252484,0.00202372
3000,300,12.5,130,5,22,103,51,54,21,4,0,8,70.8333,0.0282807,0.246834,0.113388,0.847365,0,10,10,0.194404,0.11175,0.575964,0,0,0,0,0.145171,0.0335066,0.546632,0,0,0,0.205224,0,0.611473,0.604478,0.252516,0.00205754
3100,310,12.9167,132,5,20,107,50,55,22,5,0,8,75,0.0276326,0.280045,0.104412,0.858259,0,10,10,0.192907,0.124575,0.573733,0,0,0,0,0.134951,0.0316555,0.540705,0,0,0,0.272689,0,0.577789,0.602597,0.252486,0.00208919
