step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.19094,0.0101524,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,8,8.33333,0.029496,0.000139606,0.334322,0.0367046,0,2,0,0.130613,0,0.0267037,0,0,0,0,0.296015,0.0486656,0.357445,0,0,0,0.000597191,0,0.999629,0.987754,0.241753,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,12.5,0.0377695,0.000492313,0.427492,0.0753174,0,2,0,0.146477,0,0.0831024,0,0,0,0,0.382939,0.124225,0.395824,0,0,0,0.00028205,0,0.998658,0.949303,0.25326,2.30885e-05
400,40,1.66667,12,5,3,4,8,4,0,0,9,10,16.6667,0.0434103,0.00100037,0.493192,0.121699,0,4,0,0.158901,0,0.172636,0,0,0,0,0.443933,0.204544,0.414005,0,0,0,1.73791e-05,0,0.997208,0.881842,0.253786,5.86742e-05
500,50,2.08333,16,5,6,5,11,5,0,0,8,10,16.6667,0.0471468,0.00155483,0.454095,0.168377,0,4,0,0.188297,0,0.258381,0,0,0,0,0.48946,0.246705,0.414374,0,0,0,1.66135e-05,0,0.99535,0.78929,0.244679,0.000117077
600,60,2.5,19,5,8,6,14,5,0,0,9,10,16.6667,0.0494757,0.00207353,0.404587,0.212186,0,4,0,0.234847,0,0.334344,0,0,0,0,0.520264,0.228747,0.406642,0,0,0,1.62414e-05,0,0.99285,0.69467,0.232124,0.000196453
700,70,2.91667,20,5,6,9,12,8,0,0,8,9,20.8333,0.0507618,0.00272398,0.390332,0.251552,0,6,0,0.266296,0,0.399155,0,0,0,0,0.53773,0.201528,0.438934,0,0,0,1.61569e-05,0,0.989408,0.652741,0.224496,0.000293325
800,80,3.33333,25,5,9,11,15,10,0,0,10,9,25,0.05127,0.00383629,0.371225,0.29016,0,6,0,0.273246,0,0.450779,0,0,0,0,0.541675,0.18066,0.436362,0,0,0,1.61208e-05,0,0.984219,0.65075,0.222123,0.000403266
900,90,3.75,30,5,13,12,18,12,0,0,7,9,25,0.0511879,0.00494501,0.36197,0.326954,0,6,0,0.282975,0,0.490229,0,0,0,0,0.537161,0.160154,0.443698,0,0,0,1.61012e-05,0,0.978308,0.648755,0.226523,0.000521055
1000,100,4.16667,35,5,16,14,21,14,0,0,5,8,25,0.0506619,0.0059822,0.346664,0.362404,0,10,0,0.290576,0,0.519777,0,0,0,0,0.529461,0.136336,0.515273,0,0,0,1.60837e-05,0,0.971969,0.646758,0.230934,0.000642079
1100,110,4.58333,41,5,19,17,24,17,0,0,5,8,29.1667,0.0498089,0.00709173,0.340603,0.396775,0,10,0,0.288838,0,0.541644,0,0,0,0,0.514112,0.118627,0.62059,0,0,0,1.60687e-05,0,0.964896,0.644759,0.234633,0.000762704
1200,120,5,44,5,20,19,24,20,0,0,5,8,29.1667,0.0487229,0.00835903,0.327818,0.430204,0,10,0,0.28467,0,0.557699,0,0,0,0,0.49358,0.102819,0.651768,0,0,0,1.60552e-05,0,0.956853,0.642761,0.237705,0.000880294
1300,130,5.41667,51,5,21,25,29,22,0,0,5,8,29.1667,0.0474788,0.00954457,0.32532,0.462866,0,10,0,0.273427,0,0.569417,0,0,0,0,0.470489,0.0894896,0.663128,0,0,0,1.60462e-05,0,0.948605,0.640766,0.240291,0.000993089
1400,140,5.83333,57,5,26,26,31,26,0,0,2,9,29.1667,0.0461356,0.0106536,0.297802,0.493561,0,10,0,0.271064,0,0.577902,0,0,0,0,0.450242,0.0782394,0.669549,0,0,0,1.60383e-05,0,0.940209,0.638774,0.242455,0.00110003
