step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.187704,0.0100379,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,6,4.16667,0.0293801,6.78092e-05,0.332828,0.0362852,0,2,0,0.130648,0,0.0219913,0,0,0,0,0.118418,0.0219296,0.359287,0,0,0,0.0006264,0,0.999821,0.991587,0.242873,6.16656e-06
300,30,1.25,12,5,4,3,10,2,0,0,6,10,8.33333,0.037503,0.000324533,0.435524,0.0752262,0,2,0,0.146891,0,0.0499109,0,0,0,0,0.15321,0.0779495,0.404084,0,0,0,0.000631931,0,0.999121,0.968405,0.258474,1.7775e-05
400,40,1.66667,13,5,6,2,11,2,0,0,8,10,8.33333,0.0428088,0.000613097,0.509214,0.122815,0,4,0,0.160302,0,0.0919547,0,0,0,0,0.177678,0.138861,0.432319,0,0,0,1.70477e-05,0,0.998288,0.923107,0.265238,3.96704e-05
500,50,2.08333,16,5,7,4,12,4,0,0,8,10,16.6667,0.0460613,0.00116853,0.454323,0.170617,0,4,0,0.195491,0,0.134919,0,0,0,0,0.196502,0.16987,0.444226,0,0,0,1.6786e-05,0,0.996688,0.857932,0.263484,7.22838e-05
600,60,2.5,19,5,8,6,13,6,0,0,9,9,16.6667,0.0478167,0.00171215,0.439781,0.216001,0,4,0,0.21549,0,0.175682,0,0,0,0,0.206577,0.173145,0.447367,0,0,0,1.6511e-05,0,0.995021,0.787595,0.257706,0.000114159
700,70,2.91667,25,5,12,8,17,8,0,0,7,10,16.6667,0.0484863,0.00222069,0.438916,0.260077,0,6,0,0.228183,0,0.212872,0,0,0,0,0.212145,0.17245,0.444668,0,0,0,1.63274e-05,0,0.993325,0.717401,0.249607,0.000163125
800,80,3.33333,26,5,11,10,16,10,0,0,10,10,16.6667,0.0483754,0.00269643,0.418165,0.302214,0,6,0,0.246189,0,0.245836,0,0,0,0,0.214918,0.165197,0.437829,0,0,0,1.62391e-05,0,0.991392,0.650918,0.240223,0.000216913
900,90,3.75,30,5,13,12,18,12,0,0,8,9,25,0.0477115,0.00345621,0.394277,0.34339,0,6,0,0.252851,0,0.274419,0,0,0,0,0.212847,0.143635,0.430863,0,0,0,1.61858e-05,0,0.988736,0.64864,0.237209,0.000273469
1000,100,4.16667,36,5,17,14,24,12,0,0,5,8,25,0.046664,0.00458944,0.388858,0.382475,0,10,0,0.254152,0,0.298805,0,0,0,0,0.208999,0.131853,0.501264,0,0,0,1.61505e-05,0,0.985137,0.646593,0.235303,0.000331088
1100,110,4.58333,41,5,15,21,23,18,0,0,4,10,29.1667,0.0453595,0.00571775,0.354104,0.419929,0,10,0,0.262698,0,0.319367,0,0,0,0,0.204415,0.116621,0.614484,0,0,0,1.61099e-05,0,0.981146,0.644544,0.234887,0.000388446
