step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.189939,0.0101224,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,7,12.5,0.0293801,0.000262907,0.323311,0.0360433,0,2,0,0.130631,0,0.0219913,0,0,0,0,0.296044,0.0310775,0.357646,0,0,0,0.000612306,0,0.999296,0.990031,0.242061,6.16656e-06
300,30,1.25,13,5,5,3,10,3,0,0,6,10,12.5,0.037539,0.000710197,0.416929,0.0734382,0,2,0,0.146741,0,0.0764057,0,0,0,0,0.38302,0.0937706,0.399649,0,0,0,0.000504869,0,0.998046,0.961869,0.256046,1.91835e-05
400,40,1.66667,15,5,6,4,11,4,0,0,8,10,16.6667,0.0430491,0.00121656,0.480551,0.118698,0,4,0,0.159848,0,0.164607,0,0,0,0,0.444097,0.143824,0.425252,0,0,0,1.66749e-05,0,0.996563,0.912618,0.261363,5.07042e-05
500,50,2.08333,19,5,8,6,13,6,0,0,9,9,16.6667,0.0466499,0.00175708,0.430351,0.16378,0,4,0,0.196241,0,0.249493,0,0,0,0,0.491283,0.162127,0.439811,0,0,0,1.62775e-05,0,0.994758,0.854364,0.261361,0.000103444
600,60,2.5,21,5,9,7,14,7,0,0,10,8,20.8333,0.0488448,0.00251604,0.428075,0.206872,0,4,0,0.217785,0,0.324585,0,0,0,0,0.516643,0.156203,0.447443,0,0,0,1.61555e-05,0,0.991914,0.795713,0.258549,0.000175578
700,70,2.91667,23,5,9,9,15,8,0,0,9,8,20.8333,0.0499935,0.00334132,0.440784,0.250485,0,6,0,0.227499,0,0.387015,0,0,0,0,0.529421,0.143759,0.451009,0,0,0,1.61233e-05,0,0.988187,0.741171,0.254521,0.00026317
800,80,3.33333,32,5,15,12,21,11,0,0,11,7,20.8333,0.0503585,0.00411337,0.419681,0.294039,0,6,0,0.237667,0,0.436564,0,0,0,0,0.534069,0.141276,0.450967,0,0,0,1.60978e-05,0,0.983889,0.689366,0.249323,0.000361476
900,90,3.75,33,5,13,15,19,14,0,0,10,4,29.1667,0.0501371,0.00519292,0.406422,0.335267,0,6,0,0.241101,0,0.474592,0,0,0,0,0.527531,0.125492,0.485158,0,0,0,1.6086e-05,0,0.97822,0.648306,0.243814,0.000465845
1000,100,4.16667,38,5,18,15,23,15,0,0,10,4,33.3333,0.0494685,0.00661691,0.391828,0.375301,0,10,0,0.24155,0,0.489792,0,0,0,0,0.517329,0.108171,0.575099,0,0,0,1.60728e-05,0,0.971048,0.646015,0.242679,0.000571268
1100,110,4.58333,45,5,20,20,26,19,0,0,7,8,33.3333,0.0484032,0.00828344,0.385887,0.414044,0,10,0,0.238047,0,0.489792,0,0,0,0,0.501377,0.100925,0.635197,0,0,0,1.60585e-05,0,0.962881,0.643683,0.242291,0.000668853
1200,120,5,49,5,22,22,27,22,0,0,5,10,33.3333,0.0470606,0.00984247,0.340505,0.449942,0,10,0,0.246542,0,0.489792,0,0,0,0,0.483217,0.0930012,0.642368,0,0,0,1.60487e-05,0,0.954715,0.641336,0.24197,0.00075702
1300,130,5.41667,55,5,23,27,29,26,0,0,4,10,33.3333,0.0455461,0.0113009,0.32493,0.483178,0,10,0,0.251773,0,0.489792,0,0,0,0,0.465066,0.0806614,0.652096,0,0,0,1.6042e-05,0,0.946549,0.638993,0.242269,0.000836189
1400,140,5.83333,58,5,22,31,29,29,0,0,3,10,33.3333,0.0439379,0.0126653,0.315557,0.515039,0,10,0,0.250272,0,0.489793,0,0,0,0,0.444078,0.0696389,0.650607,0,0,0,1.60377e-05,0,0.938383,0.636666,0.243044,0.00090712
1500,150,6.25,66,5,22,39,35,31,0,0,1,8,41.6667,0.0422935,0.0146584,0.307218,0.546236,0,10,0,0.241686,0,0.489793,0,0,0,0,0.418781,0.0603236,0.649045,0,0,0,1.6034e-05,0,0.929828,0.634363,0.244103,0.000970723
1600,160,6.66667,71,5,20,46,35,36,0,0,0,10,45.8333,0.0406546,0.0200904,0.277682,0.575474,0,10,2,0.243243,0,0.489793,0,0,0,0,0.397951,0.0590909,0.648628,0,0,0,1.60303e-05,0,0.919294,0.63209,0.244992,0.00102794
1700,170,7.08333,72,5,19,48,33,39,0,0,0,8,45.8333,0.0390507,0.0264105,0.267763,0.602737,0,10,3,0.236976,0.0007875,0.489793,0,0,0,0,0.37503,0.0514561,0.647792,0,0,0,1.60268e-05,0,0.908066,0.629851,0.245917,0.00107966
1800,180,7.5,77,5,12,60,38,39,0,0,0,7,45.8333,0.0375024,0.0323228,0.255686,0.628903,0,10,4,0.232921,0.0095375,0.489793,0,0,0,0,0.351107,0.0449293,0.632917,0,0,0,1.60233e-05,0,0.896838,0.627647,0.246997,0.00112672
1900,190,7.91667,80,5,15,60,40,37,3,0,0,8,45.8333,0.0360231,0.0393278,0.246376,0.654018,0,10,4,0.229487,0.0182875,0.489793,0,0,0,0,0.329473,0.0480656,0.619291,0,0,0,7.29755e-05,0,0.884528,0.625477,0.24789,0.00116985
2000,200,8.33333,81,5,12,64,37,40,4,0,0,8,50,0.0346214,0.0489967,0.235755,0.678142,0,10,9,0.226054,0.0270375,0.489793,0,0,0,0,0.308667,0.0457847,0.606575,0,0,0,0.000300509,0,0.869943,0.623342,0.248526,0.0012097
2100,210,8.75,82,5,11,66,34,44,4,0,0,8,50,0.0333018,0.0597194,0.222846,0.701052,0,10,9,0.22187,0.03605,0.489793,0,0,0,0,0.287343,0.0405148,0.595404,0,0,0,0.00168885,0,0.85403,0.62124,0.249219,0.00124682
2200,220,9.16667,83,5,9,69,35,41,7,0,0,8,54.1667,0.0320659,0.0753605,0.211442,0.722798,0,10,9,0.218035,0.0420875,0.489793,0,0,0,0,0.268166,0.0372223,0.585466,0,0,0,0.0083318,0,0.836128,0.619169,0.249897,0.00128166
2300,230,9.58333,84,5,8,71,36,38,10,0,0,8,58.3333,0.0309135,0.0971308,0.199783,0.743327,0,10,9,0.214364,0.04865,0.489793,0,0,0,0,0.249771,0.033586,0.576675,0,0,0,0.0206592,0,0.815899,0.617128,0.250573,0.00131463
2400,240,10,84,5,7,72,34,40,10,0,0,10,58.3333,0.0298427,0.116827,0.189919,0.762823,0,10,9,0.210079,0.05635,0.489793,0,0,0,0,0.231179,0.0337981,0.568593,0,0,0,0.0390101,0,0.795487,0.615114,0.251118,0.00134604
2500,250,10.4167,84,5,6,73,33,39,12,0,0,9,62.5,0.0288506,0.134707,0.180901,0.781371,0,10,9,0.20684,0.065625,0.489793,0,0,0,0,0.214599,0.0316077,0.561341,0,0,0,0.0643749,0,0.774912,0.613125,0.251619,0.00137615
2600,260,10.8333,85,5,7,73,35,38,12,0,0,8,66.6667,0.0279335,0.158225,0.170711,0.798948,0,10,9,0.203615,0.074725,0.489708,0,0,0,0,0.198958,0.0299723,0.554771,0,0,0,0.097249,0,0.752095,0.611158,0.252052,0.00140517
2700,270,11.25,85,5,6,74,34,37,14,0,0,7,66.6667,0.0270861,0.184583,0.158271,0.815391,0,10,10,0.199831,0.0833875,0.489427,0,0,0,0,0.183583,0.0284773,0.548788,0,0,0,0.13728,0,0.727622,0.609213,0.252412,0.00143309
2800,280,11.6667,86,5,7,74,35,37,14,0,0,8,66.6667,0.0263027,0.207684,0.148135,0.830677,0,10,10,0.197288,0.091525,0.488928,0,0,0,0,0.170251,0.0291413,0.543367,0,0,0,0.184103,0,0.703189,0.607286,0.252718,0.00145988
2900,290,12.0833,87,5,7,75,35,36,16,0,0,10,66.6667,0.0255778,0.227931,0.143658,0.845282,0,10,10,0.195255,0.104388,0.48823,0,0,0,0,0.157986,0.0466301,0.536935,0,0,0,0.238275,0,0.678816,0.605377,0.252367,0.00148546
3000,300,12.5,87,5,6,76,33,37,17,0,0,10,66.6667,0.0249065,0.24568,0.13445,0.8592,0,10,10,0.192756,0.120663,0.487372,0,0,0,0,0.146042,0.0471251,0.529893,0,0,0,0.303756,0,0.654522,0.603484,0.251545,0.00150979
3100,310,12.9167,88,5,7,76,34,36,18,0,0,10,66.6667,0.0242842,0.26124,0.126069,0.872226,0,10,10,0.191067,0.136588,0.486387,0,0,0,0,0.135553,0.0436304,0.5239,0,0,0,0.381025,0,0.63032,0.601604,0.250935,0.00153286
3200,320,13.3333,89,5,8,76,34,37,18,0,0,10,66.6667,0.023707,0.274883,0.118568,0.884438,0,10,10,0.189439,0.1519,0.485301,0,0,0,0,0.125797,0.0406331,0.518854,0,0,0,0.469977,0,0.606221,0.599738,0.250518,0.00155469
3300,330,13.75,91,5,7,79,34,39,18,0,0,9,66.6667,0.0231711,0.286847,0.111362,0.895925,0,10,10,0.187134,0.167125,0.484133,0,0,0,0,0.116255,0.0381077,0.514563,0,0,0,0.570467,0,0.582236,0.597883,0.250234,0.00157529
3400,340,14.1667,91,5,7,79,34,38,19,0,0,9,66.6667,0.0226731,0.29734,0.10518,0.906753,0,10,10,0.185697,0.184012,0.482877,0,0,0,0,0.107924,0.0363163,0.510868,0,0,0,0.683175,0,0.558371,0.596039,0.250035,0.00159471
3500,350,14.5833,93,5,6,82,34,40,18,1,0,7,70.8333,0.02221,0.311313,0.0989453,0.916959,0,10,10,0.184453,0.201337,0.481501,0,0,0,0,0.100276,0.0347572,0.507615,0,0,0,0.799761,0,0.533441,0.594205,0.249875,0.00161298
3600,360,15,93,5,5,83,35,39,17,2,0,8,70.8333,0.021779,0.329768,0.0925029,0.926542,0,10,10,0.18275,0.224525,0.480021,0,0,0,0,0.0929107,0.035447,0.504564,0,0,0,0.799742,0,0.506864,0.59238,0.24967,0.00163017
3700,370,15.4167,94,5,4,85,35,39,16,4,0,8,70.8333,0.0213775,0.34535,0.0863801,0.935484,0,10,10,0.181951,0.248412,0.47845,0,0,0,0,0.086529,0.0342046,0.501857,0,0,0,0.799725,0,0.480434,0.590564,0.24949,0.00164631
3800,380,15.8333,94,5,6,83,34,38,17,5,0,9,75,0.0210031,0.362136,0.0809309,0.94384,0,10,10,0.181365,0.272825,0.476803,0,0,0,0,0.0807624,0.0339499,0.499444,0,0,0,0.799711,0,0.453279,0.588757,0.249325,0.00166146
3900,390,16.25,94,5,6,83,34,37,18,5,0,9,75,0.0206537,0.383877,0.0750848,0.951628,0,9,9,0.180128,0.294962,0.475095,0,0,0,0,0.0752138,0.0323655,0.497208,0,0,0,0.799705,0,0.424244,0.586958,0.249139,0.00167566
4000,400,16.6667,95,5,2,88,34,39,17,5,0,8,75,0.0203272,0.401998,0.0704244,0.958901,0,9,9,0.179557,0.31535,0.473342,0,0,0,0,0.0703759,0.0308984,0.495254,0,0,0,0.799704,0,0.395378,0.585167,0.248981,0.00168896
4100,410,17.0833,94,5,3,86,34,38,17,5,0,7,75,0.0200218,0.417116,0.0663203,0.965728,0,7,7,0.178885,0.3325,0.47156,0,0,0,0,0.0658511,0.0292948,0.493523,0,0,0,0.79971,0,0.366682,0.583384,0.248837,0.00170142
4200,420,17.5,92,5,3,84,34,37,18,3,0,6,79.1667,0.019736,0.430361,0.0622746,0.972155,0,6,6,0.177411,0.349563,0.469755,0,0,0,0,0.0614034,0.0276781,0.491968,0,0,0,0.799715,0,0.338014,0.581608,0.248695,0.00171309
4300,430,17.9167,91,5,3,83,34,37,16,4,0,6,79.1667,0.0194681,0.452052,0.058165,0.978174,0,6,6,0.176527,0.366625,0.467928,0,0,0,0,0.0574748,0.0261935,0.490457,0,0,0,0.79972,0,0.315166,0.579839,0.248509,0.00172401
4400,440,18.3333,91,5,2,84,33,38,16,4,0,8,79.1667,0.0192167,0.470003,0.0577142,0.983899,0,4,4,0.175561,0.380363,0.466082,0,0,0,0,0.0538315,0.0347144,0.488709,0,0,0,0.799732,0,0.295451,0.578076,0.248172,0.00173422
