step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188554,0.0100533,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,4,3,9,3,0,0,6,10,12.5,0.0293801,0.000196696,0.330251,0.0362625,0,2,0,0.13062,0,0.0219913,0,0,0,0,0.296044,0.0424184,0.357449,0,0,0,0.000602581,0,0.999479,0.988568,0.241836,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,16.6667,0.037539,0.000746949,0.419547,0.0742569,0,2,0,0.146595,0,0.0764057,0,0,0,0,0.38302,0.106898,0.396976,0,0,0,0.000381616,0,0.997967,0.955503,0.254341,1.91835e-05
400,40,1.66667,13,5,4,4,9,4,0,0,9,10,16.6667,0.0430491,0.00131776,0.483066,0.119753,0,4,0,0.159366,0,0.164607,0,0,0,0,0.444097,0.170271,0.418666,0,0,0,1.6953e-05,0,0.9963,0.897296,0.257196,5.07042e-05
500,50,2.08333,15,5,6,4,11,4,0,0,9,10,16.6667,0.04665,0.00185175,0.361677,0.160763,0,4,0,0.220943,0,0.249516,0,0,0,0,0.498336,0.171632,0.42824,0,0,0,1.66482e-05,0,0.994495,0.827072,0.254003,0.000103447
600,60,2.5,19,5,9,5,14,5,0,0,9,9,16.6667,0.0488456,0.00235129,0.33626,0.195768,0,4,0,0.281641,0,0.32484,0,0,0,0,0.534193,0.150511,0.432796,0,0,0,1.63854e-05,0,0.992077,0.761278,0.249246,0.000175624
700,70,2.91667,20,5,5,10,12,8,0,0,9,8,16.6667,0.0500027,0.0028186,0.356858,0.23066,0,6,0,0.31102,0,0.388883,0,0,0,0,0.551842,0.127158,0.435547,0,0,0,1.62584e-05,0,0.989079,0.70559,0.244778,0.00026375
800,80,3.33333,24,5,10,9,16,8,0,0,10,7,25,0.0503877,0.00379136,0.357666,0.266444,0,6,0,0.329026,0,0.439907,0,0,0,0,0.559348,0.107456,0.436585,0,0,0,1.62009e-05,0,0.984332,0.658919,0.240526,0.000363498
900,90,3.75,29,5,13,11,18,11,0,0,7,10,25,0.0501909,0.00490298,0.334327,0.301365,0,6,0,0.335218,0,0.477834,0,0,0,0,0.553841,0.090507,0.437486,0,0,0,1.61603e-05,0,0.978564,0.648784,0.239873,0.000469967
1000,100,4.16667,35,5,16,14,21,14,0,0,6,8,29.1667,0.0495207,0.00608585,0.32033,0.333955,0,10,0,0.331229,0,0.489792,0,0,0,0,0.543071,0.077645,0.514582,0,0,0,1.61382e-05,0,0.972081,0.646801,0.240651,0.000575849
1100,110,4.58333,40,5,16,19,22,18,0,0,4,9,33.3333,0.0484457,0.00748245,0.317524,0.365887,0,10,0,0.329912,0,0.489792,0,0,0,0,0.527981,0.070185,0.618282,0,0,0,1.61065e-05,0,0.964762,0.64482,0.241783,0.000673171
1200,120,5,45,5,17,23,24,21,0,0,0,9,33.3333,0.0470954,0.00909315,0.287787,0.396388,0,10,0,0.331552,0,0.489793,0,0,0,0,0.507571,0.0604832,0.63482,0,0,0,1.60831e-05,0,0.956596,0.642841,0.243156,0.000761052
1300,130,5.41667,47,5,17,25,23,24,0,0,0,9,33.3333,0.0455747,0.0105999,0.27898,0.424624,0,10,0,0.332127,0,0.489793,0,0,0,0,0.487861,0.0531184,0.63934,0,0,0,1.60674e-05,0,0.948429,0.640867,0.244764,0.000839933
1400,140,5.83333,55,5,22,28,28,27,0,0,0,9,37.5,0.0439617,0.0125374,0.27149,0.452174,0,10,0,0.324703,0,0.489793,0,0,0,0,0.465297,0.0461153,0.644005,0,0,0,1.60573e-05,0,0.939977,0.638897,0.246431,0.000910586
1500,150,6.25,59,5,26,28,31,28,0,0,0,10,37.5,0.0423134,0.0156629,0.259681,0.478716,0,10,0,0.316119,0,0.489793,0,0,0,0,0.440434,0.0408762,0.648683,0,0,0,1.60497e-05,0,0.93079,0.636934,0.248104,0.000973928
1600,160,6.66667,64,5,24,35,30,34,0,0,0,9,41.6667,0.0406713,0.0189272,0.255092,0.504445,0,10,2,0.302525,0.002025,0.489793,0,0,0,0,0.414684,0.0362947,0.65347,0,0,0,1.60447e-05,0,0.92142,0.634977,0.24973,0.0010309
1700,170,7.08333,67,5,25,37,31,36,0,0,0,10,41.6667,0.0390648,0.0234814,0.247899,0.529577,0,10,4,0.291001,0.009525,0.489793,0,0,0,0,0.389256,0.033416,0.649219,0,0,0,1.60411e-05,0,0.911212,0.633028,0.251262,0.0010824
