step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188906,0.0100821,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.0293801,0.000149581,0.331489,0.0364168,0,2,0,0.130607,0,0.0219913,0,0,0,0,0.118418,0.049724,0.357214,0,0,0,0.000591689,0,0.999604,0.987284,0.241614,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037503,0.000449432,0.432052,0.0750045,0,2,0,0.146434,0,0.0499109,0,0,0,0,0.15321,0.140626,0.394969,0,0,0,0.000245984,0,0.998771,0.946495,0.252637,1.7775e-05
400,40,1.66667,15,5,6,4,11,4,0,0,9,10,16.6667,0.0428088,0.000750686,0.499849,0.122005,0,4,0,0.158684,0,0.0919547,0,0,0,0,0.177678,0.211033,0.413138,0,0,0,1.63127e-05,0,0.997883,0.876533,0.252909,3.96704e-05
500,50,2.08333,17,5,7,5,12,5,0,0,9,10,16.6667,0.0460615,0.00132126,0.433682,0.16664,0,4,0,0.215291,0,0.134967,0,0,0,0,0.198935,0.208404,0.419936,0,0,0,1.61288e-05,0,0.996217,0.801349,0.248109,7.22929e-05
600,60,2.5,19,5,7,7,13,6,0,0,9,10,20.8333,0.0478176,0.00194574,0.388571,0.20874,0,4,0,0.270178,0,0.17581,0,0,0,0,0.213188,0.196585,0.422467,0,0,0,1.60927e-05,0,0.99445,0.732856,0.242272,0.000114204
700,70,2.91667,23,5,10,8,15,8,0,0,8,10,20.8333,0.0484886,0.00280782,0.367087,0.246166,0,6,0,0.310945,0,0.213159,0,0,0,0,0.222279,0.186977,0.422493,0,0,0,1.6075e-05,0,0.992329,0.67325,0.236322,0.000163259
800,80,3.33333,28,5,13,10,18,10,0,0,11,10,25,0.0483806,0.00383839,0.360055,0.282382,0,6,0,0.333017,0,0.246375,0,0,0,0,0.225797,0.183617,0.420257,0,0,0,1.6062e-05,0,0.989605,0.650757,0.233179,0.000217231
900,90,3.75,30,5,13,12,19,11,0,0,8,10,33.3333,0.0477214,0.00548995,0.345537,0.317779,0,6,0,0.346043,0,0.275329,0,0,0,0,0.223927,0.169437,0.418606,0,0,0,1.60524e-05,0,0.985498,0.64877,0.232319,0.000274111
1000,100,4.16667,37,5,16,16,22,15,0,0,7,9,33.3333,0.0466812,0.00722919,0.325072,0.351152,0,10,0,0.357568,0,0.300186,0,0,0,0,0.221181,0.145241,0.493461,0,0,0,1.60455e-05,0,0.980664,0.646782,0.2322,0.000332261
1100,110,4.58333,38,5,14,19,20,18,0,0,6,9,33.3333,0.0453863,0.00885622,0.311706,0.382772,0,10,0,0.350212,0,0.321204,0,0,0,0,0.214633,0.125023,0.584414,0,0,0,1.60419e-05,0,0.975453,0.644795,0.234105,0.000390361
1200,120,5,46,5,17,24,24,22,0,0,3,8,33.3333,0.0439305,0.0103783,0.302049,0.413468,0,10,0,0.335491,0,0.338813,0,0,0,0,0.205205,0.106196,0.603001,0,0,0,1.60387e-05,0,0.969925,0.642809,0.237158,0.00044742
1300,130,5.41667,50,5,19,26,25,25,0,0,2,10,33.3333,0.0423836,0.0118022,0.301373,0.443553,0,10,0,0.319599,0,0.353463,0,0,0,0,0.19553,0.103401,0.614809,0,0,0,1.60355e-05,0,0.964134,0.640827,0.239725,0.000502732
1400,140,5.83333,52,5,18,29,25,27,0,0,2,8,33.3333,0.0407972,0.0131342,0.296506,0.473451,0,10,0,0.303081,0,0.365582,0,0,0,0,0.185189,0.0875979,0.603993,0,0,0,1.60323e-05,0,0.958126,0.638848,0.241889,0.000555829
1500,150,6.25,61,5,20,36,29,32,0,0,2,10,41.6667,0.0392091,0.016012,0.270691,0.501657,0,10,2,0.292838,0,0.375564,0,0,0,0,0.17548,0.0873161,0.593719,0,0,0,1.60291e-05,0,0.95126,0.636875,0.243634,0.000606431
1600,160,6.66667,63,5,18,40,29,34,0,0,2,9,41.6667,0.0376465,0.0207543,0.229654,0.526371,0,10,2,0.291328,0,0.383777,0,0,0,0,0.168114,0.078122,0.583961,0,0,0,1.60259e-05,0,0.943341,0.634908,0.24501,0.000654404
1700,170,7.08333,66,5,18,43,29,37,0,0,2,9,41.6667,0.0361293,0.0251906,0.211592,0.548234,0,10,2,0.295185,0,0.390547,0,0,0,0,0.160596,0.0666559,0.574899,0,0,0,1.60227e-05,0,0.935279,0.632947,0.246144,0.000699741
1800,180,7.5,71,5,22,44,34,37,0,0,2,9,45.8333,0.034671,0.029775,0.207831,0.569063,0,10,4,0.2874,0,0.396133,0,0,0,0,0.15043,0.0576299,0.59836,0,0,0,1.60195e-05,0,0.926911,0.630993,0.247061,0.00074252
1900,190,7.91667,74,5,19,50,33,39,2,0,2,9,50,0.0332807,0.0373401,0.204416,0.589743,0,10,5,0.275167,0,0.400718,0,0,0,0,0.140413,0.0504127,0.616381,0,0,0,1.60163e-05,0,0.916816,0.629046,0.247958,0.000782866
2000,200,8.33333,81,5,25,51,37,41,3,0,2,10,50,0.0319634,0.0468858,0.19814,0.609889,0,10,9,0.266483,0.005175,0.404441,0,0,0,0,0.130989,0.04652,0.612526,0,0,0,1.60131e-05,0,0.905135,0.627107,0.248844,0.000820906
2100,210,8.75,84,5,25,54,38,40,6,0,1,9,54.1667,0.0307216,0.056628,0.189037,0.629257,0,10,10,0.258326,0.012675,0.407428,0,0,0,0,0.121579,0.0410511,0.601367,0,0,0,1.65089e-05,0,0.893124,0.625176,0.249791,0.000856771
2200,220,9.16667,88,5,21,62,38,42,8,0,0,9,54.1667,0.0295553,0.0719445,0.179326,0.64769,0,10,10,0.251619,0.020175,0.409785,0,0,0,0,0.113245,0.0375788,0.591511,0,0,0,9.25071e-05,0,0.879267,0.623253,0.250726,0.00089059
2300,230,9.58333,91,5,21,65,38,44,9,0,0,8,58.3333,0.0284636,0.0902423,0.16861,0.665077,0,10,10,0.245373,0.027675,0.411605,0,0,0,0,0.105392,0.0338892,0.582746,0,0,0,0.000191137,0,0.863951,0.621339,0.251616,0.00092249
2400,240,10,94,5,24,65,40,43,11,0,0,8,62.5,0.0274442,0.109983,0.158132,0.681416,0,10,10,0.238509,0.035175,0.412965,0,0,0,0,0.0975409,0.0315949,0.574822,0,0,0,0.000596928,0,0.847726,0.619433,0.252407,0.000952593
2500,250,10.4167,98,5,24,69,41,44,13,0,0,8,62.5,0.0264943,0.135042,0.148301,0.696732,0,10,10,0.233168,0.045375,0.413929,0,0,0,0,0.0905481,0.0290531,0.567751,0,0,0,0.00593854,0,0.829176,0.617535,0.253145,0.000981012
2600,260,10.8333,102,5,23,74,42,45,15,0,0,10,62.5,0.0256106,0.157185,0.141363,0.711165,0,10,10,0.228339,0.0582,0.41455,0,0,0,0,0.0839893,0.0346276,0.5611,0,0,0,0.0203815,0,0.810506,0.615646,0.253694,0.00100785
2700,270,11.25,105,5,25,75,42,46,17,0,0,10,62.5,0.0247893,0.176599,0.132056,0.724818,0,10,10,0.223045,0.07215,0.414876,0,0,0,0,0.0775756,0.0321074,0.554633,0,0,0,0.0452878,0,0.791858,0.613765,0.253994,0.00103321
2800,280,11.6667,108,5,25,78,43,46,19,0,0,10,66.6667,0.0240269,0.200243,0.123146,0.737588,0,10,10,0.218834,0.0855,0.414946,0,0,0,0,0.0719687,0.0300889,0.548877,0,0,0,0.0807185,0,0.771681,0.611892,0.254286,0.00105718
2900,290,12.0833,112,5,25,82,46,45,20,1,0,9,70.8333,0.0233196,0.221678,0.114837,0.749464,0,10,10,0.215037,0.10095,0.414798,0,0,0,0,0.066773,0.0286944,0.543768,0,0,0,0.127018,0,0.751385,0.610027,0.254574,0.00107984
3000,300,12.5,117,5,17,95,47,48,20,2,0,8,70.8333,0.0226636,0.25145,0.105938,0.760486,0,10,10,0.210927,0.123225,0.414464,0,0,0,0,0.0616706,0.0282084,0.539121,0,0,0,0.187201,0,0.728662,0.608169,0.254807,0.00110126
3100,310,12.9167,121,5,16,100,48,49,21,3,0,8,75,0.0220554,0.277638,0.0986688,0.770716,0,10,10,0.207933,0.148425,0.41397,0,0,0,0,0.0572039,0.0280553,0.534938,0,0,0,0.26469,0,0.705868,0.606319,0.25501,0.00112154
3200,320,13.3333,124,5,14,105,48,50,20,6,0,8,79.1667,0.0214915,0.321465,0.0904254,0.780147,0,10,10,0.205136,0.175275,0.413338,0,0,0,0,0.0530812,0.0280593,0.531001,0,0,0,0.36105,0,0.678382,0.604476,0.255116,0.00114072
