step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,7,5,2,0,7,0,0,0,3,0,0,0.0173349,0,0.185006,0.00996467,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,8,0,0.0293801,0,0.31641,0.0352546,0,2,0,0.130641,0,0.0219913,0,0,0,0,0.296044,0.0223651,0.359498,0,0,0,0.000620448,0,1,0.991206,0.24292,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037539,0,0.407567,0.0718998,0,2,0,0.146878,0,0.0764057,0,0,0,0,0.38302,0.0844499,0.405839,0,0,0,1.69835e-05,0,1,0.968984,0.259234,4.74151e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0430491,0,0.468536,0.11609,0,4,0,0.160353,0,0.164607,0,0,0,0,0.444097,0.148523,0.43642,0,0,0,1.65552e-05,0,1,0.926634,0.267232,1.25379e-06
500,50,2.08333,12,5,7,0,12,0,0,0,10,10,0,0.0466528,0,0.50021,0.164647,0,4,0,0.180273,0,0.250417,0,0,0,0,0.483995,0.200543,0.451852,0,0,0,1.63146e-05,0,1,0.863733,0.267114,2.56309e-06
600,60,2.5,15,5,8,2,13,2,0,0,10,9,8.33333,0.0488597,0.000123558,0.456242,0.213675,0,4,0,0.200618,0,0.326596,0,0,0,0,0.509149,0.241848,0.452038,0,0,0,1.62146e-05,0,0.999503,0.780169,0.258832,4.36857e-06
700,70,2.91667,16,5,7,4,12,4,0,0,8,10,12.5,0.0500243,0.000519174,0.386203,0.254939,0,6,0,0.238214,0,0.389582,0,0,0,0,0.529903,0.234823,0.469989,0,0,0,1.61301e-05,0,0.997548,0.691,0.245985,6.57103e-06
800,80,3.33333,19,5,10,4,15,4,0,0,11,10,12.5,0.0504048,0.000949931,0.368567,0.292851,0,6,0,0.273074,0,0.439374,0,0,0,0,0.54162,0.199622,0.537904,0,0,0,1.60887e-05,0,0.994967,0.650778,0.237753,9.04834e-06
900,90,3.75,22,5,11,6,16,6,0,0,9,9,12.5,0.0501969,0.0013529,0.342263,0.328079,0,6,0,0.296846,0,0.477212,0,0,0,0,0.541291,0.169559,0.586548,0,0,0,1.60693e-05,0,0.992115,0.648792,0.235201,1.16821e-05
1000,100,4.16667,26,5,13,8,18,8,0,0,8,8,12.5,0.0495233,0.00172987,0.317705,0.360811,0,10,0,0.313197,0,0.489792,0,0,0,0,0.536275,0.146589,0.634275,0,0,0,1.60572e-05,0,0.989076,0.646804,0.234246,1.4315e-05
1100,110,4.58333,28,5,14,9,20,8,0,0,8,7,16.6667,0.048448,0.0020905,0.305505,0.391977,0,10,0,0.324611,0,0.489792,0,0,0,0,0.526473,0.129196,0.660411,0,0,0,1.60487e-05,0,0.985963,0.644813,0.235421,1.67445e-05
1200,120,5,34,5,19,10,25,9,0,0,8,7,20.8333,0.0470974,0.00275833,0.285162,0.421017,0,10,0,0.317121,0,0.489793,0,0,0,0,0.504689,0.116009,0.670145,0,0,0,1.60427e-05,0,0.981379,0.642822,0.238598,1.89432e-05
1300,130,5.41667,37,5,22,10,27,10,0,0,6,7,20.8333,0.0455765,0.00356798,0.27021,0.448648,0,10,0,0.312606,0,0.489793,0,0,0,0,0.482308,0.111989,0.677324,0,0,0,1.6038e-05,0,0.976275,0.640832,0.24122,2.0921e-05
1400,140,5.83333,47,5,28,14,33,14,0,0,6,7,20.8333,0.0439632,0.0043254,0.254699,0.474664,0,10,0,0.30733,0,0.489793,0,0,0,0,0.459106,0.099151,0.683308,0,0,0,1.60334e-05,0,0.971172,0.638845,0.243405,2.26962e-05
1500,150,6.25,53,5,26,22,35,18,0,0,4,6,29.1667,0.0423147,0.00553289,0.246525,0.49981,0,10,3,0.292371,0.008225,0.489793,0,0,0,0,0.430077,0.0879489,0.68386,0,0,0,1.60291e-05,0,0.9647,0.636862,0.245131,2.42907e-05
1600,160,6.66667,61,5,28,28,41,20,0,0,4,8,29.1667,0.0406725,0.00690076,0.23645,0.523987,0,10,3,0.282488,0.025725,0.489793,0,0,0,0,0.403925,0.0795184,0.677159,0,0,0,0.000155564,0,0.957555,0.634885,0.246518,2.57272e-05
1700,170,7.08333,67,5,32,30,44,23,0,0,2,7,29.1667,0.0390659,0.00818038,0.219402,0.546788,0,10,5,0.277268,0.0510125,0.489793,0,0,0,0,0.379117,0.0733212,0.661335,0,0,0,0.000476777,0,0.950409,0.632914,0.247649,2.70277e-05
1800,180,7.5,74,5,26,43,45,29,0,0,1,9,29.1667,0.0375153,0.00937744,0.209485,0.568227,0,10,5,0.268882,0.0772625,0.489793,0,0,0,0,0.353092,0.0680937,0.64519,0,0,0,0.00220988,0,0.943264,0.63095,0.248625,2.82124e-05
1900,190,7.91667,76,5,26,45,44,32,0,0,1,9,37.5,0.0360342,0.0110665,0.198347,0.588661,0,10,6,0.261679,0.103513,0.489793,0,0,0,0,0.329967,0.0629861,0.630901,0,0,0,0.0192699,0,0.935139,0.628994,0.249618,2.92991e-05
2000,200,8.33333,82,5,28,49,46,36,0,0,1,9,41.6667,0.034631,0.0145709,0.18485,0.607812,0,10,10,0.259096,0.143325,0.489793,0,0,0,0,0.308009,0.0591571,0.618252,0,0,0,0.0609752,0,0.9258,0.627046,0.25061,3.03038e-05
2100,210,8.75,86,5,27,54,46,40,0,0,1,8,41.6667,0.0333101,0.0194061,0.169987,0.625525,0,10,10,0.256115,0.189262,0.489793,0,0,0,0,0.285885,0.0559724,0.606995,0,0,0,0.138341,0,0.915593,0.625107,0.251566,3.124e-05
2200,220,9.16667,91,5,24,62,48,43,0,0,0,8,45.8333,0.0320732,0.0249938,0.158245,0.641962,0,10,10,0.252813,0.2352,0.489793,0,0,0,0,0.266171,0.05715,0.596671,0,0,0,0.252269,0,0.904805,0.623177,0.252358,3.21191e-05
2300,230,9.58333,94,5,21,68,46,45,3,0,0,9,45.8333,0.0309199,0.0313841,0.145669,0.65713,0,10,10,0.248691,0.282187,0.489793,0,0,0,0,0.24746,0.055164,0.587222,0,0,0,0.402997,0,0.893303,0.621256,0.253014,3.29558e-05
2400,240,10,99,5,21,73,48,46,5,0,0,9,45.8333,0.0298483,0.0385893,0.132787,0.67103,0,10,10,0.243309,0.329438,0.489793,0,0,0,0,0.228977,0.0529829,0.578773,0,0,0,0.591155,0,0.880821,0.619344,0.253631,3.37543e-05
2500,250,10.4167,102,5,18,79,49,47,6,0,0,9,45.8333,0.0288556,0.0461264,0.121951,0.68377,0,10,10,0.238932,0.376688,0.489782,0,0,0,0,0.212886,0.0512369,0.571227,0,0,0,0.799411,0,0.867553,0.617441,0.254211,3.45152e-05
2600,260,10.8333,104,5,17,82,48,48,8,0,0,10,54.1667,0.0279377,0.0554812,0.113784,0.695527,0,10,10,0.234844,0.424638,0.489668,0,0,0,0,0.19808,0.0594198,0.563917,0,0,0,0.799412,0,0.853146,0.615546,0.254526,3.52545e-05
2700,270,11.25,108,5,13,90,47,51,10,0,0,10,58.3333,0.0270892,0.075661,0.102945,0.706369,0,10,10,0.230161,0.473463,0.489324,0,0,0,0,0.183678,0.0690431,0.555679,0,0,0,0.799408,0,0.834758,0.613659,0.254144,3.59594e-05
2800,280,11.6667,109,5,13,91,45,52,12,0,0,10,58.3333,0.0263045,0.0967389,0.0932522,0.716179,0,10,10,0.226592,0.5229,0.488785,0,0,0,0,0.17118,0.07727,0.546975,0,0,0,0.799404,0,0.815427,0.61178,0.253282,3.66344e-05
2900,290,12.0833,110,5,13,92,45,49,16,0,0,9,58.3333,0.0255785,0.116325,0.0846674,0.725049,0,10,10,0.223178,0.572863,0.488097,0,0,0,0,0.159635,0.0841302,0.538125,0,0,0,0.799397,0,0.795221,0.609908,0.252094,3.72875e-05
3000,300,12.5,112,5,13,94,44,52,16,0,0,8,58.3333,0.0249064,0.133608,0.0763545,0.733095,0,10,10,0.218993,0.623175,0.487291,0,0,0,0,0.148299,0.0865234,0.529377,0,0,0,0.79939,0,0.774988,0.608043,0.250706,3.7903e-05
3100,310,12.9167,115,5,13,97,46,52,17,0,0,8,58.3333,0.0242842,0.148776,0.0690273,0.740358,0,10,10,0.215747,0.673575,0.486393,0,0,0,0,0.138379,0.0787882,0.521996,0,0,0,0.799386,0,0.754826,0.606185,0.249648,3.84895e-05
