step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188681,0.0100642,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,8,8.33333,0.0293801,0.00017585,0.331396,0.0363465,0,2,0,0.130606,0,0.0219913,0,0,0,0,0.296044,0.0477455,0.357072,0,0,0,0.000591197,0,0.999533,0.987276,0.241556,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037539,0.000474006,0.431344,0.0748755,0,2,0,0.146485,0,0.0764057,0,0,0,0,0.38302,0.124947,0.396311,0,0,0,0.000289604,0,0.9987,0.950307,0.253555,1.91835e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,12.5,0.0430491,0.000760912,0.501781,0.121935,0,4,0,0.158929,0,0.164607,0,0,0,0,0.444097,0.205886,0.415243,0,0,0,1.69182e-05,0,0.997846,0.881785,0.254276,5.07042e-05
500,50,2.08333,16,5,6,5,11,5,0,0,9,10,16.6667,0.04665,0.00130978,0.397098,0.165275,0,4,0,0.212827,0,0.24951,0,0,0,0,0.496384,0.199049,0.418674,0,0,0,1.65579e-05,0,0.9961,0.79734,0.247203,0.000103446
600,60,2.5,19,5,8,6,13,6,0,0,11,10,16.6667,0.0488453,0.00184428,0.390018,0.204627,0,4,0,0.252988,0,0.324706,0,0,0,0,0.527785,0.175126,0.418871,0,0,0,1.63196e-05,0,0.993682,0.722923,0.239841,0.000175609
700,70,2.91667,22,5,11,6,16,6,0,0,9,9,16.6667,0.0499958,0.0023443,0.409933,0.244973,0,6,0,0.256887,0,0.387369,0,0,0,0,0.539096,0.161068,0.416063,0,0,0,1.62263e-05,0,0.990696,0.655771,0.232002,0.00026332
800,80,3.33333,26,5,11,10,16,10,0,0,12,10,20.8333,0.0503645,0.00301416,0.428577,0.286395,0,6,0,0.253521,0,0.437204,0,0,0,0,0.538779,0.146084,0.412907,0,0,0,1.6165e-05,0,0.986769,0.650755,0.230238,0.000361895
900,90,3.75,30,5,14,11,19,11,0,0,10,10,33.3333,0.0501481,0.00446594,0.425602,0.329396,0,6,0,0.243895,0,0.475466,0,0,0,0,0.527665,0.129808,0.410601,0,0,0,1.61372e-05,0,0.980301,0.648764,0.229117,0.000466691
1000,100,4.16667,36,5,17,14,22,14,0,0,9,8,33.3333,0.0494811,0.00627125,0.381592,0.369569,0,10,0,0.248256,0,0.489792,0,0,0,0,0.518052,0.111099,0.48998,0,0,0,1.61166e-05,0,0.972193,0.646769,0.230807,0.000572355
