step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.186678,0.00999718,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,7,12.5,0.0293801,0.000166911,0.326932,0.0360033,0,2,0,0.130627,0,0.0219913,0,0,0,0,0.118418,0.0411376,0.357831,0,0,0,0.000608506,0,0.999558,0.989159,0.242048,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,16.6667,0.037503,0.000653753,0.41791,0.0736892,0,2,0,0.146588,0,0.0499109,0,0,0,0,0.15321,0.12775,0.396341,0,0,0,0.00037556,0,0.998221,0.952604,0.253797,1.7775e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,16.6667,0.0428088,0.00123058,0.481136,0.118961,0,4,0,0.15907,0,0.0919547,0,0,0,0,0.177678,0.209836,0.413283,0,0,0,1.69284e-05,0,0.996554,0.882487,0.253562,3.96704e-05
500,50,2.08333,16,5,6,5,11,5,0,0,9,10,16.6667,0.0460613,0.00177019,0.423324,0.164108,0,4,0,0.193963,0,0.134919,0,0,0,0,0.196659,0.248947,0.413181,0,0,0,1.65645e-05,0,0.994888,0.788384,0.244111,7.22838e-05
600,60,2.5,19,5,8,6,13,6,0,0,9,10,16.6667,0.0478167,0.00227499,0.376349,0.20407,0,4,0,0.23397,0,0.175692,0,0,0,0,0.209384,0.241252,0.403823,0,0,0,1.63081e-05,0,0.993221,0.689348,0.230464,0.000114161
700,70,2.91667,21,5,9,7,14,7,0,0,8,9,20.8333,0.0484866,0.00284169,0.345933,0.240112,0,6,0,0.272143,0,0.212935,0,0,0,0,0.2184,0.215714,0.414453,0,0,0,1.62051e-05,0,0.991415,0.652519,0.222157,0.000163141
800,80,3.33333,25,5,11,9,16,9,0,0,11,8,20.8333,0.0483766,0.00364597,0.347208,0.27448,0,6,0,0.297069,0,0.246005,0,0,0,0,0.221985,0.182065,0.410845,0,0,0,1.61524e-05,0,0.988996,0.650319,0.221339,0.000216982
900,90,3.75,29,5,13,11,18,11,0,0,9,7,29.1667,0.0477145,0.00498118,0.340563,0.308972,0,6,0,0.30561,0,0.274787,0,0,0,0,0.219514,0.153081,0.422077,0,0,0,1.61246e-05,0,0.985391,0.648069,0.226371,0.000273655
1000,100,4.16667,33,5,12,16,19,14,0,0,8,4,29.1667,0.046672,0.00638464,0.330503,0.342503,0,10,0,0.309647,0,0.299791,0,0,0,0,0.215691,0.130541,0.501146,0,0,0,1.61048e-05,0,0.981172,0.645789,0.23059,0.000331609
1100,110,4.58333,37,5,14,18,20,17,0,0,7,3,29.1667,0.0453761,0.00769756,0.32758,0.375427,0,10,0,0.300093,0,0.320841,0,0,0,0,0.208873,0.113278,0.604609,0,0,0,1.60829e-05,0,0.976617,0.643499,0.234156,0.000389576
1200,120,5,44,5,19,20,24,20,0,0,7,3,33.3333,0.0439193,0.00892958,0.318964,0.407773,0,10,0,0.289829,0,0.338379,0,0,0,0,0.200072,0.097097,0.630195,0,0,0,1.6068e-05,0,0.971778,0.641212,0.237156,0.000446494
1300,130,5.41667,49,5,20,24,25,24,0,0,4,2,33.3333,0.0423707,0.0104469,0.306599,0.439074,0,10,0,0.281263,0,0.352899,0,0,0,0,0.191589,0.0833927,0.638235,0,0,0,1.60562e-05,0,0.966001,0.638936,0.239592,0.000501614
1400,140,5.83333,55,5,21,29,28,27,0,0,3,2,33.3333,0.0407818,0.0118664,0.294195,0.469091,0,10,0,0.273088,0,0.364868,0,0,0,0,0.18266,0.0713817,0.638262,0,0,0,1.6048e-05,0,0.960013,0.636678,0.241623,0.000554452
1500,150,6.25,56,5,19,32,24,32,0,0,1,2,41.6667,0.0391904,0.0151047,0.277905,0.497705,0,10,0,0.264203,0,0.374705,0,0,0,0,0.17268,0.0608668,0.637141,0,0,0,1.60417e-05,0,0.953052,0.634445,0.243233,0.000604725
1600,160,6.66667,63,5,21,37,29,34,0,0,1,1,41.6667,0.0376242,0.0199055,0.266786,0.524803,0,10,1,0.255017,0.0009,0.382769,0,0,0,0,0.162763,0.0520667,0.629657,0,0,0,1.60374e-05,0,0.945178,0.632238,0.244507,0.000652308
1700,170,7.08333,64,5,17,42,27,37,0,0,0,4,45.8333,0.0361027,0.0261125,0.240128,0.549849,0,10,3,0.258685,0.0084,0.389354,0,0,0,0,0.153596,0.0564511,0.615824,0,0,0,1.6034e-05,0,0.936427,0.63006,0.245474,0.000697184
1800,180,7.5,70,5,17,48,32,38,0,0,0,7,45.8333,0.0346393,0.0320441,0.230119,0.573272,0,10,4,0.25796,0.014925,0.39471,0,0,0,0,0.143783,0.0558415,0.605543,0,0,0,3.7551e-05,0,0.9275,0.62791,0.246241,0.000739408
1900,190,7.91667,71,5,21,45,32,38,1,0,0,10,45.8333,0.0332431,0.0383632,0.228233,0.596245,0,10,5,0.247664,0.0201,0.399042,0,0,0,0,0.133814,0.0545734,0.597627,0,0,0,0.000103479,0,0.918071,0.62579,0.246818,0.000779087
2000,200,8.33333,74,5,21,48,34,37,3,0,0,9,50,0.031919,0.0463394,0.222636,0.618797,0,10,7,0.2382,0.023775,0.402504,0,0,0,0,0.124361,0.0480044,0.586354,0,0,0,0.000184507,0,0.907364,0.623697,0.247316,0.00081635
2100,210,8.75,81,5,23,53,38,38,5,0,0,8,54.1667,0.0306697,0.0560586,0.214826,0.640686,0,10,9,0.229161,0.027975,0.405225,0,0,0,0,0.114879,0.0437547,0.576466,0,0,0,0.000320195,0,0.895468,0.621631,0.247874,0.000851332
2200,220,9.16667,82,5,21,56,37,39,6,0,0,9,54.1667,0.0294954,0.0721075,0.206091,0.661739,0,10,9,0.222147,0.0327,0.407318,0,0,0,0,0.106494,0.0400105,0.567794,0,0,0,0.00272205,0,0.881292,0.61959,0.248472,0.00088417
2300,230,9.58333,90,5,26,59,41,43,6,0,0,9,58.3333,0.0283952,0.0923864,0.196305,0.681846,0,10,9,0.215744,0.036675,0.408875,0,0,0,0,0.0986129,0.0369469,0.560128,0,0,0,0.00893915,0,0.865646,0.617571,0.249067,0.000914999
2400,240,10,94,5,27,62,44,40,10,0,0,8,62.5,0.0273671,0.116597,0.185478,0.700944,0,10,9,0.209161,0.0405,0.409977,0,0,0,0,0.0908015,0.0359289,0.55322,0,0,0,0.0187283,0,0.84802,0.615572,0.249601,0.000943951
2500,250,10.4167,99,5,28,66,44,43,12,0,0,7,62.5,0.0264082,0.140966,0.173393,0.718907,0,10,9,0.204126,0.043575,0.410692,0,0,0,0,0.0839676,0.0336796,0.546917,0,0,0,0.0317361,0,0.829609,0.61359,0.250046,0.000971152
2600,260,10.8333,104,5,29,70,46,45,13,0,0,7,66.6667,0.0255155,0.162635,0.161626,0.735633,0,10,9,0.199998,0.046875,0.411077,0,0,0,0,0.077683,0.0317023,0.541293,0,0,0,0.0476177,0,0.811154,0.611626,0.250462,0.000996719
2700,270,11.25,110,5,30,75,48,46,16,0,0,7,66.6667,0.0246853,0.18842,0.148114,0.7511,0,10,10,0.196051,0.051375,0.411184,0,0,0,0,0.0716318,0.0298623,0.536197,0,0,0,0.066602,0,0.79113,0.609676,0.250819,0.00102077
