step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.183504,0.00986454,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,10,0,0.0293801,0,0.317316,0.0351428,0,4,0,0.130568,0,0.0219913,0,0,0,0,0.118418,0.0727728,0.32989,0,0,0,0.000557955,0,1,0.983455,0.230301,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037503,0,0.405033,0.0717159,0,4,0,0.146008,0,0.0499109,0,0,0,0,0.15321,0.198117,0.27688,0,0,0,1.81099e-05,0,1,0.925934,0.203345,4.39434e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0428088,0,0.461008,0.115375,0,8,0,0.157115,0,0.0919547,0,0,0,0,0.177678,0.334211,0.445404,0,0,0,1.61836e-05,0,1,0.826092,0.205538,9.81608e-07
500,50,2.08333,12,5,7,0,12,0,0,0,10,8,0,0.0460625,0,0.457545,0.160949,0,8,0,0.181771,0,0.135218,0,0,0,0,0.195172,0.40284,0.538992,0,0,0,1.60873e-05,0,1,0.69866,0.2032,1.79156e-06
600,60,2.5,13,5,7,1,12,1,0,0,9,8,4.16667,0.0478212,9.86919e-05,0.405642,0.205513,0,8,0,0.207482,0,0.176225,0,0,0,0,0.206556,0.445643,0.579737,0,0,0,1.60661e-05,0,0.999738,0.65471,0.207749,2.8358e-06
700,70,2.91667,15,5,8,2,13,2,0,0,7,8,8.33333,0.048495,0.000321094,0.369881,0.243677,0,12,0,0.258172,0,0.213585,0,0,0,0,0.216723,0.427686,0.605974,0,0,0,1.60557e-05,0,0.999109,0.652704,0.215182,4.06011e-06
800,80,3.33333,15,5,7,3,12,3,0,0,10,8,12.5,0.0483888,0.00066522,0.343784,0.27968,0,12,0,0.306809,0,0.246726,0,0,0,0,0.223046,0.391696,0.62217,0,0,0,1.60515e-05,0,0.997961,0.650681,0.221469,5.40817e-06
900,90,3.75,18,5,8,5,13,5,0,0,7,9,16.6667,0.0477311,0.00118984,0.314488,0.312164,0,12,0,0.334462,0,0.275763,0,0,0,0,0.223095,0.358205,0.634468,0,0,0,1.60483e-05,0,0.995942,0.648641,0.226763,6.8309e-06
1000,100,4.16667,20,5,10,5,15,5,0,0,4,10,16.6667,0.0466923,0.00173208,0.296864,0.342755,0,17,0,0.359901,0,0.300602,0,0,0,0,0.222078,0.330705,0.649773,0,0,0,1.60451e-05,0,0.993519,0.646582,0.231213,8.28751e-06
1100,110,4.58333,20,5,9,6,14,6,0,0,4,10,16.6667,0.0453983,0.00223934,0.275498,0.371433,0,17,0,0.362989,0,0.321615,0,0,0,0,0.217224,0.306956,0.660328,0,0,0,1.60419e-05,0,0.990907,0.644505,0.234928,9.74457e-06
1200,120,5,23,5,11,7,16,7,0,0,3,8,16.6667,0.0439434,0.00271387,0.256535,0.397686,0,17,0,0.35494,0,0.339247,0,0,0,0,0.208988,0.28222,0.664909,0,0,0,1.60387e-05,0,0.988137,0.642412,0.238012,1.11774e-05
1300,130,5.41667,28,5,15,8,21,7,0,0,1,7,16.6667,0.0423976,0.00315779,0.255949,0.423403,0,17,4,0.33945,0.0009,0.353945,0,0,0,0,0.199345,0.26127,0.670926,0,0,0,1.60355e-05,0,0.985234,0.640305,0.240555,1.25685e-05
1400,140,5.83333,33,5,20,8,25,8,0,0,1,7,16.6667,0.0408126,0.00357307,0.24968,0.44869,0,17,4,0.33032,0.0109,0.366134,0,0,0,0,0.189631,0.242616,0.66697,0,0,0,1.60323e-05,0,0.982223,0.638186,0.242635,1.39062e-05
1500,150,6.25,39,5,25,9,30,9,0,0,1,8,16.6667,0.0392261,0.00396156,0.227595,0.472765,0,17,4,0.320066,0.02155,0.376204,0,0,0,0,0.17911,0.225969,0.662053,0,0,0,7.79463e-05,0,0.979121,0.636058,0.244318,1.51833e-05
1600,160,6.66667,42,5,26,11,31,11,0,0,1,7,16.6667,0.0376657,0.00432499,0.229384,0.495653,0,17,5,0.307361,0.0342,0.384495,0,0,0,0,0.168165,0.227085,0.652762,0,0,0,0.000181014,0,0.975947,0.633924,0.245663,1.63964e-05
1700,170,7.08333,49,5,28,16,34,15,0,0,1,9,25,0.0361505,0.00487983,0.228256,0.518585,0,17,7,0.297817,0.05205,0.391287,0,0,0,0,0.157547,0.249407,0.637507,0,0,0,0.000362078,0,0.972255,0.631786,0.246687,1.75443e-05
1800,180,7.5,55,5,30,20,36,19,0,0,1,10,25,0.0346937,0.00592122,0.218951,0.54094,0,17,9,0.287399,0.07065,0.396817,0,0,0,0,0.146656,0.264609,0.622814,0,0,0,0.000552136,0,0.967349,0.629646,0.2474,1.86277e-05
1900,190,7.91667,63,5,35,23,42,21,0,0,1,8,25,0.0333039,0.00689543,0.20987,0.562405,0,17,10,0.278036,0.08805,0.401285,0,0,0,0,0.136917,0.27574,0.609258,0,0,0,0.000729287,0,0.962389,0.627505,0.247919,1.96483e-05
2000,200,8.33333,68,5,29,34,43,25,0,0,1,10,25,0.0319859,0.00780679,0.201157,0.582917,0,17,14,0.272778,0.11215,0.404859,0,0,0,0,0.127611,0.291361,0.59675,0,0,0,0.000973807,0,0.957388,0.625364,0.248273,2.06087e-05
2100,210,8.75,72,5,28,39,41,31,0,0,1,10,33.3333,0.0307422,0.00921597,0.187953,0.602381,0,17,15,0.267875,0.1409,0.407678,0,0,0,0,0.118226,0.300637,0.585028,0,0,0,0.00127685,0,0.951086,0.623224,0.24841,2.15117e-05
2200,220,9.16667,78,5,23,50,42,36,0,0,0,10,33.3333,0.0295731,0.0107148,0.176442,0.620607,0,17,15,0.263833,0.17195,0.409859,0,0,0,0,0.109894,0.311194,0.574164,0,0,0,0.00165365,0,0.944335,0.621086,0.248412,2.23608e-05
2300,230,9.58333,81,5,21,55,42,39,0,0,0,9,33.3333,0.0284778,0.012117,0.165843,0.63769,0,17,16,0.259147,0.205,0.411499,0,0,0,0,0.102021,0.321902,0.564145,0,0,0,0.00218652,0,0.937568,0.618948,0.248317,2.31591e-05
2400,240,10,85,5,24,56,44,41,0,0,0,7,37.5,0.0274541,0.0151805,0.142022,0.653517,0,17,16,0.25612,0.24075,0.412678,0,0,0,0,0.0944921,0.326156,0.554781,0,0,0,0.0109568,0,0.929996,0.616811,0.248092,2.39099e-05
2500,250,10.4167,89,5,26,58,45,43,1,0,0,6,37.5,0.0264994,0.0181354,0.129262,0.667059,0,17,16,0.265004,0.2807,0.413472,0,0,0,0,0.0890647,0.311084,0.546131,0,0,0,0.0421648,0,0.922383,0.614676,0.247797,2.46164e-05
2600,260,10.8333,95,5,28,62,47,44,4,0,0,7,37.5,0.0256106,0.0208998,0.118695,0.679423,0,17,16,0.270877,0.32195,0.413956,0,0,0,0,0.0839111,0.303398,0.538136,0,0,0,0.0979618,0,0.914777,0.612541,0.247442,2.52818e-05
2700,270,11.25,99,5,27,67,47,46,6,0,0,7,37.5,0.0247845,0.0234858,0.10906,0.690792,0,17,16,0.272883,0.36345,0.41419,0,0,0,0,0.0786775,0.289655,0.530741,0,0,0,0.179541,0,0.907183,0.610408,0.247037,2.59097e-05
2800,280,11.6667,103,5,28,70,47,48,8,0,0,7,37.5,0.0240177,0.0259323,0.101367,0.701312,0,17,16,0.273939,0.40735,0.414219,0,0,0,0,0.0740609,0.278817,0.523895,0,0,0,0.288074,0,0.899589,0.608277,0.246589,2.65039e-05
2900,290,12.0833,106,5,28,73,47,50,9,0,0,6,41.6667,0.0233068,0.0311289,0.0940045,0.710995,0,17,16,0.271224,0.4533,0.414076,0,0,0,0,0.0693315,0.26963,0.517427,0,0,0,0.425307,0,0.890427,0.60615,0.246054,2.70722e-05
3000,300,12.5,111,5,26,80,49,49,13,0,0,5,41.6667,0.0226481,0.0359785,0.0893341,0.720163,0,17,16,0.260188,0.49885,0.413772,0,0,0,0,0.0635196,0.26028,0.511424,0,0,0,0.592327,0,0.881223,0.604027,0.245489,2.76062e-05
