step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173675,0,0.183987,0.00990616,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,11,5,6,0,11,0,0,0,6,8,0,0.029496,0,0.313978,0.0350835,0,4,0,0.13061,0,0.0267037,0,0,0,0,0.296015,0.0591473,0.339598,0,0,0,0.000594064,0,1,0.986828,0.234522,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.400573,0.0712471,0,4,0,0.146274,0,0.0831024,0,0,0,0,0.382939,0.17857,0.276749,0,0,0,5.70617e-05,0,1,0.93595,0.204294,5.70684e-07
400,40,1.66667,12,5,6,1,12,0,0,0,9,10,0,0.0434103,0,0.456719,0.114491,0,8,0,0.157835,0,0.172636,0,0,0,0,0.443933,0.302616,0.445381,0,0,0,1.61416e-05,0,1,0.844902,0.20741,1.45102e-06
500,50,2.08333,12,5,6,1,11,1,0,0,9,10,4.16667,0.0471512,2.22913e-05,0.452965,0.160538,0,8,0,0.187639,0,0.2597,0,0,0,0,0.486457,0.406303,0.533251,0,0,0,1.60695e-05,0,0.999925,0.723243,0.205661,2.90294e-06
600,60,2.5,15,5,7,3,12,3,0,0,9,10,4.16667,0.0494961,0.000175603,0.374569,0.203267,0,8,0,0.228644,0,0.336769,0,0,0,0,0.518729,0.461566,0.571565,0,0,0,1.60618e-05,0,0.9993,0.654715,0.207748,4.89511e-06
700,70,2.91667,16,5,8,3,13,3,0,0,8,10,4.16667,0.0507938,0.000319025,0.341774,0.238481,0,12,0,0.282137,0,0.400445,0,0,0,0,0.544791,0.453936,0.597074,0,0,0,1.60551e-05,0,0.99853,0.652712,0.215193,7.32388e-06
800,80,3.33333,18,5,10,3,15,3,0,0,11,9,4.16667,0.0513003,0.000453194,0.341046,0.272583,0,12,0,0.314385,0,0.450975,0,0,0,0,0.555567,0.414113,0.619069,0,0,0,1.60515e-05,0,0.997643,0.650692,0.221491,1.00626e-05
900,90,3.75,20,5,9,6,14,6,0,0,11,9,16.6667,0.0512109,0.000889636,0.335069,0.306446,0,12,0,0.314653,0,0.489935,0,0,0,0,0.547208,0.377579,0.634891,0,0,0,1.60483e-05,0,0.994661,0.648653,0.226773,1.29881e-05
