step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.189088,0.0100688,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.029496,0.000129396,0.335451,0.0365868,0,4,0,0.130549,0,0.0267037,0,0,0,0,0.296015,0.109539,0.316935,0,0,0,0.000541717,0,0.999658,0.979338,0.224708,7.55031e-06
300,30,1.25,13,5,5,3,10,3,0,0,6,10,12.5,0.0377695,0.000482762,0.432005,0.075406,0,4,0,0.145535,0,0.0831024,0,0,0,0,0.382939,0.269082,0.276575,0,0,0,1.70276e-05,0,0.998688,0.902004,0.20083,2.30885e-05
400,40,1.66667,13,5,3,5,8,5,0,0,8,10,16.6667,0.0434103,0.000972771,0.494027,0.122131,0,8,0,0.155216,0,0.172636,0,0,0,0,0.443933,0.432054,0.445061,0,0,0,1.63986e-05,0,0.997288,0.760661,0.198858,5.86742e-05
500,50,2.08333,16,5,5,6,11,5,0,0,8,10,16.6667,0.0471468,0.00152901,0.41002,0.165954,0,8,0,0.216851,0,0.258402,0,0,0,0,0.499697,0.433769,0.538637,0,0,0,1.61293e-05,0,0.995429,0.656626,0.198855,0.000117079
600,60,2.5,20,5,9,6,14,6,0,0,9,9,16.6667,0.049476,0.00204937,0.393316,0.206083,0,8,0,0.257381,0,0.334219,0,0,0,0,0.531829,0.396961,0.579093,0,0,0,1.60756e-05,0,0.992928,0.654501,0.207471,0.000196469
700,70,2.91667,23,5,11,7,16,7,0,0,7,10,16.6667,0.0507547,0.00253616,0.386176,0.245188,0,12,0,0.282039,0,0.397419,0,0,0,0,0.549748,0.380836,0.598907,0,0,0,1.60579e-05,0,0.989854,0.652315,0.214717,0.000292866
800,80,3.33333,26,5,10,11,17,9,0,0,8,10,16.6667,0.0512445,0.00299155,0.384179,0.283509,0,12,0,0.305732,0,0.447885,0,0,0,0,0.558181,0.360778,0.614621,0,0,0,1.60515e-05,0,0.986311,0.650077,0.220791,0.000401434
900,90,3.75,31,5,14,12,19,12,0,0,8,10,20.8333,0.0511424,0.00355681,0.387866,0.322115,0,12,0,0.302716,0,0.48699,0,0,0,0,0.54881,0.347682,0.627747,0,0,0,1.60483e-05,0,0.982024,0.647797,0.225818,0.000517399
1000,100,4.16667,36,5,15,16,21,15,0,0,7,9,25,0.0505999,0.00448756,0.384579,0.360876,0,17,0,0.295264,0,0.516627,0,0,0,0,0.535077,0.317189,0.636519,0,0,0,1.60451e-05,0,0.97628,0.645482,0.229884,0.000636557
1100,110,4.58333,40,5,16,19,23,17,0,0,6,9,25,0.0497354,0.00555426,0.373794,0.398857,0,17,0,0.288714,0,0.538744,0,0,0,0,0.518193,0.28985,0.643498,0,0,0,1.60419e-05,0,0.969651,0.643141,0.233209,0.000755497
1200,120,5,44,5,16,23,21,23,0,0,5,10,33.3333,0.0486425,0.00707332,0.361666,0.435516,0,17,0,0.27864,0,0.555087,0,0,0,0,0.495188,0.26889,0.647187,0,0,0,1.60387e-05,0,0.961175,0.64078,0.235824,0.000871675
