step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.18906,0.0100663,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,7,8.33333,0.029496,0.000249204,0.324279,0.0360772,0,4,0,0.130578,0,0.0267037,0,0,0,0,0.296015,0.0532906,0.333167,0,0,0,0.000566136,0,0.999333,0.985048,0.231772,7.55031e-06
300,30,1.25,13,5,5,3,10,3,0,0,6,10,12.5,0.0377695,0.000682363,0.417478,0.0735574,0,4,0,0.146275,0,0.0831024,0,0,0,0,0.382939,0.162122,0.276927,0,0,0,9.04856e-05,0,0.998125,0.940167,0.204787,2.30885e-05
400,40,1.66667,15,5,5,5,10,5,0,0,8,10,16.6667,0.0434103,0.00118589,0.481853,0.118991,0,8,0,0.15801,0,0.172636,0,0,0,0,0.443933,0.27572,0.439756,0,0,0,1.65315e-05,0,0.996654,0.848232,0.207663,5.86742e-05
500,50,2.08333,19,5,8,6,13,6,0,0,8,10,20.8333,0.0471468,0.00206482,0.395499,0.161631,0,8,0,0.205809,0,0.258386,0,0,0,0,0.495002,0.286557,0.523893,0,0,0,1.61532e-05,0,0.994369,0.737922,0.206882,0.000117077
600,60,2.5,22,5,9,8,14,8,0,0,9,10,25,0.0494754,0.00307703,0.37344,0.200393,0,8,0,0.237767,0,0.334085,0,0,0,0,0.524782,0.285682,0.566965,0,0,0,1.60846e-05,0,0.990962,0.654621,0.207183,0.000196435
700,70,2.91667,24,5,9,10,14,10,0,0,7,10,25,0.0507522,0.00423472,0.361557,0.237271,0,12,0,0.256478,0,0.397054,0,0,0,0,0.541456,0.283599,0.595242,0,0,0,1.6063e-05,0,0.986355,0.652444,0.214163,0.000292701
800,80,3.33333,29,5,13,11,18,11,0,0,8,8,25,0.0512383,0.00531774,0.351978,0.272801,0,12,0,0.269633,0,0.44722,0,0,0,0,0.547351,0.263055,0.616208,0,0,0,1.60528e-05,0,0.981049,0.650181,0.220004,0.00040098
900,90,3.75,34,5,15,14,20,14,0,0,5,10,29.1667,0.0511306,0.0066241,0.36311,0.308306,0,12,0,0.262379,0,0.485978,0,0,0,0,0.536307,0.251684,0.626463,0,0,0,1.60483e-05,0,0.974418,0.647854,0.224774,0.000516452
