step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188267,0.010045,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,8,8.33333,0.029496,0.000138312,0.324895,0.0360116,0,4,0,0.130649,0,0.0267037,0,0,0,0,0.296015,0.0359045,0.351754,0,0,0,0.000627177,0,0.999633,0.991256,0.239827,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.00043889,0.419145,0.0736492,0,4,0,0.14659,0,0.0831024,0,0,0,0,0.382939,0.167003,0.286141,0,0,0,0.000364033,0,0.9988,0.946941,0.209151,2.30885e-05
400,40,1.66667,13,5,6,2,11,2,0,0,9,10,8.33333,0.0434103,0.000720076,0.486208,0.119272,0,8,0,0.158522,0,0.172636,0,0,0,0,0.443933,0.279112,0.445324,0,0,0,1.6559e-05,0,0.997967,0.85558,0.208455,5.86742e-05
500,50,2.08333,18,5,7,6,12,6,0,0,8,10,20.8333,0.0471468,0.00130047,0.402193,0.160904,0,8,0,0.204294,0,0.258405,0,0,0,0,0.4942,0.287744,0.534267,0,0,0,1.61474e-05,0,0.99619,0.743858,0.207653,0.00011708
600,60,2.5,21,5,9,7,14,7,0,0,10,10,20.8333,0.0494757,0.00220418,0.415719,0.20202,0,8,0,0.225717,0,0.33414,0,0,0,0,0.520775,0.269176,0.577899,0,0,0,1.60822e-05,0,0.993064,0.654719,0.207511,0.000196456
700,70,2.91667,25,5,11,9,16,9,0,0,9,9,25,0.050753,0.0031403,0.397182,0.243337,0,12,0,0.239116,0,0.397123,0,0,0,0,0.535538,0.249048,0.601581,0,0,0,1.60582e-05,0,0.989029,0.652722,0.214796,0.000292756
800,80,3.33333,30,5,13,12,18,12,0,0,10,9,25,0.0512394,0.00429392,0.36916,0.282033,0,12,0,0.27061,0,0.44727,0,0,0,0,0.546433,0.231529,0.619588,0,0,0,1.60515e-05,0,0.983724,0.650715,0.220884,0.000401067
900,90,3.75,34,5,15,14,20,14,0,0,8,10,29.1667,0.0511319,0.00544505,0.332058,0.316525,0,12,0,0.293806,0,0.48606,0,0,0,0,0.546471,0.21485,0.632256,0,0,0,1.60483e-05,0,0.97768,0.648697,0.226028,0.000516569
