step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188073,0.0100279,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.029496,0.000244445,0.319951,0.0356283,0,4,0,0.130637,0,0.0267037,0,0,0,0,0.296015,0.0517063,0.346199,0,0,0,0.000616945,0,0.999346,0.989557,0.237435,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,12.5,0.0377695,0.000612195,0.418913,0.0731045,0,4,0,0.146285,0,0.0831024,0,0,0,0,0.382939,0.23732,0.276618,0,0,0,0.000100983,0,0.998317,0.928411,0.203488,2.30885e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,12.5,0.0434103,0.00103695,0.484219,0.118689,0,8,0,0.156971,0,0.172636,0,0,0,0,0.443933,0.408673,0.445193,0,0,0,1.63193e-05,0,0.997067,0.798041,0.202649,5.86742e-05
500,50,2.08333,16,5,5,6,10,6,0,0,8,10,16.6667,0.0471468,0.00156044,0.381106,0.159531,0,8,0,0.222131,0,0.258412,0,0,0,0,0.500312,0.421434,0.538856,0,0,0,1.60915e-05,0,0.995288,0.656704,0.19895,0.00011708
600,60,2.5,18,5,6,7,11,7,0,0,10,9,16.6667,0.0494761,0.00207877,0.368284,0.197002,0,8,0,0.256107,0,0.334243,0,0,0,0,0.53073,0.408663,0.576685,0,0,0,1.60671e-05,0,0.992786,0.654705,0.207714,0.000196479
700,70,2.91667,21,5,9,7,14,7,0,0,8,10,25,0.050755,0.00279638,0.386992,0.234823,0,12,0,0.263739,0,0.397429,0,0,0,0,0.543318,0.404401,0.598102,0,0,0,1.60561e-05,0,0.989213,0.652694,0.21505,0.000292886
800,80,3.33333,26,5,10,11,16,10,0,0,11,10,25,0.0512444,0.00397218,0.373558,0.273499,0,12,0,0.267191,0,0.447788,0,0,0,0,0.54583,0.406703,0.610207,0,0,0,1.60515e-05,0,0.983896,0.650668,0.22108,0.000401433
900,90,3.75,28,5,12,11,17,11,0,0,9,9,25,0.0511406,0.00507213,0.336027,0.308377,0,12,0,0.286569,0,0.48668,0,0,0,0,0.544118,0.402765,0.620605,0,0,0,1.60483e-05,0,0.978026,0.648626,0.226191,0.000517271
