step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173675,0,0.184262,0.00992344,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,9,0,0.029496,0,0.314069,0.0351566,0,4,0,0.130606,0,0.0267037,0,0,0,0,0.296015,0.0560169,0.339606,0,0,0,0.000590257,0,1,0.986817,0.234524,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.396216,0.0710299,0,4,0,0.14638,0,0.0831024,0,0,0,0,0.382939,0.139794,0.284814,0,0,0,0.000182031,0,1,0.944912,0.208417,5.70684e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0434103,0,0.45982,0.114207,0,8,0,0.158403,0,0.172636,0,0,0,0,0.443933,0.296246,0.445402,0,0,0,1.65636e-05,0,1,0.857772,0.208706,1.45102e-06
500,50,2.08333,12,5,6,1,11,1,0,0,9,10,4.16667,0.0471468,3.17811e-05,0.414402,0.157272,0,8,0,0.191707,0,0.258381,0,0,0,0,0.490962,0.375124,0.526512,0,0,0,1.61576e-05,0,0.999894,0.722675,0.205608,2.89712e-06
600,60,2.5,15,5,8,2,13,2,0,0,11,10,8.33333,0.0494752,0.000225714,0.383567,0.197937,0,8,0,0.226244,0,0.334052,0,0,0,0,0.521263,0.412507,0.560505,0,0,0,1.6086e-05,0,0.999092,0.654717,0.207747,4.86409e-06
700,70,2.91667,16,5,7,4,12,4,0,0,9,10,12.5,0.0507517,0.000667909,0.35802,0.234753,0,12,0,0.279601,0,0.397017,0,0,0,0,0.547159,0.379886,0.58499,0,0,0,1.6065e-05,0,0.996826,0.652713,0.215183,7.25272e-06
800,80,3.33333,18,5,8,5,13,5,0,0,11,8,16.6667,0.0512381,0.00113502,0.332109,0.26918,0,12,0,0.312691,0,0.447301,0,0,0,0,0.558684,0.346435,0.606745,0,0,0,1.60549e-05,0,0.993909,0.650691,0.221468,9.94361e-06
900,90,3.75,23,5,12,6,17,6,0,0,11,8,16.6667,0.0511321,0.00168079,0.293876,0.299707,0,12,0,0.337223,0,0.486336,0,0,0,0,0.55796,0.31937,0.619842,0,0,0,1.60493e-05,0,0.990006,0.648647,0.226766,1.28198e-05
