step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188128,0.0100331,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,7,8.33333,0.029496,0.00020504,0.323216,0.035864,0,4,0,0.130617,0,0.0267037,0,0,0,0,0.296015,0.0733324,0.337916,0,0,0,0.000600144,0,0.999454,0.986667,0.233833,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000636525,0.418034,0.0734062,0,4,0,0.145992,0,0.0831024,0,0,0,0,0.382939,0.263498,0.276735,0,0,0,1.8483e-05,0,0.998258,0.915041,0.202198,2.30885e-05
400,40,1.66667,13,5,5,3,10,3,0,0,8,10,12.5,0.0434103,0.00105971,0.482355,0.118795,0,8,0,0.156154,0,0.172636,0,0,0,0,0.443933,0.394074,0.445129,0,0,0,1.64376e-05,0,0.997008,0.781103,0.20093,5.86742e-05
500,50,2.08333,18,5,8,5,13,5,0,0,7,10,16.6667,0.0471468,0.00155582,0.388465,0.160606,0,8,0,0.208992,0,0.258402,0,0,0,0,0.497098,0.414647,0.528249,0,0,0,1.61353e-05,0,0.995301,0.656634,0.198863,0.000117079
600,60,2.5,22,5,11,6,16,6,0,0,8,9,16.6667,0.0494758,0.00207445,0.384659,0.199594,0,8,0,0.247188,0,0.33416,0,0,0,0,0.528775,0.392277,0.574464,0,0,0,1.60794e-05,0,0.9928,0.654465,0.207424,0.000196459
700,70,2.91667,25,5,11,9,16,9,0,0,6,9,20.8333,0.0507535,0.00269888,0.387052,0.238381,0,12,0,0.266605,0,0.397227,0,0,0,0,0.544314,0.374479,0.597388,0,0,0,1.60572e-05,0,0.989429,0.652188,0.214501,0.000292788
800,80,3.33333,30,5,13,12,18,12,0,0,8,10,29.1667,0.0512446,0.00365616,0.389395,0.277108,0,12,0,0.277389,0,0.448357,0,0,0,0,0.546586,0.371648,0.611401,0,0,0,1.60515e-05,0,0.984643,0.649825,0.220248,0.000401429
900,90,3.75,34,5,15,14,20,14,0,0,5,10,29.1667,0.0511481,0.0051451,0.339072,0.313804,0,12,0,0.289155,0,0.48782,0,0,0,0,0.541382,0.376436,0.61664,0,0,0,1.60483e-05,0,0.977779,0.647399,0.224825,0.000517824
1000,100,4.16667,37,5,14,18,19,18,0,0,5,9,33.3333,0.0506115,0.00677671,0.321058,0.346852,0,17,0,0.295912,0,0.517504,0,0,0,0,0.532317,0.340844,0.623503,0,0,0,1.60451e-05,0,0.969727,0.644924,0.22855,0.000637519
1100,110,4.58333,43,5,17,21,22,21,0,0,3,9,33.3333,0.0497514,0.00843294,0.322495,0.379289,0,17,0,0.283061,0,0.539542,0,0,0,0,0.512858,0.31223,0.612878,0,0,0,1.60419e-05,0,0.960871,0.642417,0.231597,0.000756967
1200,120,5,48,5,18,25,22,26,0,0,0,9,33.3333,0.0486609,0.00998231,0.307091,0.410219,0,17,0,0.274171,0,0.555728,0,0,0,0,0.490294,0.281355,0.601276,0,0,0,1.60387e-05,0,0.951697,0.639888,0.234107,0.000873542
