step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188156,0.0100357,0,4,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,10,8.33333,0.029496,9.3268e-05,0.326994,0.0360761,0,4,0,0.130605,0,0.0267037,0,0,0,0,0.296015,0.072644,0.336663,0,0,0,0.000589743,0,0.999754,0.986014,0.233267,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000404737,0.425166,0.0740921,0,4,0,0.145993,0,0.0831024,0,0,0,0,0.382939,0.26711,0.2766,0,0,0,1.71473e-05,0,0.9989,0.916423,0.202282,2.30885e-05
400,40,1.66667,13,5,4,4,9,4,0,0,8,10,12.5,0.0434103,0.000842876,0.487331,0.120129,0,8,0,0.156044,0,0.172636,0,0,0,0,0.443933,0.447297,0.430682,0,0,0,1.64151e-05,0,0.99765,0.769978,0.199824,5.86742e-05
500,50,2.08333,16,5,6,5,11,5,0,0,8,10,16.6667,0.0471468,0.00135144,0.465204,0.167754,0,8,0,0.173419,0,0.258372,0,0,0,0,0.487571,0.539844,0.52103,0,0,0,1.61369e-05,0,0.995947,0.656699,0.198944,0.000117076
600,60,2.5,20,5,8,7,13,7,0,0,8,10,16.6667,0.049475,0.00188326,0.373423,0.209858,0,8,0,0.221543,0,0.334003,0,0,0,0,0.521819,0.538393,0.567022,0,0,0,1.60796e-05,0,0.993448,0.654695,0.207702,0.000196411
700,70,2.91667,22,5,9,8,14,8,0,0,8,10,20.8333,0.050751,0.00260853,0.338606,0.245203,0,12,0,0.269776,0,0.396946,0,0,0,0,0.546689,0.486646,0.59451,0,0,0,1.60581e-05,0,0.989896,0.652672,0.215027,0.000292622
800,80,3.33333,26,5,11,10,16,10,0,0,10,10,25,0.0512368,0.00371383,0.3564,0.279895,0,12,0,0.272811,0,0.447185,0,0,0,0,0.548507,0.446736,0.613297,0,0,0,1.60516e-05,0,0.984792,0.650624,0.221063,0.000400863
900,90,3.75,30,5,12,13,18,12,0,0,9,9,29.1667,0.0511295,0.00489486,0.369322,0.31624,0,12,0,0.262436,0,0.486034,0,0,0,0,0.53648,0.403697,0.627612,0,0,0,1.60483e-05,0,0.978773,0.648551,0.226114,0.000516349
1000,100,4.16667,34,5,14,15,19,15,0,0,7,10,29.1667,0.0505807,0.00630389,0.35964,0.353262,0,17,0,0.256313,0,0.51538,0,0,0,0,0.523126,0.367855,0.641935,0,0,0,1.60451e-05,0,0.97146,0.646453,0.230275,0.000634851
1100,110,4.58333,40,5,18,17,23,17,0,0,6,8,33.3333,0.0497089,0.007908,0.32056,0.386396,0,17,0,0.265302,0,0.53723,0,0,0,0,0.511858,0.331383,0.638142,0,0,0,1.60419e-05,0,0.962923,0.644332,0.233689,0.000752955
1200,120,5,43,5,16,22,22,21,0,0,5,6,33.3333,0.0486084,0.00949124,0.313156,0.41798,0,17,0,0.260813,0,0.553404,0,0,0,0,0.491122,0.297792,0.63673,0,0,0,1.60387e-05,0,0.953821,0.642191,0.236519,0.000868171
1300,130,5.41667,52,5,23,24,28,24,0,0,4,7,33.3333,0.0473538,0.0109723,0.311373,0.449281,0,17,4,0.252386,0,0.565308,0,0,0,0,0.468583,0.270746,0.637092,0,0,0,1.60355e-05,0,0.944484,0.640034,0.238866,0.000978838
1400,140,5.83333,56,5,23,28,28,28,0,0,2,9,33.3333,0.0460038,0.0123579,0.289908,0.479548,0,17,4,0.248732,0,0.573999,0,0,0,0,0.446613,0.25186,0.638412,0,0,0,1.60323e-05,0,0.934977,0.637864,0.240797,0.00108393
1500,150,6.25,61,5,24,32,29,32,0,0,1,9,41.6667,0.0446036,0.0160175,0.267668,0.507225,0,17,5,0.249164,0,0.580297,0,0,0,0,0.42487,0.227872,0.639936,0,0,0,1.60291e-05,0,0.923816,0.635685,0.242274,0.00118293
1600,160,6.66667,63,5,24,34,29,34,0,0,0,8,41.6667,0.0431884,0.0207594,0.259137,0.533562,0,17,7,0.243161,0,0.584824,0,0,0,0,0.401176,0.207573,0.641504,0,0,0,1.60259e-05,0,0.911669,0.633501,0.243411,0.0012757
1700,170,7.08333,68,5,23,40,31,37,0,0,0,10,41.6667,0.0417845,0.0251953,0.252889,0.559141,0,17,10,0.237516,0,0.587994,0,0,0,0,0.377727,0.215535,0.643066,0,0,0,1.60227e-05,0,0.899447,0.631315,0.244304,0.00136234
1800,180,7.5,75,5,24,46,36,38,1,0,0,10,50,0.040411,0.0309548,0.240845,0.583909,0,17,11,0.231754,0,0.590106,0,0,0,0,0.353305,0.212419,0.64438,0,0,0,1.60195e-05,0,0.886084,0.629131,0.244938,0.00144309
1900,190,7.91667,78,5,24,49,35,41,2,0,0,10,50,0.0390817,0.0402048,0.226803,0.607291,0,17,11,0.22739,0,0.591382,0,0,0,0,0.331324,0.195525,0.645331,0,0,0,1.60163e-05,0,0.869705,0.626951,0.245319,0.00151828
2000,200,8.33333,81,5,23,53,36,42,3,0,0,10,50,0.0378058,0.0494767,0.213479,0.629284,0,17,17,0.225354,0.005175,0.591988,0,0,0,0,0.310173,0.181336,0.633773,0,0,0,1.60131e-05,0,0.852483,0.624777,0.245561,0.00158828
2100,210,8.75,86,5,24,57,38,43,5,0,0,9,54.1667,0.0365891,0.0625732,0.19873,0.649896,0,17,17,0.223506,0.014025,0.592053,0,0,0,0,0.288695,0.168717,0.617813,0,0,0,2.50851e-05,0,0.833495,0.622612,0.245663,0.00165344
2200,220,9.16667,86,5,21,60,34,44,8,0,0,9,58.3333,0.0354349,0.0846482,0.18412,0.669056,0,17,17,0.223445,0.028275,0.591542,0,0,0,0,0.269607,0.159197,0.603102,0,0,0,0.000149347,0,0.809842,0.620457,0.245628,0.00171413
2300,230,9.58333,93,5,23,65,39,44,10,0,0,8,58.3333,0.0343446,0.105847,0.170972,0.686771,0,17,17,0.222915,0.043275,0.59071,0,0,0,0,0.251638,0.150719,0.589623,0,0,0,0.000336418,0,0.785356,0.618313,0.245509,0.0017707
2400,240,10,96,5,21,70,40,46,10,0,0,9,62.5,0.0333179,0.129435,0.15866,0.703217,0,17,17,0.220776,0.0567,0.589673,0,0,0,0,0.23371,0.148045,0.577226,0,0,0,0.000504829,0,0.759266,0.616183,0.245302,0.00182347
2500,250,10.4167,101,5,20,76,41,47,13,0,0,9,62.5,0.0323539,0.152216,0.148237,0.718604,0,17,17,0.218925,0.06735,0.588396,0,0,0,0,0.218023,0.149995,0.565852,0,0,0,0.000636877,0,0.732519,0.614066,0.245034,0.00187274
