step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.189088,0.0100688,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.0293801,0.000103357,0.333364,0.0363553,0,4,0,0.130595,0,0.0219913,0,0,0,0,0.118418,0.0895792,0.332027,0,0,0,0.000580969,0,0.999725,0.984451,0.231256,6.16656e-06
300,30,1.25,12,5,4,3,10,2,0,0,6,10,8.33333,0.037503,0.000406189,0.432219,0.0750633,0,4,0,0.145808,0,0.0499109,0,0,0,0,0.15321,0.269554,0.276624,0,0,0,1.70533e-05,0,0.998892,0.908721,0.201522,1.7775e-05
400,40,1.66667,15,5,6,4,11,4,0,0,9,10,12.5,0.0428088,0.000708605,0.500187,0.122092,0,8,0,0.155742,0,0.0919547,0,0,0,0,0.177678,0.399205,0.430331,0,0,0,1.64087e-05,0,0.998008,0.773037,0.200131,3.96704e-05
500,50,2.08333,18,5,6,7,12,6,0,0,10,10,16.6667,0.0460613,0.00124569,0.437578,0.168894,0,8,0,0.186322,0,0.13492,0,0,0,0,0.196711,0.470616,0.520884,0,0,0,1.61373e-05,0,0.996442,0.656693,0.198937,7.22838e-05
600,60,2.5,19,5,7,7,12,7,0,0,10,7,20.8333,0.0478167,0.00205218,0.396443,0.210943,0,8,0,0.214536,0,0.17569,0,0,0,0,0.208388,0.464352,0.560677,0,0,0,1.60809e-05,0,0.994475,0.654601,0.207452,0.000114161
700,70,2.91667,24,5,9,10,14,10,0,0,9,9,20.8333,0.0484865,0.0029074,0.392851,0.250232,0,12,0,0.234166,0,0.212922,0,0,0,0,0.21506,0.446641,0.583189,0,0,0,1.60609e-05,0,0.992356,0.652355,0.214471,0.000163138
800,80,3.33333,27,5,10,12,16,11,0,0,12,10,25,0.0483763,0.00382434,0.390961,0.289462,0,12,0,0.249155,0,0.245963,0,0,0,0,0.21761,0.44151,0.600361,0,0,0,1.60526e-05,0,0.98978,0.649983,0.220229,0.000216966
900,90,3.75,29,5,8,16,15,14,0,0,10,9,25,0.0477137,0.00493383,0.391278,0.328577,0,12,0,0.25118,0,0.27465,0,0,0,0,0.214651,0.425955,0.61371,0,0,0,1.60483e-05,0,0.986501,0.647512,0.224887,0.000273606
1000,100,4.16667,32,5,7,20,17,15,0,0,8,10,29.1667,0.046668,0.00614435,0.36041,0.366053,0,17,0,0.263548,0,0.299144,0,0,0,0,0.211699,0.412954,0.625459,0,0,0,1.60451e-05,0,0.982615,0.644962,0.228655,0.000331358
1100,110,4.58333,35,5,8,22,17,18,0,0,7,7,29.1667,0.0453659,0.00747277,0.348576,0.401271,0,17,0,0.269506,0,0.319815,0,0,0,0,0.206306,0.399607,0.624972,0,0,0,1.60419e-05,0,0.978092,0.642353,0.231674,0.000388898
1200,120,5,37,5,8,24,17,20,0,0,6,7,29.1667,0.0439018,0.00871549,0.325875,0.434912,0,17,0,0.279317,0,0.337114,0,0,0,0,0.199264,0.366078,0.625573,0,0,0,1.60387e-05,0,0.9733,0.639699,0.234119,0.000445253
1300,130,5.41667,40,5,7,28,19,21,0,0,6,6,33.3333,0.0423461,0.0100061,0.3104,0.466769,0,17,3,0.289641,0,0.351517,0,0,0,0,0.192584,0.331335,0.626925,0,0,0,1.60355e-05,0,0.968037,0.637014,0.236046,0.000499755
1400,140,5.83333,42,5,11,26,20,22,0,0,4,6,33.3333,0.0407511,0.011454,0.294555,0.496988,0,17,3,0.296339,0,0.363476,0,0,0,0,0.185177,0.298821,0.613944,0,0,0,1.60323e-05,0,0.96209,0.63431,0.237514,0.000551987
1500,150,6.25,48,5,12,31,22,26,0,0,3,7,33.3333,0.0391553,0.0128085,0.279015,0.525629,0,17,4,0.298863,0,0.373393,0,0,0,0,0.176458,0.271132,0.600467,0,0,0,1.60291e-05,0,0.95597,0.631599,0.238656,0.000601724
1600,160,6.66667,49,5,10,34,21,28,0,0,2,6,33.3333,0.0375864,0.0140756,0.264999,0.552827,0,17,5,0.30034,0,0.381608,0,0,0,0,0.168387,0.245073,0.587929,0,0,0,1.60259e-05,0,0.949707,0.62889,0.239527,0.000648886
1700,170,7.08333,55,5,13,37,26,29,0,0,1,4,33.3333,0.0360643,0.0152609,0.252786,0.578689,0,17,7,0.3,0,0.38841,0,0,0,0,0.160223,0.224108,0.576287,0,0,0,1.60227e-05,0,0.943326,0.626189,0.24017,0.00069349
1800,180,7.5,56,5,12,39,23,33,0,0,1,5,41.6667,0.0346024,0.0176254,0.242903,0.603582,0,17,8,0.2905,0,0.394032,0,0,0,0,0.149857,0.204608,0.565341,0,0,0,1.60195e-05,0,0.936305,0.623504,0.240564,0.000735618
1900,190,7.91667,61,5,15,41,26,35,0,0,0,4,45.8333,0.0332095,0.0236376,0.237619,0.627504,0,17,8,0.277241,1.79699e-05,0.39865,0,0,0,0,0.13938,0.195271,0.554771,0,0,0,1.60163e-05,0,0.927506,0.620841,0.24064,0.000775385
2000,200,8.33333,66,5,18,43,28,38,0,0,0,6,45.8333,0.0318904,0.0297288,0.232661,0.651015,0,17,14,0.264452,2.82817e-08,0.402399,0,0,0,0,0.129305,0.186693,0.544972,0,0,0,1.60131e-05,0,0.918409,0.618205,0.240574,0.00081291
2100,210,8.75,67,5,16,46,27,40,0,0,0,7,45.8333,0.0306471,0.0354271,0.227734,0.674055,0,17,16,0.252595,1.94593e-05,0.40539,0,0,0,0,0.119331,0.197478,0.535944,0,0,0,1.601e-05,0,0.909248,0.6156,0.240446,0.000848306
2200,220,9.16667,72,5,18,49,31,39,2,0,0,9,45.8333,0.0294797,0.0419661,0.220913,0.696521,0,17,17,0.243761,0.00140802,0.407728,0,0,0,0,0.110574,0.200196,0.527632,0,0,0,1.60068e-05,0,0.899333,0.613027,0.240237,0.000881684
2300,230,9.58333,74,5,17,52,32,40,2,0,0,9,50,0.0283867,0.0481863,0.211682,0.718137,0,17,17,0.23591,0.00370003,0.409504,0,0,0,0,0.102422,0.186699,0.51997,0,0,0,1.60036e-05,0,0.889237,0.610488,0.239971,0.000913148
2400,240,10,77,5,15,57,32,39,6,0,0,8,54.1667,0.0273659,0.0573427,0.200098,0.738722,0,17,17,0.228123,0.00645,0.410802,0,0,0,0,0.0944301,0.173439,0.512686,0,0,0,1.60004e-05,0,0.877605,0.607983,0.239573,0.000942804
2500,250,10.4167,80,5,13,62,33,40,7,0,0,7,54.1667,0.0264143,0.0734675,0.189503,0.7582,0,17,17,0.221952,0.00915,0.41169,0,0,0,0,0.0874283,0.165812,0.505922,0,0,0,1.59972e-05,0,0.863525,0.605515,0.239123,0.000970757
2600,260,10.8333,82,5,14,63,33,41,8,0,0,5,54.1667,0.0255287,0.0880368,0.179652,0.776641,0,17,17,0.216406,0.0116,0.412232,0,0,0,0,0.080939,0.155556,0.499705,0,0,0,1.59941e-05,0,0.849269,0.603082,0.238658,0.000997108
2700,270,11.25,83,5,13,65,32,41,10,0,0,6,58.3333,0.0247053,0.104087,0.168782,0.794066,0,17,17,0.210712,0.01435,0.412477,0,0,0,0,0.0746251,0.148935,0.493951,0,0,0,2.88041e-05,0,0.834277,0.600685,0.238166,0.00102196
2800,280,11.6667,86,5,12,69,34,39,13,0,0,8,58.3333,0.0239406,0.123037,0.158915,0.810457,0,17,17,0.206493,0.01715,0.412473,0,0,0,0,0.069163,0.14514,0.488617,0,0,0,4.83698e-05,0,0.817529,0.598323,0.23765,0.00104539
2900,290,12.0833,86,5,14,67,33,39,14,0,0,10,58.3333,0.0232309,0.139654,0.153617,0.826041,0,17,17,0.202781,0.0202,0.412258,0,0,0,0,0.0641393,0.168883,0.483707,0,0,0,6.97028e-05,0,0.800828,0.595994,0.237131,0.00106752
3000,300,12.5,90,5,14,71,36,38,16,0,0,10,58.3333,0.0225725,0.154228,0.146601,0.841046,0,17,17,0.198499,0.0243,0.411865,0,0,0,0,0.0591764,0.185087,0.47918,0,0,0,0.000100709,0,0.784181,0.593699,0.236609,0.00108841
3100,310,12.9167,93,5,17,71,38,39,16,0,0,9,62.5,0.0219621,0.171586,0.138392,0.855326,0,17,17,0.195302,0.0305,0.411321,0,0,0,0,0.0547988,0.181286,0.474947,0,0,0,0.000150471,0,0.766542,0.591434,0.236063,0.00110815
3200,320,13.3333,96,5,19,72,40,39,17,0,0,9,66.6667,0.0213961,0.193472,0.129855,0.868729,0,17,17,0.192415,0.03685,0.410647,0,0,0,0,0.0507509,0.17116,0.470951,0,0,0,0.000211633,0,0.747422,0.589199,0.235484,0.00112682
3300,330,13.75,99,5,14,80,39,41,19,0,0,7,66.6667,0.0208714,0.215582,0.121438,0.881281,0,17,17,0.189082,0.04315,0.409861,0,0,0,0,0.0468181,0.161685,0.467212,0,0,0,0.000273769,0,0.727679,0.586991,0.234892,0.00114448
3400,340,14.1667,101,5,16,80,42,39,20,0,0,8,66.6667,0.0203848,0.234956,0.115342,0.89311,0,17,17,0.186716,0.04945,0.40898,0,0,0,0,0.0433785,0.161351,0.463739,0,0,0,0.000335778,0,0.708024,0.584809,0.234302,0.00116119
3500,350,14.5833,104,5,13,86,42,41,19,2,0,8,75,0.0199334,0.265769,0.107645,0.904253,0,17,17,0.184446,0.05575,0.408019,0,0,0,0,0.0401853,0.152885,0.460391,0,0,0,0.000397666,0,0.685565,0.582651,0.233668,0.00117701
3600,360,15,107,5,13,89,41,43,20,3,0,7,75,0.0195145,0.300628,0.100099,0.914634,0,17,17,0.181552,0.06205,0.406989,0,0,0,0,0.0370741,0.145049,0.457193,0,0,0,0.000463823,0,0.661229,0.580517,0.233008,0.00119199
