step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.189116,0.010071,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,9,4.16667,0.0293801,0.000118546,0.331327,0.0362537,0,4,0,0.13061,0,0.0219913,0,0,0,0,0.296044,0.0708364,0.338317,0,0,0,0.000593873,0,0.999683,0.986618,0.233989,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,12.5,0.037539,0.000419199,0.431926,0.0748226,0,4,0,0.146101,0,0.0764057,0,0,0,0,0.38302,0.23324,0.276615,0,0,0,1.83073e-05,0,0.998854,0.923769,0.203023,1.91835e-05
400,40,1.66667,16,5,7,4,12,4,0,0,9,10,12.5,0.0430491,0.000856406,0.496002,0.121597,0,8,0,0.156713,0,0.164607,0,0,0,0,0.444097,0.404425,0.44519,0,0,0,1.62996e-05,0,0.997604,0.796853,0.202529,5.07042e-05
500,50,2.08333,17,5,6,6,11,6,0,0,8,9,16.6667,0.0466511,0.0013641,0.362868,0.160857,0,8,0,0.232741,0,0.249803,0,0,0,0,0.50285,0.375054,0.538849,0,0,0,1.61052e-05,0,0.995952,0.656713,0.198948,0.000103506
600,60,2.5,19,5,5,9,12,7,0,0,9,10,20.8333,0.04885,0.00207878,0.380868,0.198243,0,8,0,0.25829,0,0.325285,0,0,0,0,0.530716,0.344312,0.579418,0,0,0,1.60712e-05,0,0.993208,0.654704,0.207622,0.000175878
700,70,2.91667,21,5,7,9,12,9,0,0,9,9,25,0.0500051,0.00306782,0.388304,0.2369,0,12,0,0.279353,0,0.388171,0,0,0,0,0.547746,0.33837,0.603009,0,0,0,1.60564e-05,0,0.989174,0.652694,0.214856,0.000263935
800,80,3.33333,26,5,9,12,14,12,0,0,11,10,29.1667,0.0503793,0.00427543,0.387426,0.275679,0,12,0,0.294792,0,0.438248,0,0,0,0,0.554046,0.324773,0.619968,0,0,0,1.60515e-05,0,0.98386,0.650669,0.220894,0.00036299
900,90,3.75,29,5,9,15,15,14,0,0,8,10,29.1667,0.0501697,0.00572442,0.375444,0.313856,0,12,0,0.310177,0,0.476847,0,0,0,0,0.551155,0.303158,0.635838,0,0,0,1.60483e-05,0,0.977164,0.648628,0.225907,0.000468435
1000,100,4.16667,33,5,12,16,17,16,0,0,8,10,29.1667,0.0495033,0.00707993,0.358188,0.350591,0,17,0,0.324031,0,0.489792,0,0,0,0,0.545443,0.281337,0.64904,0,0,0,1.60451e-05,0,0.970054,0.646572,0.230205,0.000574374
1100,110,4.58333,38,5,12,21,19,19,0,0,6,10,29.1667,0.0484315,0.00834799,0.342075,0.385526,0,17,0,0.331165,0,0.489792,0,0,0,0,0.533883,0.257181,0.649181,0,0,0,1.60419e-05,0,0.962909,0.644503,0.233743,0.000671784
1200,120,5,41,5,14,22,20,21,0,0,5,10,29.1667,0.0470838,0.00953424,0.333173,0.419317,0,17,0,0.322473,0,0.489792,0,0,0,0,0.510664,0.234416,0.65179,0,0,0,1.60387e-05,0,0.955763,0.642421,0.236899,0.00075976
1300,130,5.41667,45,5,13,27,22,23,0,0,4,9,29.1667,0.0455652,0.010644,0.32244,0.452139,0,17,4,0.315647,0.0007875,0.489793,0,0,0,0,0.489035,0.215343,0.654637,0,0,0,1.60355e-05,0,0.948617,0.64033,0.239332,0.000838735
1400,140,5.83333,50,5,13,32,25,25,0,0,2,8,29.1667,0.0439538,0.0116821,0.273726,0.482532,0,17,4,0.32572,0.0095375,0.489793,0,0,0,0,0.470627,0.198279,0.649297,0,0,0,1.60323e-05,0,0.941472,0.638231,0.241376,0.00090948
1500,150,6.25,53,5,12,36,25,28,0,0,1,8,33.3333,0.0423068,0.0129749,0.264075,0.509295,0,17,4,0.330249,0.0158375,0.489793,0,0,0,0,0.448806,0.182315,0.646847,0,0,0,3.86772e-05,0,0.934153,0.636127,0.242972,0.000972907
1600,160,6.66667,54,5,13,36,25,29,0,0,1,9,45.8333,0.0406658,0.0183229,0.263849,0.53583,0,17,7,0.31726,0.0338625,0.489793,0,0,0,0,0.421363,0.174061,0.635749,0,0,0,0.000221432,0,0.923915,0.63402,0.2443,0.00102996
