step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188128,0.0100331,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.0293801,0.000176445,0.32817,0.0360933,0,4,0,0.130578,0,0.0219913,0,0,0,0,0.296044,0.0855736,0.327458,0,0,0,0.000566511,0,0.999529,0.983014,0.229285,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037539,0.000482547,0.426488,0.0742531,0,4,0,0.145829,0,0.0764057,0,0,0,0,0.38302,0.253976,0.276594,0,0,0,1.70545e-05,0,0.998675,0.912737,0.201911,1.91835e-05
400,40,1.66667,15,5,6,4,11,4,0,0,8,10,12.5,0.0430491,0.000915667,0.487324,0.120288,0,8,0,0.155993,0,0.164607,0,0,0,0,0.444097,0.414088,0.445161,0,0,0,1.64054e-05,0,0.997425,0.779727,0.200805,5.07042e-05
500,50,2.08333,15,5,5,5,10,5,0,0,8,10,16.6667,0.04665,0.00143635,0.41865,0.164533,0,8,0,0.199994,0,0.249503,0,0,0,0,0.494969,0.448832,0.538842,0,0,0,1.61302e-05,0,0.995729,0.656699,0.198944,0.000103446
600,60,2.5,18,5,7,6,12,6,0,0,9,9,16.6667,0.0488451,0.00196268,0.368683,0.204383,0,8,0,0.231778,0,0.324652,0,0,0,0,0.524242,0.482808,0.579627,0,0,0,1.60759e-05,0,0.993311,0.654698,0.207705,0.000175596
700,70,2.91667,23,5,11,7,16,7,0,0,7,10,20.8333,0.0499959,0.00245887,0.380056,0.242242,0,12,0,0.247126,0,0.38767,0,0,0,0,0.536838,0.475252,0.603697,0,0,0,1.60558e-05,0,0.990318,0.652679,0.21513,0.000263322
800,80,3.33333,25,5,10,10,16,9,0,0,10,10,20.8333,0.0503697,0.00328785,0.366733,0.278425,0,12,0,0.258867,0,0.438073,0,0,0,0,0.540507,0.449924,0.620918,0,0,0,1.60515e-05,0,0.986,0.65064,0.22127,0.000362242
900,90,3.75,30,5,13,12,18,12,0,0,6,9,25,0.0501607,0.00408995,0.370798,0.315446,0,12,0,0.259798,0,0.476649,0,0,0,0,0.532171,0.410484,0.63473,0,0,0,1.60483e-05,0,0.981151,0.648576,0.226441,0.000467634
1000,100,4.16667,33,5,13,15,19,14,0,0,4,9,29.1667,0.0494934,0.00547191,0.337012,0.351618,0,17,0,0.265042,0,0.489792,0,0,0,0,0.522354,0.376042,0.644912,0,0,0,1.60451e-05,0,0.974267,0.646488,0.230598,0.000573406
