step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188379,0.0100539,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,4,3,9,3,0,0,6,8,12.5,0.0293801,0.000196923,0.326791,0.0361574,0,4,0,0.130574,0,0.0219913,0,0,0,0,0.118418,0.0924681,0.32631,0,0,0,0.00056285,0,0.999479,0.982668,0.228791,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037503,0.000648469,0.417478,0.0737698,0,4,0,0.145739,0,0.0499109,0,0,0,0,0.15321,0.266863,0.276585,0,0,0,1.7046e-05,0,0.998229,0.907857,0.201419,1.7775e-05
400,40,1.66667,15,5,6,4,11,4,0,0,9,10,12.5,0.0428088,0.00107088,0.481629,0.119062,0,8,0,0.155615,0,0.0919547,0,0,0,0,0.177678,0.42957,0.445137,0,0,0,1.64032e-05,0,0.996979,0.767505,0.199573,3.96704e-05
500,50,2.08333,16,5,7,4,12,4,0,0,9,10,16.6667,0.0460614,0.00156934,0.372149,0.159376,0,8,0,0.215307,0,0.134931,0,0,0,0,0.199848,0.427786,0.538795,0,0,0,1.61286e-05,0,0.995454,0.656682,0.198923,7.22851e-05
600,60,2.5,21,5,9,7,14,7,0,0,12,10,16.6667,0.0478171,0.0020871,0.372544,0.196387,0,8,0,0.251065,0,0.175759,0,0,0,0,0.212437,0.415427,0.57931,0,0,0,1.60759e-05,0,0.993788,0.654585,0.207567,0.000114178
700,70,2.91667,22,5,7,10,13,9,0,0,10,10,20.8333,0.0484878,0.0029007,0.360722,0.233749,0,12,0,0.279616,0,0.213096,0,0,0,0,0.220472,0.403759,0.602395,0,0,0,1.60568e-05,0,0.991713,0.652331,0.214575,0.000163208
800,80,3.33333,28,5,11,12,16,12,0,0,12,8,25,0.0483794,0.00397992,0.328505,0.268527,0,12,0,0.309616,0,0.246292,0,0,0,0,0.225385,0.367921,0.61542,0,0,0,1.60515e-05,0,0.98892,0.64989,0.220169,0.000217149
900,90,3.75,30,5,11,14,16,14,0,0,11,5,25,0.0477196,0.00507937,0.32667,0.301172,0,12,0,0.310456,0,0.275184,0,0,0,0,0.222476,0.334229,0.625869,0,0,0,1.60483e-05,0,0.985633,0.647295,0.224677,0.000273986
1000,100,4.16667,34,5,13,16,18,16,0,0,10,5,29.1667,0.046678,0.00637575,0.328663,0.333912,0,17,0,0.302804,0,0.299895,0,0,0,0,0.217112,0.306479,0.638586,0,0,0,1.60451e-05,0,0.981578,0.644584,0.228231,0.000332034
1100,110,4.58333,40,5,16,19,21,19,0,0,7,5,29.1667,0.0453807,0.00768924,0.326539,0.366714,0,17,0,0.29462,0,0.320755,0,0,0,0,0.210224,0.278946,0.639455,0,0,0,1.60419e-05,0,0.977035,0.64179,0.231057,0.000389959
1200,120,5,42,5,17,20,22,20,0,0,7,4,33.3333,0.0439217,0.0090162,0.316736,0.398925,0,17,0,0.28565,0,0.338197,0,0,0,0,0.201418,0.253321,0.641785,0,0,0,1.60387e-05,0,0.972036,0.638941,0.233281,0.000446764
1300,130,5.41667,47,5,17,25,23,24,0,0,7,4,33.3333,0.042371,0.0105279,0.30402,0.429989,0,17,4,0.278747,0.00135,0.352686,0,0,0,0,0.192961,0.231294,0.642946,0,0,0,1.60355e-05,0,0.966267,0.636058,0.234965,0.000501748
1400,140,5.83333,54,5,22,27,27,27,0,0,7,4,33.3333,0.0407804,0.0119422,0.291072,0.459721,0,17,4,0.276706,0.01635,0.364671,0,0,0,0,0.184091,0.211663,0.626535,0,0,0,4.1382e-05,0,0.960285,0.633162,0.236278,0.000554458
1500,150,6.25,56,5,20,31,26,30,0,0,6,3,41.6667,0.0391879,0.0144865,0.275202,0.488068,0,17,4,0.272222,0.03135,0.374553,0,0,0,0,0.174172,0.195307,0.617414,0,0,0,0.000205134,0,0.953621,0.630267,0.237219,0.000604633
1600,160,6.66667,61,5,22,34,28,33,0,0,5,2,45.8333,0.0376213,0.0206105,0.261659,0.514796,0,17,7,0.26587,0.04635,0.382681,0,0,0,0,0.164357,0.181306,0.602744,0,0,0,0.00039098,0,0.945201,0.627387,0.237723,0.000652161
1700,170,7.08333,65,5,20,40,29,36,0,0,2,5,50,0.0361,0.0271433,0.23238,0.539572,0,17,11,0.266374,0.06135,0.389341,0,0,0,0,0.15491,0.175421,0.588451,0,0,0,0.000586436,0,0.93628,0.624534,0.238012,0.000697031
1800,180,7.5,69,5,23,41,31,38,0,0,1,7,50,0.0346375,0.0348492,0.218765,0.562019,0,17,11,0.265748,0.076575,0.394775,0,0,0,0,0.145164,0.164997,0.575099,0,0,0,0.00095379,0,0.926531,0.621714,0.238083,0.000739297
1900,190,7.91667,71,5,24,42,32,39,0,0,0,8,50,0.0332424,0.0420581,0.215102,0.583767,0,17,11,0.257788,0.096975,0.399187,0,0,0,0,0.135443,0.182465,0.562846,0,0,0,0.00149713,0,0.916677,0.618935,0.238055,0.000779065
2000,200,8.33333,81,5,24,52,38,38,5,0,0,9,50,0.03192,0.0505338,0.198707,0.604818,0,17,16,0.253239,0.1233,0.402734,0,0,0,0,0.126555,0.183352,0.551613,0,0,0,0.00218454,0,0.905671,0.616199,0.237949,0.000816461
2100,210,8.75,81,5,20,56,34,42,5,0,0,9,50,0.0306726,0.0604412,0.190939,0.624246,0,17,16,0.248019,0.1527,0.405552,0,0,0,0,0.117381,0.173349,0.541329,0,0,0,0.0114259,0,0.893173,0.613512,0.237784,0.000851622
2200,220,9.16667,87,5,20,62,39,42,6,0,0,8,50,0.0295008,0.0692459,0.184474,0.643031,0,17,16,0.243453,0.182025,0.407755,0,0,0,0,0.109251,0.165657,0.531919,0,0,0,0.0408379,0,0.880623,0.610873,0.237573,0.000884692
2300,230,9.58333,90,5,18,67,37,45,8,0,0,8,58.3333,0.0284034,0.086914,0.175823,0.661057,0,17,16,0.238067,0.20715,0.409435,0,0,0,0,0.101613,0.160636,0.523201,0,0,0,0.0900447,0,0.865715,0.608284,0.237279,0.00091581
