step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,9,5,4,0,9,0,0,0,3,0,0,0.0173349,0,0.182631,0.00986907,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,10,0,0.0293801,0,0.311863,0.0349214,0,4,0,0.130586,0,0.0219913,0,0,0,0,0.296044,0.046206,0.336926,0,0,0,0.000573767,0,1,0.985861,0.233357,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037539,0,0.3979,0.070714,0,4,0,0.14647,0,0.0764057,0,0,0,0,0.38302,0.118988,0.306214,0,0,0,0.000259349,0,1,0.952345,0.21772,4.74151e-07
400,40,1.66667,12,5,7,0,12,0,0,0,9,10,0,0.0430491,0,0.459779,0.113925,0,8,0,0.159033,0,0.164607,0,0,0,0,0.444097,0.2261,0.445583,0,0,0,1.63081e-05,0,1,0.88692,0.211693,1.25379e-06
500,50,2.08333,12,5,7,0,12,0,0,0,10,10,0,0.0466513,0,0.453044,0.15938,0,8,0,0.183091,0,0.249817,0,0,0,0,0.487595,0.299176,0.539209,0,0,0,1.61158e-05,0,1,0.792339,0.212654,2.56114e-06
600,60,2.5,12,5,5,2,10,2,0,0,11,8,8.33333,0.0488494,0.000103289,0.449924,0.2047,0,8,0,0.196451,0,0.325097,0,0,0,0,0.511645,0.332898,0.577963,0,0,0,1.60744e-05,0,0.999579,0.678687,0.210163,4.35397e-06
700,70,2.91667,14,5,6,3,11,3,0,0,9,8,12.5,0.0500015,0.000467709,0.424492,0.249093,0,12,0,0.208337,0,0.387563,0,0,0,0,0.526039,0.355449,0.602793,0,0,0,1.6059e-05,0,0.997773,0.652733,0.215207,6.5342e-06
800,80,3.33333,15,5,6,4,11,4,0,0,11,7,12.5,0.0503692,0.000901786,0.359283,0.287618,0,12,0,0.234376,0,0.437083,0,0,0,0,0.534961,0.327745,0.621229,0,0,0,1.60515e-05,0,0.995183,0.650729,0.221522,8.98346e-06
900,90,3.75,21,5,11,5,16,5,0,0,10,7,16.6667,0.0501496,0.00141574,0.332434,0.322153,0,12,0,0.248743,0,0.475101,0,0,0,0,0.531493,0.32463,0.635614,0,0,0,1.60483e-05,0,0.991662,0.648712,0.22684,1.15864e-05
1000,100,4.16667,22,5,12,5,17,5,0,0,8,8,16.6667,0.0494807,0.0019434,0.302952,0.354557,0,17,0,0.261043,0,0.489792,0,0,0,0,0.524704,0.329863,0.651017,0,0,0,1.60451e-05,0,0.987612,0.64668,0.231316,1.42157e-05
1100,110,4.58333,25,5,14,6,19,6,0,0,6,9,16.6667,0.0484132,0.00243703,0.282245,0.383698,0,17,0,0.269448,0,0.489792,0,0,0,0,0.512463,0.34047,0.658762,0,0,0,1.60419e-05,0,0.983529,0.644632,0.235058,1.66506e-05
1200,120,5,27,5,15,7,20,7,0,0,4,10,16.6667,0.0470688,0.00289881,0.262342,0.410585,0,17,0,0.280345,0,0.489792,0,0,0,0,0.494915,0.320595,0.662537,0,0,0,1.60387e-05,0,0.979446,0.642568,0.238166,1.88552e-05
1300,130,5.41667,32,5,17,10,24,8,0,0,4,7,16.6667,0.0455528,0.0033308,0.260638,0.436823,0,17,2,0.280795,0.0007875,0.489793,0,0,0,0,0.474349,0.294928,0.667159,0,0,0,1.60355e-05,0,0.975363,0.640487,0.240726,2.0839e-05
