step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188101,0.0100304,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.0293801,0.000224894,0.324642,0.035915,0,4,0,0.130584,0,0.0219913,0,0,0,0,0.296044,0.0776736,0.330108,0,0,0,0.000571354,0,0.9994,0.984001,0.230443,6.16656e-06
300,30,1.25,12,5,3,4,9,3,0,0,6,10,12.5,0.037539,0.00066564,0.416524,0.073399,0,4,0,0.145993,0,0.0764057,0,0,0,0,0.38302,0.211556,0.276621,0,0,0,1.83257e-05,0,0.998175,0.923115,0.20296,1.91835e-05
400,40,1.66667,14,5,5,4,10,4,0,0,8,9,16.6667,0.0430491,0.00116406,0.477204,0.118505,0,8,0,0.156832,0,0.164607,0,0,0,0,0.444097,0.343541,0.441431,0,0,0,1.64808e-05,0,0.996721,0.811,0.203927,5.07042e-05
500,50,2.08333,17,5,7,5,12,5,0,0,9,10,16.6667,0.04665,0.00170797,0.406477,0.162723,0,8,0,0.208794,0,0.249504,0,0,0,0,0.496769,0.359013,0.52491,0,0,0,1.61425e-05,0,0.994916,0.671249,0.200371,0.000103446
600,60,2.5,19,5,7,7,12,7,0,0,9,9,16.6667,0.0488452,0.00221678,0.37599,0.201026,0,8,0,0.242137,0,0.324691,0,0,0,0,0.526838,0.343713,0.568063,0,0,0,1.60822e-05,0,0.992499,0.654549,0.207523,0.000175603
700,70,2.91667,22,5,9,8,14,8,0,0,6,10,16.6667,0.0499956,0.00269277,0.380792,0.239052,0,12,0,0.25681,0,0.387341,0,0,0,0,0.541779,0.321464,0.594304,0,0,0,1.60606e-05,0,0.989514,0.652308,0.214695,0.000263303
800,80,3.33333,28,5,14,9,19,9,0,0,9,10,16.6667,0.0503641,0.00313805,0.385713,0.277086,0,12,0,0.265542,0,0.437201,0,0,0,0,0.54597,0.301624,0.612626,0,0,0,1.60521e-05,0,0.986066,0.649972,0.220651,0.000361868
900,90,3.75,29,5,11,13,16,13,0,0,9,9,25,0.0501481,0.00374334,0.365788,0.315236,0,12,0,0.268048,0,0.475551,0,0,0,0,0.53926,0.276241,0.626443,0,0,0,1.60483e-05,0,0.981765,0.647565,0.225519,0.000466688
1000,100,4.16667,34,5,12,17,18,16,0,0,5,9,25,0.0494815,0.00485805,0.34903,0.351071,0,17,0,0.275252,0,0.489792,0,0,0,0,0.531852,0.254489,0.636858,0,0,0,1.60451e-05,0,0.975682,0.645106,0.229377,0.000572377
