step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188211,0.0100408,0,4,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,6,1,11,1,0,0,6,10,4.16667,0.0293801,0.000104819,0.332477,0.036166,0,4,0,0.130591,0,0.0219913,0,0,0,0,0.118418,0.111051,0.32677,0,0,0,0.000577517,0,0.999721,0.982685,0.228977,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037503,0.000523181,0.425761,0.074592,0,4,0,0.145513,0,0.0499109,0,0,0,0,0.15321,0.316794,0.27666,0,0,0,1.78746e-05,0,0.998579,0.892505,0.199914,1.7775e-05
400,40,1.66667,14,5,5,4,10,4,0,0,8,10,16.6667,0.0428088,0.000975971,0.488609,0.120694,0,8,0,0.15448,0,0.0919547,0,0,0,0,0.177678,0.507024,0.445068,0,0,0,1.63955e-05,0,0.997271,0.727812,0.195576,3.96704e-05
500,50,2.08333,16,5,6,5,11,5,0,0,8,10,16.6667,0.0460614,0.00153201,0.406656,0.163405,0,8,0,0.203786,0,0.134926,0,0,0,0,0.1988,0.577226,0.538837,0,0,0,1.61269e-05,0,0.995604,0.656693,0.198941,7.22845e-05
600,60,2.5,20,5,8,7,13,7,0,0,9,10,16.6667,0.0478169,0.00205217,0.384282,0.203463,0,8,0,0.254804,0,0.175732,0,0,0,0,0.212927,0.572987,0.575194,0,0,0,1.60752e-05,0,0.993938,0.654684,0.207692,0.00011417
700,70,2.91667,20,5,7,8,12,8,0,0,8,10,25,0.0484879,0.00299472,0.375439,0.241374,0,12,0,0.302401,0,0.21326,0,0,0,0,0.222329,0.55988,0.597393,0,0,0,1.60603e-05,0,0.991715,0.652652,0.214908,0.000163214
800,80,3.33333,25,5,11,9,17,8,0,0,8,9,25,0.0483823,0.00415773,0.335928,0.276157,0,12,0,0.341756,0,0.24678,0,0,0,0,0.227406,0.508917,0.618239,0,0,0,1.6055e-05,0,0.988802,0.650593,0.220914,0.000217314
900,90,3.75,29,5,12,12,17,12,0,0,7,9,29.1667,0.0477269,0.00529125,0.34129,0.310158,0,12,0,0.341256,0,0.275908,0,0,0,0,0.223531,0.477844,0.633079,0,0,0,1.60489e-05,0,0.985436,0.648504,0.225969,0.000274439
1000,100,4.16667,30,5,11,14,16,14,0,0,7,8,29.1667,0.0466904,0.0066747,0.327316,0.343571,0,17,0,0.337115,0,0.300782,0,0,0,0,0.218406,0.460955,0.642697,0,0,0,1.60451e-05,0,0.981206,0.646387,0.230122,0.000332861
1100,110,4.58333,38,5,18,15,23,15,0,0,7,8,33.3333,0.0453981,0.008097,0.316186,0.375798,0,17,0,0.338541,0,0.321754,0,0,0,0,0.212722,0.419277,0.634853,0,0,0,1.60419e-05,0,0.976417,0.644243,0.233564,0.00039121
1200,120,5,42,5,18,19,23,19,0,0,5,4,33.3333,0.0439439,0.00966805,0.301852,0.406669,0,17,0,0.332357,0,0.339287,0,0,0,0,0.20414,0.377066,0.634375,0,0,0,1.60387e-05,0,0.970873,0.642073,0.236369,0.000448466
1300,130,5.41667,48,5,21,22,26,22,0,0,5,5,33.3333,0.0423977,0.0111377,0.282374,0.435947,0,17,3,0.325216,0.001275,0.353855,0,0,0,0,0.195544,0.344695,0.638016,0,0,0,1.60355e-05,0,0.96507,0.639881,0.238686,0.000503918
1400,140,5.83333,53,5,20,28,27,26,0,0,3,5,33.3333,0.0408112,0.0125126,0.267091,0.463295,0,17,3,0.327678,0.016275,0.365905,0,0,0,0,0.186893,0.323699,0.624152,0,0,0,4.08585e-05,0,0.959052,0.637671,0.240581,0.000557104
1500,150,6.25,57,5,21,31,27,30,0,0,3,6,37.5,0.0392225,0.0139696,0.268518,0.489956,0,17,3,0.317339,0.033525,0.375844,0,0,0,0,0.175467,0.30532,0.611189,0,0,0,0.000227062,0,0.95279,0.635446,0.242106,0.000607758
1600,160,6.66667,64,5,21,38,31,33,0,0,1,10,50,0.0376593,0.0212685,0.261866,0.516566,0,17,4,0.304628,0.056025,0.384002,0,0,0,0,0.164555,0.295014,0.598523,0,0,0,0.000507163,0,0.943838,0.633211,0.243089,0.000655756
1700,170,7.08333,66,5,21,40,30,36,0,0,1,10,50,0.0361408,0.0293534,0.251329,0.542216,0,17,6,0.29265,0.078525,0.390657,0,0,0,0,0.154033,0.281661,0.586655,0,0,0,0.000864549,0,0.934166,0.630969,0.243794,0.000701067
1800,180,7.5,70,5,23,42,32,38,0,0,1,10,50,0.0346803,0.0369168,0.239605,0.566772,0,17,7,0.280333,0.101025,0.39605,0,0,0,0,0.14327,0.269896,0.575652,0,0,0,0.00124159,0,0.924362,0.628725,0.244304,0.000743725
1900,190,7.91667,75,5,23,47,34,41,0,0,0,9,50,0.0332865,0.0439922,0.229078,0.590213,0,17,8,0.269943,0.123525,0.400386,0,0,0,0,0.133659,0.252273,0.565454,0,0,0,0.0016184,0,0.914455,0.626479,0.244647,0.000783814
2000,200,8.33333,79,5,24,50,36,40,3,0,0,10,50,0.0319643,0.0510532,0.220286,0.612667,0,17,12,0.260298,0.146025,0.403835,0,0,0,0,0.124493,0.261921,0.556001,0,0,0,0.00509823,0,0.904203,0.624236,0.244847,0.000821448
2100,210,8.75,84,5,26,53,37,42,5,0,0,7,50,0.0307163,0.0620959,0.20961,0.634163,0,17,13,0.250518,0.168525,0.406543,0,0,0,0,0.11526,0.263675,0.547244,0,0,0,0.0225724,0,0.890878,0.621999,0.244924,0.00085676
2200,220,9.16667,90,5,30,55,41,43,6,0,0,8,50,0.0295431,0.0718947,0.20023,0.654658,0,17,14,0.242328,0.188325,0.408633,0,0,0,0,0.107052,0.248445,0.539129,0,0,0,0.0550093,0,0.877446,0.619768,0.244898,0.000889895
2300,230,9.58333,94,5,27,62,39,48,7,0,0,8,58.3333,0.0284438,0.0865981,0.189141,0.674157,0,17,14,0.235054,0.20925,0.410194,0,0,0,0,0.0993047,0.234907,0.531539,0,0,0,0.102231,0,0.862569,0.617545,0.244754,0.000921
2400,240,10,97,5,27,65,41,45,11,0,0,9,66.6667,0.0274163,0.117318,0.173091,0.692248,0,17,14,0.227947,0.231,0.411304,0,0,0,0,0.0917032,0.22648,0.524308,0,0,0,0.165359,0,0.843443,0.615332,0.244459,0.000950211
2500,250,10.4167,103,5,31,67,43,48,12,0,0,9,66.6667,0.0264581,0.148704,0.15934,0.708885,0,17,15,0.222667,0.25215,0.412031,0,0,0,0,0.0851038,0.223589,0.51757,0,0,0,0.244579,0,0.823244,0.61313,0.244094,0.000977659
2600,260,10.8333,110,5,30,75,48,47,15,0,0,8,66.6667,0.025566,0.17621,0.1466,0.724144,0,17,15,0.218122,0.2712,0.412437,0,0,0,0,0.0790176,0.211912,0.511332,0,0,0,0.339634,0,0.80307,0.610939,0.243687,0.00100347
2700,270,11.25,114,5,28,81,48,49,17,0,0,8,66.6667,0.0247365,0.200317,0.135118,0.738211,0,17,15,0.213322,0.289275,0.412572,0,0,0,0,0.0730572,0.200709,0.50555,0,0,0,0.449835,0,0.782935,0.608759,0.243244,0.00102776
2800,280,11.6667,121,5,28,88,52,51,18,0,0,7,66.6667,0.0239662,0.221449,0.125526,0.751242,0,17,15,0.209777,0.3069,0.412479,0,0,0,0,0.0678375,0.190874,0.500184,0,0,0,0.574966,0,0.762851,0.606592,0.242771,0.00105064
2900,290,12.0833,123,5,30,88,49,53,21,0,0,7,66.6667,0.0232513,0.239973,0.116709,0.763332,0,17,15,0.206603,0.3243,0.412195,0,0,0,0,0.0629881,0.181769,0.4952,0,0,0,0.715015,0,0.742829,0.604438,0.242271,0.00107222
3000,300,12.5,129,5,27,97,50,57,21,1,0,9,70.8333,0.0225884,0.258288,0.108628,0.774589,0,17,15,0.202888,0.34095,0.411748,0,0,0,0,0.0582229,0.177984,0.490546,0,0,0,0.798737,0,0.722457,0.602298,0.241742,0.0010926
