step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173675,0,0.183611,0.00987438,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,7,0,0.029496,0,0.313136,0.0349759,0,2,0,0.130613,0,0.0267037,0,0,0,0,0.296015,0.0584901,0.343346,0,0,0,1.70634e-05,0,1,0.988087,0.236147,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.405583,0.0713014,0,2,0,0.14651,0,0.0831024,0,0,0,0,0.382939,0.196952,0.292404,0,0,0,1.64501e-05,0,1,0.947867,0.211748,5.70684e-07
400,40,1.66667,12,5,6,1,11,1,0,0,9,10,4.16667,0.0434103,4.43754e-05,0.463884,0.115209,0,4,0,0.158554,0,0.172636,0,0,0,0,0.443933,0.33612,0.307287,0,0,0,1.62095e-05,0,0.999883,0.859431,0.208858,1.45102e-06
500,50,2.08333,13,5,7,1,12,1,0,0,8,10,4.16667,0.0471496,0.000196263,0.403458,0.15828,0,4,0,0.200303,0,0.259261,0,0,0,0,0.49099,0.411484,0.333361,0,0,0,1.61267e-05,0,0.999419,0.733091,0.206653,2.90089e-06
600,60,2.5,14,5,7,2,12,2,0,0,10,10,8.33333,0.049489,0.000343146,0.362087,0.196611,0,4,0,0.240178,0,0.335865,0,0,0,0,0.523156,0.411889,0.355683,0,0,0,1.60872e-05,0,0.998772,0.654719,0.207745,4.88459e-06
700,70,2.91667,15,5,8,2,13,2,0,0,8,9,8.33333,0.0507799,0.000630509,0.354237,0.232238,0,6,0,0.261079,0,0.399346,0,0,0,0,0.540148,0.378941,0.374803,0,0,0,1.60693e-05,0,0.997229,0.652718,0.215193,7.3003e-06
800,80,3.33333,17,5,10,2,15,2,0,0,10,10,8.33333,0.0512799,0.000899333,0.345375,0.266837,0,6,0,0.283089,0,0.449745,0,0,0,0,0.548181,0.341132,0.391063,0,0,0,1.60571e-05,0,0.99545,0.650703,0.221496,1.00234e-05
900,90,3.75,21,5,10,6,17,4,0,0,7,9,12.5,0.0511842,0.00118417,0.329157,0.300926,0,6,0,0.287115,0,0.488574,0,0,0,0,0.542186,0.306273,0.404839,0,0,0,1.60521e-05,0,0.993269,0.648672,0.226803,1.29312e-05
1000,100,4.16667,24,5,14,5,19,5,0,0,7,8,16.6667,0.0506444,0.00163049,0.322401,0.333547,0,10,0,0.287351,0,0.517871,0,0,0,0,0.532099,0.278154,0.491137,0,0,0,1.60471e-05,0,0.989699,0.646624,0.231255,1.59166e-05
1100,110,4.58333,30,5,18,7,23,7,0,0,6,9,16.6667,0.0497794,0.0021443,0.308706,0.365257,0,10,0,0.282864,0,0.539664,0,0,0,0,0.516192,0.256029,0.589505,0,0,0,1.60419e-05,0,0.985269,0.64456,0.234983,1.8894e-05
1200,120,5,35,5,22,8,27,8,0,0,4,9,16.6667,0.0486838,0.00262497,0.286273,0.394288,0,10,0,0.277771,0,0.555742,0,0,0,0,0.494574,0.239338,0.627804,0,0,0,1.60387e-05,0,0.980682,0.642483,0.238081,2.18002e-05
