step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.189481,0.0100995,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,8,8.33333,0.029496,0.000201981,0.325144,0.0361624,0,2,0,0.1306,0,0.0267037,0,0,0,0,0.296015,0.0713553,0.334995,0,0,0,0.000584999,0,0.999463,0.985636,0.232561,7.55031e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.0377695,0.000498451,0.429121,0.0743117,0,2,0,0.14593,0,0.0831024,0,0,0,0,0.382939,0.27869,0.27663,0,0,0,1.70857e-05,0,0.998629,0.912169,0.201869,2.30885e-05
400,40,1.66667,15,5,6,4,11,4,0,0,9,10,12.5,0.0434103,0.000880614,0.497936,0.121096,0,4,0,0.155787,0,0.172636,0,0,0,0,0.443933,0.452832,0.307053,0,0,0,1.66229e-05,0,0.997517,0.762576,0.199079,5.86742e-05
500,50,2.08333,18,5,7,6,12,6,0,0,9,10,16.6667,0.0471468,0.00140356,0.361785,0.1631,0,4,0,0.212231,0,0.258401,0,0,0,0,0.498194,0.470418,0.333182,0,0,0,1.62465e-05,0,0.995767,0.656698,0.198943,0.000117079
600,60,2.5,21,5,10,6,15,6,0,0,9,9,16.6667,0.0494759,0.00193201,0.360171,0.199347,0,4,0,0.252801,0,0.33419,0,0,0,0,0.530169,0.432103,0.355575,0,0,0,1.61408e-05,0,0.993266,0.654694,0.207699,0.000196464
700,70,2.91667,22,5,8,9,13,9,0,0,8,9,20.8333,0.0507542,0.00246056,0.355232,0.235183,0,6,0,0.289769,0,0.397351,0,0,0,0,0.551744,0.387129,0.374594,0,0,0,1.60942e-05,0,0.990118,0.652668,0.215105,0.000292833
800,80,3.33333,27,5,12,10,17,10,0,0,11,7,25,0.0512435,0.00355728,0.343922,0.270295,0,6,0,0.311418,0,0.447814,0,0,0,0,0.559805,0.346971,0.390181,0,0,0,1.60755e-05,0,0.985042,0.650618,0.221134,0.000401362
900,90,3.75,32,5,13,14,19,13,0,0,10,8,29.1667,0.0511411,0.00493731,0.338521,0.3045,0,6,0,0.310702,0,0.486936,0,0,0,0,0.550456,0.310007,0.403134,0,0,0,1.60609e-05,0,0.9785,0.64854,0.226108,0.000517292
1000,100,4.16667,36,5,14,17,20,16,0,0,9,8,33.3333,0.0505986,0.00634741,0.33505,0.338226,0,10,0,0.306122,0,0.51661,0,0,0,0,0.537685,0.282851,0.488695,0,0,0,1.60498e-05,0,0.971142,0.646436,0.230259,0.000636432
1100,110,4.58333,41,5,17,19,23,18,0,0,4,9,33.3333,0.0497345,0.00803133,0.330479,0.371454,0,10,0,0.299764,0,0.538783,0,0,0,0,0.520789,0.258543,0.571623,0,0,0,1.60445e-05,0,0.962312,0.644306,0.233641,0.000755389
1200,120,5,44,5,17,22,23,21,0,0,2,10,33.3333,0.0486424,0.00960662,0.319925,0.403977,0,10,0,0.292693,0,0.555195,0,0,0,0,0.499327,0.233602,0.592103,0,0,0,1.60387e-05,0,0.953157,0.642154,0.236461,0.000871628
1300,130,5.41667,50,5,20,25,26,24,0,0,2,9,33.3333,0.0473961,0.0110803,0.310184,0.435518,0,10,0,0.285613,0,0.567272,0,0,0,0,0.478639,0.211793,0.607122,0,0,0,1.60355e-05,0,0.943763,0.639983,0.238797,0.000983419
1400,140,5.83333,55,5,23,27,28,27,0,0,0,9,37.5,0.046054,0.0137785,0.292775,0.465883,0,10,0,0.280482,0,0.576118,0,0,0,0,0.457585,0.20086,0.618106,0,0,0,1.60323e-05,0,0.933341,0.637798,0.240658,0.0010897
1500,150,6.25,60,5,23,32,28,32,0,0,0,9,41.6667,0.0446615,0.0185399,0.280756,0.494346,0,10,0,0.271188,0,0.582568,0,0,0,0,0.431816,0.182701,0.626084,0,0,0,1.60291e-05,0,0.921305,0.635602,0.242078,0.00118994
