step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,5,2,11,1,0,0,3,0,4.16667,0.0173675,2.22913e-05,0.188139,0.0100562,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297717,0,0,0,0.000319894,0,0.999942,0.996975,0.218784,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,7,8.33333,0.029496,0.000241858,0.324918,0.035978,0,2,0,0.1306,0,0.0267037,0,0,0,0,0.296015,0.0641157,0.335613,0,0,0,0.000585303,0,0.99935,0.985917,0.232837,7.55031e-06
300,30,1.25,12,5,3,4,8,4,0,0,5,9,16.6667,0.0377695,0.000609994,0.420209,0.0736842,0,2,0,0.146152,0,0.0831024,0,0,0,0,0.382939,0.215558,0.276712,0,0,0,2.58049e-05,0,0.998321,0.928182,0.203503,2.30885e-05
400,40,1.66667,14,5,5,4,10,4,0,0,8,10,16.6667,0.0434103,0.00118964,0.480724,0.119025,0,4,0,0.157072,0,0.172636,0,0,0,0,0.443933,0.388055,0.307067,0,0,0,1.63789e-05,0,0.996654,0.810473,0.203874,5.86742e-05
500,50,2.08333,17,5,6,6,11,6,0,0,9,10,16.6667,0.0471491,0.0017319,0.484722,0.166816,0,4,0,0.180373,0,0.259086,0,0,0,0,0.48642,0.509862,0.333071,0,0,0,1.61848e-05,0,0.994792,0.656657,0.198894,0.000117203
600,60,2.5,21,5,10,6,15,6,0,0,10,10,16.6667,0.0494905,0.00223917,0.454025,0.215186,0,4,0,0.204043,0,0.336715,0,0,0,0,0.510894,0.583532,0.355116,0,0,0,1.61153e-05,0,0.992266,0.654525,0.207499,0.000197343
700,70,2.91667,24,5,11,8,17,7,0,0,8,9,20.8333,0.0507931,0.00286411,0.449239,0.26031,0,6,0,0.217282,0,0.401225,0,0,0,0,0.525334,0.65146,0.373494,0,0,0,1.60854e-05,0,0.988808,0.6523,0.214628,0.000295453
800,80,3.33333,27,5,12,10,17,10,0,0,10,10,25,0.0513073,0.00368975,0.414119,0.30314,0,6,0,0.239313,0,0.451925,0,0,0,0,0.532651,0.629145,0.388617,0,0,0,1.60667e-05,0,0.984242,0.649966,0.220443,0.000406203
900,90,3.75,32,5,15,12,20,12,0,0,8,9,29.1667,0.0512231,0.00496203,0.380684,0.342784,0,6,0,0.268524,0,0.490599,0,0,0,0,0.532469,0.57135,0.400772,0,0,0,1.60584e-05,0,0.977882,0.647529,0.225062,0.000524273
1000,100,4.16667,36,5,14,17,22,14,0,0,6,8,29.1667,0.05069,0.00636672,0.34792,0.379416,0,10,0,0.279414,0,0.519548,0,0,0,0,0.523824,0.514936,0.48535,0,0,0,1.60517e-05,0,0.970463,0.645005,0.228778,0.000645117
1100,110,4.58333,42,5,15,22,25,17,0,0,6,9,33.3333,0.0498274,0.00796316,0.342826,0.41397,0,10,0,0.278321,0,0.540954,0,0,0,0,0.508547,0.472234,0.590749,0,0,0,1.60463e-05,0,0.961825,0.642406,0.231713,0.000765198
1200,120,5,44,5,14,25,23,21,0,0,5,9,33.3333,0.0487307,0.00954285,0.332049,0.447729,0,10,0,0.274961,0,0.556653,0,0,0,0,0.488389,0.426164,0.618598,0,0,0,1.60405e-05,0,0.95262,0.639748,0.234047,0.000881973
1300,130,5.41667,50,5,12,33,28,22,0,0,4,9,33.3333,0.0474757,0.0110206,0.320367,0.480376,0,10,0,0.272579,0,0.568109,0,0,0,0,0.469147,0.385787,0.628941,0,0,0,1.60355e-05,0,0.943197,0.637042,0.235897,0.000993768
1400,140,5.83333,52,5,12,35,27,25,0,0,3,10,33.3333,0.0461224,0.0124031,0.312239,0.511855,0,10,0,0.267101,0,0.576439,0,0,0,0,0.447518,0.351628,0.629665,0,0,0,1.60323e-05,0,0.933616,0.634303,0.237338,0.00109962
1500,150,6.25,56,5,16,35,30,26,0,0,2,10,33.3333,0.0447174,0.0136963,0.308371,0.542917,0,10,1,0.255728,0,0.582443,0,0,0,0,0.420964,0.316167,0.620119,0,0,0,1.60291e-05,0,0.923921,0.63154,0.238436,0.00119908
1600,160,6.66667,60,5,14,41,31,29,0,0,2,9,41.6667,0.0432949,0.017835,0.29909,0.573356,0,10,1,0.24675,0,0.586267,0,0,0,0,0.396927,0.286954,0.613885,0,0,0,1.60259e-05,0,0.912235,0.628766,0.239102,0.00129191
1700,170,7.08333,65,5,14,46,34,31,0,0,2,9,41.6667,0.0418789,0.0224596,0.287789,0.602679,0,10,6,0.238935,0,0.588724,0,0,0,0,0.373485,0.260924,0.620348,0,0,0,1.60227e-05,0,0.899994,0.625993,0.239517,0.00137792
1800,180,7.5,71,5,16,50,38,33,0,0,1,10,41.6667,0.0404909,0.0267859,0.26845,0.630665,0,10,6,0.233086,0,0.590314,0,0,0,0,0.349683,0.239498,0.620167,0,0,0,1.60195e-05,0,0.887727,0.623227,0.239758,0.00145758
1900,190,7.91667,72,5,12,55,35,37,0,0,0,10,41.6667,0.0391466,0.0308331,0.258487,0.657034,0,10,6,0.227025,0,0.591239,0,0,0,0,0.327877,0.217526,0.608549,0,0,0,1.60163e-05,0,0.87545,0.620478,0.239857,0.0015314
2000,200,8.33333,76,5,14,57,40,36,0,0,0,10,45.8333,0.0378565,0.0346382,0.248921,0.682373,0,10,9,0.221731,0,0.591583,0,0,0,0,0.306953,0.203376,0.594058,0,0,0,1.60131e-05,0,0.863163,0.61775,0.23984,0.00159993
