step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188687,0.0100756,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,5,2,10,2,0,0,6,8,8.33333,0.029496,0.000103773,0.328955,0.0361941,0,2,0,0.130579,0,0.0267037,0,0,0,0,0.296015,0.0925924,0.328311,0,0,0,0.000567639,0,0.999725,0.983169,0.229641,7.55031e-06
300,30,1.25,12,5,4,3,10,2,0,0,6,10,8.33333,0.0377695,0.000406579,0.426885,0.0743711,0,2,0,0.145684,0,0.0831024,0,0,0,0,0.382939,0.311573,0.276611,0,0,0,1.70416e-05,0,0.998892,0.900914,0.200736,2.30885e-05
400,40,1.66667,15,5,7,3,12,3,0,0,9,10,12.5,0.0434103,0.000751433,0.4906,0.120701,0,4,0,0.154923,0,0.172636,0,0,0,0,0.443933,0.487249,0.307017,0,0,0,1.65806e-05,0,0.997896,0.73694,0.196501,5.86742e-05
500,50,2.08333,20,5,9,6,14,6,0,0,9,10,16.6667,0.0471468,0.00127508,0.390705,0.16412,0,4,0,0.216012,0,0.258405,0,0,0,0,0.499631,0.52511,0.333174,0,0,0,1.62381e-05,0,0.996167,0.656695,0.198939,0.00011708
600,60,2.5,22,5,9,8,15,7,0,0,9,10,20.8333,0.049476,0.00209419,0.357698,0.200738,0,4,0,0.273163,0,0.334237,0,0,0,0,0.536041,0.493897,0.355211,0,0,0,1.61372e-05,0,0.993176,0.654687,0.207553,0.000196474
700,70,2.91667,24,5,9,10,14,10,0,0,9,9,20.8333,0.0507551,0.00294669,0.370189,0.23713,0,6,0,0.294086,0,0.397502,0,0,0,0,0.552542,0.441721,0.396219,0,0,0,1.60941e-05,0,0.989334,0.652659,0.214833,0.000292895
800,80,3.33333,31,5,15,11,20,11,0,0,12,8,25,0.0512459,0.00381613,0.369475,0.274307,0,6,0,0.300678,0,0.448038,0,0,0,0,0.555626,0.39464,0.40995,0,0,0,1.6073e-05,0,0.984729,0.650607,0.220969,0.000401533
900,90,3.75,34,5,16,13,21,13,0,0,12,8,29.1667,0.0511448,0.00523742,0.341006,0.309023,0,6,0,0.302863,0,0.48716,0,0,0,0,0.548429,0.351495,0.420987,0,0,0,1.6059e-05,0,0.978025,0.648531,0.225944,0.000517593
1000,100,4.16667,38,5,16,17,22,16,0,0,12,7,33.3333,0.0506032,0.00683012,0.339734,0.34309,0,10,0,0.295204,0,0.516802,0,0,0,0,0.534574,0.316456,0.499723,0,0,0,1.60522e-05,0,0.970085,0.646431,0.230062,0.000636849
1100,110,4.58333,43,5,18,20,26,17,0,0,10,6,33.3333,0.0497395,0.0084829,0.328346,0.376547,0,10,0,0.290905,0,0.538917,0,0,0,0,0.517026,0.287814,0.589965,0,0,0,1.60456e-05,0,0.96125,0.644311,0.233479,0.000755887
1200,120,5,48,5,18,25,26,22,0,0,9,5,33.3333,0.048647,0.0100291,0.302235,0.408565,0,10,0,0.290668,0,0.55525,0,0,0,0,0.496832,0.260192,0.621371,0,0,0,1.60391e-05,0,0.952093,0.642173,0.236336,0.000872153
