step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,5,2,12,0,0,0,3,0,0,0.0173675,0,0.187369,0.0100437,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,4,3,10,2,0,0,6,7,8.33333,0.029496,0.000111397,0.328788,0.0361432,0,2,0,0.130551,0,0.0267037,0,0,0,0,0.296015,0.0922186,0.321801,0,0,0,0.000543568,0,0.999704,0.980925,0.226813,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000526166,0.421866,0.0740937,0,2,0,0.145638,0,0.0831024,0,0,0,0,0.382939,0.298045,0.276576,0,0,0,1.70668e-05,0,0.998571,0.902456,0.200876,2.30885e-05
400,40,1.66667,12,5,4,3,9,3,0,0,9,10,12.5,0.0434103,0.000956472,0.486835,0.119872,0,4,0,0.155042,0,0.172636,0,0,0,0,0.443933,0.485283,0.307021,0,0,0,1.6559e-05,0,0.997321,0.743197,0.197128,5.86742e-05
500,50,2.08333,16,5,6,5,11,5,0,0,9,10,16.6667,0.0471468,0.00150777,0.42873,0.165366,0,4,0,0.18515,0,0.258381,0,0,0,0,0.491107,0.571756,0.333175,0,0,0,1.62354e-05,0,0.995479,0.656695,0.198939,0.000117077
600,60,2.5,19,5,7,7,12,7,0,0,9,10,16.6667,0.0494753,0.0020295,0.363648,0.206117,0,4,0,0.244287,0,0.334068,0,0,0,0,0.528037,0.553119,0.35556,0,0,0,1.61311e-05,0,0.992979,0.654688,0.207693,0.000196428
700,70,2.91667,19,5,6,8,11,8,0,0,7,9,20.8333,0.0507523,0.00264567,0.345047,0.241397,0,6,0,0.297016,0,0.397133,0,0,0,0,0.553109,0.495069,0.378037,0,0,0,1.60893e-05,0,0.989633,0.652658,0.215054,0.000292705
800,80,3.33333,24,5,9,10,14,10,0,0,10,9,29.1667,0.05124,0.0039044,0.34037,0.275729,0,6,0,0.320505,0,0.447557,0,0,0,0,0.560476,0.443629,0.393117,0,0,0,1.60677e-05,0,0.984141,0.650602,0.221016,0.000401101
900,90,3.75,29,5,13,11,18,11,0,0,8,9,29.1667,0.0511362,0.00537732,0.331269,0.309251,0,6,0,0.324105,0,0.48668,0,0,0,0,0.552925,0.396598,0.405687,0,0,0,1.60558e-05,0,0.977298,0.648519,0.225958,0.000516887
