step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,9,5,4,0,9,0,0,0,3,0,0,0.0173675,0,0.183905,0.00990045,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.83273e-08
200,20,0.833333,12,5,7,0,12,0,0,0,6,9,0,0.029496,0,0.314483,0.0351357,0,2,0,0.130581,0,0.0267037,0,0,0,0,0.296015,0.056383,0.33442,0,0,0,0.00056882,0,1,0.985006,0.232269,1.86436e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.0377695,0,0.401369,0.0713457,0,2,0,0.14628,0,0.0831024,0,0,0,0,0.382939,0.151726,0.278001,0,0,0,3.70817e-05,0,1,0.941023,0.205303,5.70684e-07
400,40,1.66667,12,5,5,2,12,0,0,0,7,10,0,0.0434103,0,0.461933,0.114867,0,4,0,0.158151,0,0.172636,0,0,0,0,0.443933,0.287425,0.307413,0,0,0,1.64191e-05,0,1,0.854524,0.208417,1.45102e-06
500,50,2.08333,12,5,7,0,12,0,0,0,8,10,0,0.0471488,0,0.450651,0.160353,0,4,0,0.182587,0,0.258923,0,0,0,0,0.487338,0.375217,0.333391,0,0,0,1.61775e-05,0,1,0.728869,0.206243,2.89981e-06
600,60,2.5,14,5,7,2,12,2,0,0,8,9,8.33333,0.0494832,0.000267321,0.4053,0.204048,0,4,0,0.212362,0,0.334992,0,0,0,0,0.516229,0.402513,0.355691,0,0,0,1.61236e-05,0,0.998901,0.654716,0.207748,4.87597e-06
700,70,2.91667,16,5,7,4,12,4,0,0,6,10,16.6667,0.0507663,0.000682284,0.379205,0.243658,0,6,0,0.24635,0,0.398072,0,0,0,0,0.536379,0.410552,0.374761,0,0,0,1.60975e-05,0,0.996728,0.652715,0.215176,7.27763e-06
800,80,3.33333,17,5,8,4,13,4,0,0,9,10,16.6667,0.0512577,0.00125727,0.338943,0.278839,0,6,0,0.286507,0,0.448221,0,0,0,0,0.549239,0.382873,0.391009,0,0,0,1.60762e-05,0,0.993178,0.650697,0.221473,9.98161e-06
900,90,3.75,22,5,12,5,17,5,0,0,5,10,16.6667,0.0511539,0.00179516,0.308814,0.311484,0,6,0,0.31454,0,0.486986,0,0,0,0,0.549983,0.344354,0.404786,0,0,0,1.60664e-05,0,0.989263,0.64866,0.226781,1.28678e-05
1000,100,4.16667,25,5,14,6,19,6,0,0,3,9,16.6667,0.050608,0.00229835,0.290478,0.34142,0,10,0,0.339481,0,0.51642,0,0,0,0,0.546577,0.31332,0.491086,0,0,0,1.60551e-05,0,0.985066,0.646603,0.231232,1.58325e-05
