step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188351,0.0100517,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,6,1,11,1,0,0,6,8,4.16667,0.029496,8.79298e-05,0.32783,0.0361132,0,2,0,0.130591,0,0.0267037,0,0,0,0,0.296015,0.076239,0.33357,0,0,0,0.000577606,0,0.999767,0.984923,0.23192,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000345875,0.426662,0.074423,0,2,0,0.145967,0,0.0831024,0,0,0,0,0.382939,0.240497,0.276601,0,0,0,1.70982e-05,0,0.999063,0.918269,0.202467,2.30885e-05
400,40,1.66667,12,5,2,5,8,4,0,0,9,10,12.5,0.0434103,0.000787812,0.490317,0.120597,0,4,0,0.156375,0,0.172636,0,0,0,0,0.443933,0.393013,0.307096,0,0,0,1.66744e-05,0,0.997813,0.789479,0.201786,5.86742e-05
500,50,2.08333,14,5,4,5,9,5,0,0,10,10,12.5,0.0471467,0.00120124,0.480843,0.169072,0,4,0,0.173746,0,0.258371,0,0,0,0,0.487366,0.489027,0.333205,0,0,0,1.62663e-05,0,0.996419,0.6567,0.198952,0.000117075
600,60,2.5,19,5,7,7,13,6,0,0,10,8,16.6667,0.0494749,0.00159916,0.421366,0.215551,0,4,0,0.208376,0,0.333987,0,0,0,0,0.517487,0.519823,0.355592,0,0,0,1.61454e-05,0,0.994496,0.6547,0.207707,0.000196408
700,70,2.91667,21,5,9,7,14,7,0,0,8,7,20.8333,0.0507505,0.00227281,0.381125,0.254666,0,6,0,0.245672,0,0.396844,0,0,0,0,0.538151,0.488274,0.374491,0,0,0,1.60977e-05,0,0.991089,0.652679,0.215064,0.000292592
800,80,3.33333,24,5,11,8,16,8,0,0,10,6,20.8333,0.0512349,0.00311379,0.380395,0.292729,0,6,0,0.271867,0,0.446918,0,0,0,0,0.546403,0.437525,0.390341,0,0,0,1.60728e-05,0,0.986673,0.650628,0.221199,0.000400727
900,90,3.75,28,5,13,10,18,10,0,0,8,5,20.8333,0.0511252,0.00390051,0.382028,0.330835,0,6,0,0.271373,0,0.485629,0,0,0,0,0.537313,0.390985,0.403775,0,0,0,1.60591e-05,0,0.981802,0.648545,0.226365,0.000516011
1000,100,4.16667,32,5,14,13,19,13,0,0,8,3,25,0.0505736,0.00494775,0.37532,0.368809,0,10,0,0.268872,0,0.514904,0,0,0,0,0.525106,0.352855,0.48955,0,0,0,1.60491e-05,0,0.975699,0.646432,0.230601,0.000634245
1100,110,4.58333,38,5,17,16,22,16,0,0,8,1,33.3333,0.0496994,0.00634793,0.36132,0.405703,0,10,0,0.265787,0,0.536716,0,0,0,0,0.509118,0.321235,0.585741,0,0,0,1.6042e-05,0,0.968047,0.64429,0.234026,0.000752057
