step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173675,0,0.188101,0.0100306,0,2,0,0.110668,0,0.0136811,0,0,0,0,0.171428,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,1.14863e-06
200,20,0.833333,12,5,4,3,9,3,0,0,6,10,12.5,0.029496,0.000157319,0.328923,0.036157,0,2,0,0.130571,0,0.0267037,0,0,0,0,0.296015,0.094059,0.325319,0,0,0,0.000560064,0,0.999583,0.98225,0.228353,7.55031e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.0377695,0.000611421,0.419124,0.0739576,0,2,0,0.14576,0,0.0831024,0,0,0,0,0.382939,0.243272,0.27659,0,0,0,1.70476e-05,0,0.998333,0.911436,0.20178,2.30885e-05
400,40,1.66667,13,5,5,3,10,3,0,0,9,10,12.5,0.0434103,0.00103623,0.481783,0.119333,0,4,0,0.156019,0,0.172636,0,0,0,0,0.443933,0.355334,0.307094,0,0,0,1.66428e-05,0,0.997083,0.789056,0.201743,5.86742e-05
500,50,2.08333,16,5,6,5,11,5,0,0,9,9,16.6667,0.0471468,0.00152617,0.382524,0.161372,0,4,0,0.202534,0,0.258396,0,0,0,0,0.495233,0.366107,0.333186,0,0,0,1.62921e-05,0,0.995398,0.656699,0.198944,0.000117079
600,60,2.5,20,5,8,7,14,6,0,0,12,9,16.6667,0.0494756,0.00204672,0.392239,0.200136,0,4,0,0.223686,0,0.334133,0,0,0,0,0.521926,0.354223,0.355595,0,0,0,1.61703e-05,0,0.992897,0.654701,0.207708,0.00019645
700,70,2.91667,24,5,8,11,15,9,0,0,10,9,16.6667,0.0507529,0.00253368,0.404135,0.240363,0,6,0,0.230461,0,0.397129,0,0,0,0,0.534355,0.342484,0.374687,0,0,0,1.61168e-05,0,0.989826,0.652688,0.215144,0.000292751
800,80,3.33333,29,5,12,12,18,11,0,0,12,9,25,0.0512394,0.00339634,0.388083,0.279434,0,6,0,0.24545,0,0.447258,0,0,0,0,0.539807,0.312357,0.390537,0,0,0,1.60885e-05,0,0.985303,0.650659,0.221281,0.000401062
900,90,3.75,33,5,14,14,20,13,0,0,9,10,29.1667,0.0511314,0.00454105,0.357356,0.316361,0,6,0,0.259229,0,0.485935,0,0,0,0,0.534594,0.291023,0.40374,0,0,0,1.60709e-05,0,0.97943,0.648613,0.226357,0.000516527
1000,100,4.16667,38,5,16,17,22,16,0,0,8,9,29.1667,0.0505808,0.0059729,0.342446,0.35139,0,10,0,0.275649,0,0.515179,0,0,0,0,0.527791,0.281866,0.489356,0,0,0,1.60605e-05,0,0.972117,0.64655,0.230535,0.000634912
1100,110,4.58333,39,5,15,19,20,19,0,0,8,8,29.1667,0.0497074,0.00731238,0.344199,0.385541,0,10,0,0.269926,0,0.537033,0,0,0,0,0.510585,0.259797,0.603983,0,0,0,1.60475e-05,0,0.964433,0.644471,0.23405,0.000752874
1200,120,5,46,5,20,21,25,21,0,0,7,9,33.3333,0.0486056,0.00868609,0.340791,0.419782,0,10,0,0.259907,0,0.553204,0,0,0,0,0.487542,0.262198,0.621624,0,0,0,1.604e-05,0,0.956104,0.642377,0.236962,0.00086796
1300,130,5.41667,49,5,21,23,26,23,0,0,4,10,33.3333,0.0473499,0.0102191,0.331462,0.453412,0,10,0,0.251945,0,0.565064,0,0,0,0,0.465613,0.243069,0.616152,0,0,0,1.60355e-05,0,0.946775,0.64027,0.239328,0.000978485
1400,140,5.83333,53,5,19,29,25,28,0,0,4,8,41.6667,0.0459985,0.0143419,0.316041,0.485745,0,10,0,0.244854,0,0.573693,0,0,0,0,0.443044,0.221425,0.604352,0,0,0,1.60323e-05,0,0.935542,0.638153,0.241168,0.0010834
1500,150,6.25,58,5,17,36,28,30,0,0,2,9,41.6667,0.0445967,0.0191919,0.28115,0.515699,0,10,1,0.241617,0,0.579913,0,0,0,0,0.419691,0.215839,0.593228,0,0,0,1.60291e-05,0,0.923507,0.636027,0.242634,0.00118218
