step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,6,1,12,0,0,0,3,0,0,0.0173349,0,0.189256,0.0100827,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,8,8.33333,0.0293801,0.00012275,0.331718,0.0364025,0,2,0,0.130581,0,0.0219913,0,0,0,0,0.118418,0.0865505,0.329499,0,0,0,0.000569269,0,0.999675,0.983607,0.23016,6.16656e-06
300,30,1.25,12,5,3,4,9,3,0,0,6,10,12.5,0.037503,0.0004999,0.426241,0.074766,0,2,0,0.145877,0,0.0499109,0,0,0,0,0.15321,0.241153,0.276597,0,0,0,1.70661e-05,0,0.998642,0.915699,0.202209,1.7775e-05
400,40,1.66667,13,5,3,5,9,4,0,0,8,10,16.6667,0.0428088,0.00103825,0.484113,0.120696,0,4,0,0.156245,0,0.0919547,0,0,0,0,0.177678,0.375306,0.307053,0,0,0,1.66734e-05,0,0.997108,0.79026,0.201847,3.96704e-05
500,50,2.08333,16,5,6,5,11,5,0,0,8,10,16.6667,0.0460614,0.00159027,0.351861,0.160807,0,4,0,0.215309,0,0.134928,0,0,0,0,0.199761,0.389924,0.333152,0,0,0,1.63073e-05,0,0.995442,0.656687,0.19893,7.22847e-05
600,60,2.5,21,5,9,7,14,7,0,0,10,8,16.6667,0.047817,0.00210668,0.372768,0.196936,0,4,0,0.242175,0,0.175749,0,0,0,0,0.211267,0.374973,0.355482,0,0,0,1.61747e-05,0,0.993775,0.65466,0.207659,0.000114175
700,70,2.91667,21,5,8,8,12,9,0,0,8,7,20.8333,0.0484876,0.00290824,0.364228,0.234091,0,6,0,0.262091,0,0.213067,0,0,0,0,0.218173,0.35973,0.374126,0,0,0,1.61152e-05,0,0.991713,0.652605,0.214911,0.000163197
800,80,3.33333,26,5,11,10,16,10,0,0,8,9,25,0.0483788,0.00384376,0.358582,0.269432,0,6,0,0.286851,0,0.246227,0,0,0,0,0.221591,0.350038,0.389807,0,0,0,1.60874e-05,0,0.989107,0.650525,0.220975,0.000217117
900,90,3.75,30,5,12,13,17,13,0,0,8,9,25,0.0477184,0.00495199,0.36153,0.305725,0,6,0,0.283996,0,0.275058,0,0,0,0,0.217816,0.346845,0.402935,0,0,0,1.60673e-05,0,0.985818,0.64842,0.226016,0.000273909
1000,100,4.16667,31,5,12,14,17,14,0,0,6,10,25,0.0466756,0.00598873,0.3488,0.341522,0,10,0,0.282655,0,0.299687,0,0,0,0,0.213482,0.360582,0.488728,0,0,0,1.60582e-05,0,0.9822,0.646292,0.230258,0.000331878
1100,110,4.58333,37,5,16,16,21,16,0,0,6,10,29.1667,0.0453768,0.0070568,0.339582,0.375838,0,10,0,0.289319,0,0.32047,0,0,0,0,0.208543,0.333927,0.591641,0,0,0,1.60469e-05,0,0.978132,0.644144,0.233782,0.000389685
1200,120,5,41,5,15,21,20,21,0,0,5,9,33.3333,0.0439161,0.00865201,0.330088,0.409793,0,10,0,0.277637,0,0.337859,0,0,0,0,0.199089,0.30176,0.62244,0,0,0,1.60389e-05,0,0.972711,0.641977,0.236571,0.000446344
1300,130,5.41667,44,5,16,23,22,22,0,0,4,9,33.3333,0.0423636,0.0101873,0.314973,0.442209,0,10,0,0.27822,0,0.35231,0,0,0,0,0.191489,0.274049,0.64029,0,0,0,1.60355e-05,0,0.966953,0.639795,0.238871,0.000501167
1400,140,5.83333,50,5,20,25,25,25,0,0,3,8,37.5,0.0407714,0.0116425,0.274512,0.470836,0,10,0,0.287283,0,0.364281,0,0,0,0,0.185045,0.24842,0.645623,0,0,0,1.60323e-05,0,0.960975,0.6376,0.240758,0.000553711
1500,150,6.25,53,5,19,29,24,29,0,0,3,6,37.5,0.0391777,0.0148257,0.260193,0.497553,0,10,1,0.289533,0,0.374196,0,0,0,0,0.176917,0.223608,0.631145,0,0,0,1.60291e-05,0,0.954064,0.635396,0.242219,0.000603738
