step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.189032,0.0100637,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,6,12.5,0.0293801,0.000231926,0.324594,0.0361125,0,2,0,0.130594,0,0.0219913,0,0,0,0,0.296044,0.0681655,0.33402,0,0,0,0.000580287,0,0.999383,0.985356,0.232143,6.16656e-06
300,30,1.25,13,5,6,2,11,2,0,0,6,10,12.5,0.037539,0.000681215,0.418629,0.0736901,0,2,0,0.146041,0,0.0764057,0,0,0,0,0.38302,0.224183,0.276608,0,0,0,1.73183e-05,0,0.998133,0.922667,0.20291,1.91835e-05
400,40,1.66667,15,5,6,4,11,4,0,0,9,10,16.6667,0.0430491,0.00122614,0.480872,0.118998,0,4,0,0.156766,0,0.164607,0,0,0,0,0.444097,0.357077,0.307084,0,0,0,1.67088e-05,0,0.99655,0.804798,0.203313,5.07042e-05
500,50,2.08333,19,5,8,6,14,5,0,0,9,10,16.6667,0.04665,0.00176604,0.390244,0.160776,0,4,0,0.208323,0,0.249513,0,0,0,0,0.496726,0.397503,0.333185,0,0,0,1.63125e-05,0,0.994745,0.656895,0.198964,0.000103447
600,60,2.5,21,5,9,7,14,7,0,0,9,10,20.8333,0.0488454,0.00259676,0.388609,0.200265,0,4,0,0.238257,0,0.324705,0,0,0,0,0.526085,0.375687,0.355115,0,0,0,1.61761e-05,0,0.991787,0.654674,0.207513,0.000175611
700,70,2.91667,22,5,10,7,15,7,0,0,9,9,20.8333,0.0499958,0.00341684,0.368617,0.237704,0,6,0,0.268694,0,0.387366,0,0,0,0,0.545971,0.33764,0.373727,0,0,0,1.61185e-05,0,0.988055,0.652608,0.214752,0.000263318
800,80,3.33333,29,5,14,10,19,10,0,0,9,10,25,0.0503648,0.00431955,0.365966,0.274329,0,6,0,0.300855,0,0.437322,0,0,0,0,0.556636,0.30522,0.389403,0,0,0,1.60884e-05,0,0.983421,0.650507,0.220812,0.000361919
900,90,3.75,31,5,14,12,19,12,0,0,8,10,25,0.0501506,0.00539709,0.358163,0.310593,0,6,0,0.318764,0,0.475925,0,0,0,0,0.553971,0.274371,0.402504,0,0,0,1.6071e-05,0,0.977699,0.648375,0.225839,0.000466876
1000,100,4.16667,37,5,15,17,22,15,0,0,8,10,25,0.0494854,0.00640511,0.346939,0.345883,0,10,0,0.331359,0,0.489792,0,0,0,0,0.547648,0.24863,0.48826,0,0,0,1.60598e-05,0,0.971612,0.646217,0.230064,0.000572697
1100,110,4.58333,41,5,15,21,22,19,0,0,6,10,29.1667,0.0484169,0.0074538,0.333463,0.379933,0,10,0,0.341691,0,0.489792,0,0,0,0,0.537374,0.228103,0.584747,0,0,0,1.60491e-05,0,0.965201,0.644037,0.233569,0.000670201
1200,120,5,46,5,18,23,25,21,0,0,4,10,29.1667,0.0470718,0.00869774,0.317112,0.412299,0,10,0,0.340755,0,0.489792,0,0,0,0,0.518061,0.204676,0.581755,0,0,0,1.60424e-05,0,0.958056,0.641842,0.236423,0.000758278
1300,130,5.41667,49,5,17,27,24,25,0,0,3,10,29.1667,0.0455553,0.00986143,0.312188,0.443821,0,10,0,0.331134,0,0.489793,0,0,0,0,0.495467,0.184767,0.576306,0,0,0,1.6038e-05,0,0.95091,0.639634,0.238789,0.000837356
