step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,6,1,12,0,0,0,3,0,0,0.0173349,0,0.188659,0.0100738,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.0293801,0.000180367,0.327222,0.0361684,0,2,0,0.130565,0,0.0219913,0,0,0,0,0.296044,0.0926199,0.32493,0,0,0,0.000555681,0,0.999521,0.982142,0.228186,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037539,0.000478232,0.425484,0.0741299,0,2,0,0.145743,0,0.0764057,0,0,0,0,0.38302,0.266563,0.276759,0,0,0,1.78959e-05,0,0.998688,0.909133,0.201617,1.91835e-05
400,40,1.66667,14,5,5,4,10,4,0,0,8,10,12.5,0.0430491,0.000840182,0.489841,0.120364,0,4,0,0.155649,0,0.164607,0,0,0,0,0.444097,0.446974,0.307031,0,0,0,1.64161e-05,0,0.997633,0.76797,0.199609,5.07042e-05
500,50,2.08333,17,5,6,6,12,5,0,0,8,10,16.6667,0.0466519,0.00133662,0.395845,0.16395,0,4,0,0.201834,0,0.249997,0,0,0,0,0.494539,0.506592,0.333021,0,0,0,1.61998e-05,0,0.996013,0.656638,0.198872,0.000103544
600,60,2.5,20,5,9,6,14,6,0,0,10,10,20.8333,0.0488525,0.00199376,0.383989,0.202913,0,4,0,0.239065,0,0.325556,0,0,0,0,0.525407,0.504421,0.354786,0,0,0,1.61395e-05,0,0.993368,0.654462,0.207361,0.000176029
700,70,2.91667,22,5,9,8,14,8,0,0,9,10,20.8333,0.0500098,0.00285274,0.371145,0.240105,0,6,0,0.266925,0,0.38873,0,0,0,0,0.541729,0.477682,0.372582,0,0,0,1.61061e-05,0,0.989622,0.6521,0.214243,0.000264248
800,80,3.33333,28,5,14,9,19,9,0,0,10,8,20.8333,0.050392,0.0036563,0.379467,0.27756,0,6,0,0.271746,0,0.439726,0,0,0,0,0.544048,0.447025,0.387125,0,0,0,1.60849e-05,0,0.985283,0.649516,0.219801,0.000363891
900,90,3.75,31,5,14,12,19,12,0,0,8,9,33.3333,0.0501935,0.00470091,0.378457,0.315725,0,6,0,0.264355,0,0.478508,0,0,0,0,0.533476,0.39902,0.398578,0,0,0,1.60701e-05,0,0.979696,0.646711,0.224102,0.000470285
1000,100,4.16667,35,5,14,16,19,16,0,0,5,8,33.3333,0.0495245,0.00649106,0.373843,0.353444,0,10,0,0.254593,0,0.489792,0,0,0,0,0.519466,0.362121,0.481776,0,0,0,1.60613e-05,0,0.971561,0.643739,0.227222,0.00057628
1100,110,4.58333,42,5,18,19,24,18,0,0,1,7,33.3333,0.0484488,0.00816571,0.330064,0.387286,0,10,0,0.25736,0,0.489792,0,0,0,0,0.505626,0.332541,0.611345,0,0,0,1.60501e-05,0,0.963394,0.640651,0.229651,0.000673581
1200,120,5,45,5,18,22,23,22,0,0,0,8,33.3333,0.047098,0.00973233,0.328008,0.420195,0,10,0,0.24803,0,0.489793,0,0,0,0,0.483341,0.318176,0.63982,0,0,0,1.60425e-05,0,0.955228,0.637489,0.231523,0.000761437
1300,130,5.41667,51,5,18,28,25,26,0,0,0,10,33.3333,0.0455769,0.0111979,0.322948,0.452841,0,10,0,0.241038,0,0.489793,0,0,0,0,0.462086,0.310382,0.641192,0,0,0,1.60361e-05,0,0.947061,0.634283,0.23295,0.000840293
1400,140,5.83333,55,5,22,28,27,28,0,0,0,10,33.3333,0.0439635,0.0125689,0.295837,0.484212,0,10,0,0.239616,0,0.489793,0,0,0,0,0.441485,0.292653,0.643182,0,0,0,1.60323e-05,0,0.938895,0.631062,0.234018,0.000910922
1500,150,6.25,59,5,21,33,27,32,0,0,0,10,41.6667,0.0423149,0.0156272,0.277902,0.512923,0,10,0,0.243267,0,0.489793,0,0,0,0,0.420366,0.292286,0.638243,0,0,0,1.60291e-05,0,0.929759,0.627845,0.234691,0.00097424
1600,160,6.66667,63,5,24,34,30,33,0,0,0,10,45.8333,0.0406726,0.0221995,0.259116,0.539802,0,10,2,0.246017,0,0.489793,0,0,0,0,0.400561,0.28591,0.634278,0,0,0,1.60259e-05,0,0.918551,0.624653,0.234927,0.00103119
1700,170,7.08333,68,5,25,38,31,37,0,0,0,10,45.8333,0.0390659,0.0283835,0.241023,0.56476,0,10,4,0.247721,0.000675,0.489793,0,0,0,0,0.380543,0.260699,0.628795,0,0,0,1.60227e-05,0,0.907323,0.621496,0.235018,0.00108267
1800,180,7.5,71,5,24,42,31,39,1,0,0,10,45.8333,0.0375153,0.0341997,0.224446,0.587998,0,10,4,0.249699,0.008175,0.489793,0,0,0,0,0.359013,0.247341,0.61081,0,0,0,1.60195e-05,0,0.896075,0.618385,0.234998,0.00112952
1900,190,7.91667,79,5,28,46,38,40,1,0,0,9,50,0.0360342,0.0414172,0.213976,0.609845,0,10,5,0.24776,0.015675,0.489793,0,0,0,0,0.337804,0.233774,0.594314,0,0,0,3.7544e-05,0,0.883612,0.615327,0.234867,0.00117245
