step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188101,0.0100306,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,4,3,9,3,0,0,6,9,12.5,0.0293801,0.000176351,0.324386,0.0360089,0,2,0,0.130604,0,0.0219913,0,0,0,0,0.118418,0.0739288,0.335426,0,0,0,0.00058914,0,0.999533,0.985755,0.232746,6.16656e-06
300,30,1.25,12,5,4,3,9,3,0,0,6,10,12.5,0.037503,0.000629224,0.416376,0.0734131,0,2,0,0.146003,0,0.0499109,0,0,0,0,0.15321,0.257452,0.276601,0,0,0,1.7271e-05,0,0.998283,0.917839,0.202424,1.7775e-05
400,40,1.66667,15,5,7,3,12,3,0,0,9,10,12.5,0.0428088,0.00105288,0.481509,0.118683,0,4,0,0.156205,0,0.0919547,0,0,0,0,0.177678,0.425548,0.307078,0,0,0,1.66591e-05,0,0.997033,0.777693,0.2006,3.96704e-05
500,50,2.08333,16,5,5,6,11,5,0,0,9,9,16.6667,0.0460613,0.00157231,0.43749,0.163831,0,4,0,0.182431,0,0.134919,0,0,0,0,0.196205,0.487922,0.333186,0,0,0,1.62195e-05,0,0.995454,0.656699,0.198944,7.22838e-05
600,60,2.5,19,5,7,7,12,7,0,0,9,8,16.6667,0.0478167,0.00208988,0.410758,0.206938,0,4,0,0.200315,0,0.17568,0,0,0,0,0.206563,0.510541,0.355582,0,0,0,1.61043e-05,0,0.993788,0.654696,0.207702,0.000114159
700,70,2.91667,22,5,8,9,13,9,0,0,6,10,16.6667,0.0484863,0.00257405,0.421168,0.248566,0,6,0,0.210617,0,0.212879,0,0,0,0,0.211986,0.533772,0.374644,0,0,0,1.60774e-05,0,0.992092,0.652672,0.215125,0.000163125
800,80,3.33333,24,5,9,10,14,10,0,0,9,9,25,0.0483766,0.00323075,0.402688,0.28943,0,6,0,0.233786,0,0.24611,0,0,0,0,0.215013,0.505949,0.39063,0,0,0,1.60601e-05,0,0.989882,0.650624,0.221314,0.000216978
900,90,3.75,28,5,11,12,16,12,0,0,5,10,25,0.0477156,0.00437853,0.337991,0.327255,0,6,0,0.2711,0,0.274913,0,0,0,0,0.216328,0.47126,0.403741,0,0,0,1.60509e-05,0,0.986599,0.648548,0.226351,0.000273721
