step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,8,5,3,0,8,0,0,0,3,0,0,0.0173349,0,0.184458,0.00993267,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,2.32362e-08
200,20,0.833333,11,5,6,0,11,0,0,0,6,8,0,0.0293801,0,0.313952,0.0351984,0,2,0,0.130616,0,0.0219913,0,0,0,0,0.296044,0.0365598,0.344483,0,0,0,0.000599183,0,1,0.988477,0.236641,1.5227e-07
300,30,1.25,12,5,7,0,12,0,0,0,6,10,0,0.037539,0,0.39829,0.0711416,0,2,0,0.146688,0,0.0764057,0,0,0,0,0.38302,0.093192,0.331541,0,0,0,0.000447286,0,1,0.961497,0.228766,4.74151e-07
400,40,1.66667,12,5,7,0,12,0,0,0,8,10,0,0.0430491,0,0.45815,0.114307,0,4,0,0.159778,0,0.164607,0,0,0,0,0.444097,0.154232,0.307531,0,0,0,1.73097e-05,0,1,0.910569,0.214069,1.25379e-06
500,50,2.08333,12,5,6,1,12,0,0,0,9,10,0,0.0466499,0,0.404875,0.157151,0,4,0,0.19585,0,0.249493,0,0,0,0,0.491229,0.169496,0.333634,0,0,0,1.67522e-05,0,1,0.841729,0.217626,2.55945e-06
600,60,2.5,14,5,8,1,14,0,0,0,10,9,0,0.0488448,0,0.39498,0.196701,0,4,0,0.220167,0,0.32459,0,0,0,0,0.517607,0.159445,0.355935,0,0,0,1.64032e-05,0,1,0.77535,0.219909,4.34728e-06
700,70,2.91667,15,5,7,3,12,3,0,0,7,9,12.5,0.0499946,0.000265951,0.407506,0.237415,0,6,0,0.227014,0,0.387324,0,0,0,0,0.528347,0.164254,0.374911,0,0,0,1.62662e-05,0,0.998695,0.711724,0.221137,6.52258e-06
800,80,3.33333,16,5,7,4,12,4,0,0,9,10,12.5,0.0503632,0.000713045,0.393885,0.277171,0,6,0,0.248939,0,0.437162,0,0,0,0,0.53525,0.153752,0.391195,0,0,0,1.61843e-05,0,0.996107,0.650764,0.221554,8.97145e-06
900,90,3.75,19,5,9,5,14,5,0,0,6,9,16.6667,0.0501467,0.00121305,0.350643,0.314749,0,6,0,0.273283,0,0.475423,0,0,0,0,0.534248,0.149906,0.405038,0,0,0,1.61373e-05,0,0.992744,0.648758,0.226891,1.15781e-05
1000,100,4.16667,22,5,10,7,15,7,0,0,6,9,16.6667,0.0494791,0.00175379,0.328035,0.348674,0,10,0,0.297075,0,0.489792,0,0,0,0,0.530739,0.149675,0.49145,0,0,0,1.61042e-05,0,0.988692,0.646751,0.231393,1.42092e-05
1100,110,4.58333,24,5,12,7,17,7,0,0,4,10,16.6667,0.0484119,0.00225965,0.301408,0.380477,0,10,0,0.307285,0,0.489792,0,0,0,0,0.519785,0.187337,0.605199,0,0,0,1.60698e-05,0,0.984609,0.644735,0.235165,1.66444e-05
1200,120,5,28,5,16,7,21,7,0,0,4,10,16.6667,0.0470677,0.00273287,0.2805,0.409292,0,10,0,0.308792,0,0.489792,0,0,0,0,0.501832,0.215036,0.624995,0,0,0,1.60485e-05,0,0.980526,0.64271,0.238311,1.88494e-05
1300,130,5.41667,35,5,20,10,26,9,0,0,4,9,16.6667,0.0455519,0.00317557,0.265801,0.436648,0,10,0,0.309495,0,0.489793,0,0,0,0,0.48425,0.220521,0.631277,0,0,0,1.60394e-05,0,0.976442,0.640676,0.240915,2.08335e-05
1400,140,5.83333,41,5,25,11,31,10,0,0,2,9,20.8333,0.0439427,0.0037401,0.240146,0.462129,0,10,0,0.304566,0,0.489793,0,0,0,0,0.462094,0.207565,0.636569,0,0,0,1.60328e-05,0,0.971951,0.638631,0.243025,2.26148e-05
1500,150,6.25,47,5,27,15,33,14,0,0,1,8,25,0.0422976,0.00465903,0.238729,0.486235,0,10,0,0.288032,0,0.489793,0,0,0,0,0.433141,0.204519,0.640878,0,0,0,1.60291e-05,0,0.966378,0.636576,0.244675,2.42151e-05
1600,160,6.66667,57,5,33,19,40,17,0,0,1,8,25,0.040658,0.00571467,0.23245,0.509847,0,10,0,0.27447,0,0.489793,0,0,0,0,0.407033,0.19501,0.644403,0,0,0,1.60259e-05,0,0.960253,0.63451,0.245967,2.5657e-05
1700,170,7.08333,61,5,33,23,40,21,0,0,1,10,25,0.0390536,0.0067022,0.225742,0.532709,0,10,4,0.26253,0,0.489793,0,0,0,0,0.381743,0.200268,0.647302,0,0,0,1.60227e-05,0,0.954128,0.632434,0.246979,2.69625e-05
