step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.186637,0.00999545,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.171432,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.0293801,0.000108385,0.328583,0.0359841,0,2,0,0.130593,0,0.0219913,0,0,0,0,0.296044,0.089607,0.331647,0,0,0,0.000578942,0,0.999713,0.984329,0.231092,6.16656e-06
300,30,1.25,12,5,5,2,10,2,0,0,6,10,8.33333,0.037539,0.000410894,0.430536,0.0743851,0,2,0,0.145717,0,0.0764057,0,0,0,0,0.38302,0.313078,0.276611,0,0,0,1.70445e-05,0,0.998879,0.900806,0.200725,1.91835e-05
400,40,1.66667,12,5,4,3,9,3,0,0,9,10,12.5,0.0430491,0.000755469,0.494022,0.12103,0,4,0,0.155026,0,0.164607,0,0,0,0,0.444097,0.466795,0.30702,0,0,0,1.65605e-05,0,0.997883,0.74278,0.197086,5.07042e-05
500,50,2.08333,18,5,7,6,13,5,0,0,9,9,16.6667,0.0466501,0.00128496,0.376131,0.161916,0,4,0,0.216233,0,0.249551,0,0,0,0,0.49963,0.496638,0.333171,0,0,0,1.62329e-05,0,0.996191,0.656694,0.198938,0.000103451
600,60,2.5,20,5,8,7,13,7,0,0,10,8,16.6667,0.0488462,0.00182106,0.37582,0.19991,0,4,0,0.245027,0,0.324859,0,0,0,0,0.527839,0.454543,0.3555,0,0,0,1.61358e-05,0,0.993772,0.654667,0.207667,0.000175659
700,70,2.91667,24,5,11,8,16,8,0,0,9,7,20.8333,0.0499982,0.00242828,0.379784,0.237698,0,6,0,0.264476,0,0.387635,0,0,0,0,0.54343,0.406771,0.374332,0,0,0,1.60945e-05,0,0.990561,0.652599,0.214993,0.000263476
800,80,3.33333,28,5,13,10,18,10,0,0,11,6,25,0.0503691,0.00359207,0.369988,0.275238,0,6,0,0.276404,0,0.437618,0,0,0,0,0.547946,0.36425,0.389724,0,0,0,1.60737e-05,0,0.985464,0.650492,0.220939,0.000362229
900,90,3.75,34,5,16,13,22,12,0,0,10,6,29.1667,0.050156,0.00500253,0.354234,0.311234,0,6,0,0.28345,0,0.476098,0,0,0,0,0.54163,0.325176,0.402508,0,0,0,1.60608e-05,0,0.978998,0.648349,0.225838,0.00046731
1000,100,4.16667,37,5,16,16,22,15,0,0,8,9,33.3333,0.04949,0.00673027,0.335158,0.345213,0,10,0,0.283672,0,0.489792,0,0,0,0,0.530283,0.294112,0.487684,0,0,0,1.60519e-05,0,0.971,0.646173,0.229829,0.00057313
1100,110,4.58333,41,5,18,18,23,18,0,0,7,10,33.3333,0.0484207,0.00838949,0.326622,0.378327,0,10,0,0.279603,0,0.489792,0,0,0,0,0.514455,0.272352,0.594275,0,0,0,1.60445e-05,0,0.962834,0.643969,0.233158,0.000670609
