step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0
100,10,0.416667,12,5,7,0,12,0,0,0,3,0,0,0.0173349,0,0.188379,0.0100539,0,2,0,0.110668,0,0.0112668,0,0,0,0,0.0685728,0,0.297859,0,0,0,0.000319894,0,1,0.996975,0.218841,9.42187e-07
200,20,0.833333,12,5,5,2,10,2,0,0,6,9,8.33333,0.0293801,6.81794e-05,0.328625,0.036224,0,2,0,0.130596,0,0.0219913,0,0,0,0,0.118418,0.0734978,0.334259,0,0,0,0.000582075,0,0.999821,0.985139,0.232218,6.16656e-06
300,30,1.25,12,5,3,4,9,3,0,0,6,10,8.33333,0.037503,0.000373282,0.419074,0.0739877,0,2,0,0.146085,0,0.0499109,0,0,0,0,0.15321,0.19884,0.276653,0,0,0,1.76452e-05,0,0.998988,0.927298,0.203391,1.7775e-05
400,40,1.66667,12,5,3,4,8,4,0,0,7,10,16.6667,0.0428088,0.000915243,0.479856,0.119315,0,4,0,0.157107,0,0.0919547,0,0,0,0,0.177678,0.340376,0.307103,0,0,0,1.67377e-05,0,0.997467,0.816873,0.204529,3.96704e-05
500,50,2.08333,16,5,6,5,11,5,0,0,9,10,16.6667,0.0460613,0.0014752,0.424964,0.16335,0,4,0,0.202279,0,0.134924,0,0,0,0,0.198106,0.388058,0.333202,0,0,0,1.63121e-05,0,0.9958,0.670401,0.200321,7.22842e-05
600,60,2.5,19,5,8,6,13,6,0,0,9,10,16.6667,0.0478169,0.00199903,0.361116,0.203816,0,4,0,0.260553,0,0.17572,0,0,0,0,0.213101,0.404947,0.355613,0,0,0,1.61685e-05,0,0.994133,0.654707,0.207716,0.000114167
700,70,2.91667,21,5,8,8,13,8,0,0,8,9,16.6667,0.0484872,0.00248906,0.3441,0.238876,0,6,0,0.317532,0,0.213046,0,0,0,0,0.224109,0.364195,0.383912,0,0,0,1.61132e-05,0,0.992437,0.652698,0.215154,0.000163177
800,80,3.33333,23,5,9,9,14,9,0,0,9,9,20.8333,0.0483787,0.00322985,0.349597,0.273304,0,6,0,0.336797,0,0.246283,0,0,0,0,0.226793,0.327923,0.399005,0,0,0,1.60787e-05,0,0.990124,0.650671,0.221339,0.000217105
900,90,3.75,28,5,13,10,18,10,0,0,8,7,20.8333,0.0477192,0.00400909,0.36443,0.309162,0,6,0,0.325539,0,0.275228,0,0,0,0,0.221907,0.29473,0.411709,0,0,0,1.60668e-05,0,0.987381,0.648625,0.226533,0.000273955
1000,100,4.16667,32,5,12,15,18,14,0,0,8,6,25,0.0466782,0.00476087,0.365869,0.345813,0,10,0,0.315998,0,0.299978,0,0,0,0,0.216357,0.268015,0.495004,0,0,0,1.60551e-05,0,0.984325,0.64656,0.230894,0.000332039
1100,110,4.58333,35,5,14,16,20,15,0,0,8,5,25,0.0453817,0.00580994,0.357283,0.381967,0,10,0,0.307169,0,0.320861,0,0,0,0,0.209523,0.248382,0.610406,0,0,0,1.60438e-05,0,0.98042,0.644477,0.234457,0.000390014
1200,120,5,41,5,16,20,23,18,0,0,8,4,29.1667,0.0439234,0.00681035,0.344485,0.417064,0,10,0,0.297492,0,0.338316,0,0,0,0,0.200738,0.228301,0.641421,0,0,0,1.60387e-05,0,0.976246,0.642379,0.237424,0.000446875
1300,130,5.41667,42,5,15,22,21,21,0,0,7,4,33.3333,0.0423734,0.00838902,0.326694,0.450669,0,10,0,0.289311,0,0.35281,0,0,0,0,0.192259,0.20791,0.64183,0,0,0,1.60355e-05,0,0.970622,0.640268,0.239746,0.000501916
